record_id,record_type,target,input_order,local_index,kind,name,status,rationale,source_lines,source_sha256,source_excerpt_relpath,harness_path,attribute_line,declaration_line,signature,contract_end_line,contract_text,contract_sha256,matching_dependency_record_ids,semantic_role,semantic_disposition,target_postcondition_coverage,adjudication_rationale,adjudication_source_citations,raw_record_json,semantic_audit_category,semantic_audit_version
TS-008-D001,dependency-manifest-record,core::slice::align_to,8,1,shared_model_helper,slice_align_to_domain;slice_align_to_result;slice_aligned_middle,existing_generated_contract_vocabulary_boundary,The executable target carries the generated align_to contract vocabulary. The harness does not use assume_specification and does not mark the public target as external_body.,,,,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-vec-implproof-2026-08-12/proof_harnesses/008_core_slice_align_to/harness.rs,,,,,,,,specification-vocabulary,context-only-specification-vocabulary,not-an-executable-boundary,"This record identifies target-local specification vocabulary. It is retained for binding, but is not admitted as an executable Boundary_T observation or transition.",manifest-local,"{""kind"":""shared_model_helper"",""name"":""slice_align_to_domain;slice_align_to_result;slice_aligned_middle"",""rationale"":""The executable target carries the generated align_to contract vocabulary. The harness does not use assume_specification and does not mark the public target as external_body."",""status"":""existing_generated_contract_vocabulary_boundary""}",specification-vocabulary,slice-unknown-authority-v3
TS-008-D002,dependency-manifest-record,core::slice::align_to,8,2,source_backed_raw_pointer_provenance_boundary,rust_1_96_ptr_align_offset,minimal_trusted_boundary_until_pointer_alignment_intrinsics_are_recursively_modeled,"The local rust_1_96_slice_as_ptr helper now executes the reviewed null-provenance len-address Slice start-pointer model. This retained boundary covers only crate::ptr::align_offset(ptr, align_of::<U>()), including alignment-offset semantics cited from the frozen target body.","core/src/slice/mod.rs:4508-4513,4569-4584",38394f129cf389381904f8fea0ae93d1d1059f79b4a8505a540992907e485706,proof_harnesses/008_core_slice_align_to/source_excerpt.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-vec-implproof-2026-08-12/proof_harnesses/008_core_slice_align_to/harness.rs,,,,,,,,panic-or-domain-transition,admissible-source-backed-support,partial-or-lower-level,"This exact frozen manifest record was audited as a named source dependency, callback, primitive, or local proof bridge. Its final disposition also incorporates every explicitly linked external site.","core/src/slice/mod.rs:4508-4513,4569-4584","{""kind"":""source_backed_raw_pointer_provenance_boundary"",""name"":""rust_1_96_ptr_align_offset"",""rationale"":""The local rust_1_96_slice_as_ptr helper now executes the reviewed null-provenance len-address Slice start-pointer model. This retained boundary covers only crate::ptr::align_offset(ptr, align_of::<U>()), including alignment-offset semantics cited from the frozen target body."",""source_excerpt_relpath"":""proof_harnesses/008_core_slice_align_to/source_excerpt.rs"",""source_lines"":""core/src/slice/mod.rs:4508-4513,4569-4584"",""source_sha256"":""38394f129cf389381904f8fea0ae93d1d1059f79b4a8505a540992907e485706"",""status"":""minimal_trusted_boundary_until_pointer_alignment_intrinsics_are_recursively_modeled""}",source-backed-support,slice-unknown-authority-v3
TS-008-D003,dependency-manifest-record,core::slice::align_to,8,3,source_backed_offsets_arithmetic_fit_boundary,rust_1_96_align_to_offsets_mul_fits;rust_1_96_align_to_offsets_view_bridge,narrow_retained_boundary_after_executable_offsets_arithmetic,"The Rust 1.96 private align_to_offsets helper now executes its gcd, ts/us, rest_len / ts * us, and rest_len % ts arithmetic in the harness. The retained offsets-specific boundary is narrowed to the source-backed slice-layout multiplication-fit fact needed to rule out usize overflow, plus the bridge from the computed lengths to the abstract align_to_offsets_view consumed by the raw-parts result boundary.","core/src/slice/mod.rs:4433-4464,4515",38394f129cf389381904f8fea0ae93d1d1059f79b4a8505a540992907e485706,proof_harnesses/008_core_slice_align_to/source_excerpt.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-vec-implproof-2026-08-12/proof_harnesses/008_core_slice_align_to/harness.rs,,,,,,,,panic-or-domain-transition,admissible-source-backed-support,partial-or-lower-level,"This exact frozen manifest record was audited as a named source dependency, callback, primitive, or local proof bridge. Its final disposition also incorporates every explicitly linked external site.","core/src/slice/mod.rs:4433-4464,4515","{""kind"":""source_backed_offsets_arithmetic_fit_boundary"",""name"":""rust_1_96_align_to_offsets_mul_fits;rust_1_96_align_to_offsets_view_bridge"",""rationale"":""The Rust 1.96 private align_to_offsets helper now executes its gcd, ts/us, rest_len / ts * us, and rest_len % ts arithmetic in the harness. The retained offsets-specific boundary is narrowed to the source-backed slice-layout multiplication-fit fact needed to rule out usize overflow, plus the bridge from the computed lengths to the abstract align_to_offsets_view consumed by the raw-parts result boundary."",""source_excerpt_relpath"":""proof_harnesses/008_core_slice_align_to/source_excerpt.rs"",""source_lines"":""core/src/slice/mod.rs:4433-4464,4515"",""source_sha256"":""38394f129cf389381904f8fea0ae93d1d1059f79b4a8505a540992907e485706"",""status"":""narrow_retained_boundary_after_executable_offsets_arithmetic""}",source-backed-support,slice-unknown-authority-v3
TS-008-D004,dependency-manifest-record,core::slice::align_to,8,4,source_backed_raw_parts_split_boundary,rust_1_96_align_to_from_raw_parts;rust_1_96_align_to_split_raw_parts_result,minimal_trusted_boundary_until_raw_parts_provenance_and_split_contracts_are_recursively_proved,"The public target performs `slice.split_at(offset)` directly; this boundary covers the final unsafe `from_raw_parts(rest.as_ptr() as *const U, us_len)` and `from_raw_parts(rest.as_ptr().add(rest.len() - ts_len), ts_len)` construction plus the proof bridge to the generated `slice_aligned_middle` relation. It does not mark `split_at`, `from_raw_parts`, raw pointer casts/addition, or provenance complete for other targets.",core/src/slice/mod.rs:4514-4531,38394f129cf389381904f8fea0ae93d1d1059f79b4a8505a540992907e485706,proof_harnesses/008_core_slice_align_to/source_excerpt.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-vec-implproof-2026-08-12/proof_harnesses/008_core_slice_align_to/harness.rs,,,,,,,,panic-or-domain-transition,mixed-support-includes-answer-bearing-site,mixed-partial-and-complete,This manifest record supports both a lower source transition and an explicitly audited answer-bearing helper; it cannot be admitted as one undifferentiated boundary unit.,core/src/slice/mod.rs:4514-4531,"{""kind"":""source_backed_raw_parts_split_boundary"",""name"":""rust_1_96_align_to_from_raw_parts;rust_1_96_align_to_split_raw_parts_result"",""rationale"":""The public target performs `slice.split_at(offset)` directly; this boundary covers the final unsafe `from_raw_parts(rest.as_ptr() as *const U, us_len)` and `from_raw_parts(rest.as_ptr().add(rest.len() - ts_len), ts_len)` construction plus the proof bridge to the generated `slice_aligned_middle` relation. It does not mark `split_at`, `from_raw_parts`, raw pointer casts/addition, or provenance complete for other targets."",""source_excerpt_relpath"":""proof_harnesses/008_core_slice_align_to/source_excerpt.rs"",""source_lines"":""core/src/slice/mod.rs:4514-4531"",""source_sha256"":""38394f129cf389381904f8fea0ae93d1d1059f79b4a8505a540992907e485706"",""status"":""minimal_trusted_boundary_until_raw_parts_provenance_and_split_contracts_are_recursively_proved""}",source-backed-support,slice-unknown-authority-v3
TS-008-C001,private-helper-callee,core::slice::align_to,8,1,private_helper_callee_closure,align_to_offsets,source-indexed,Source-indexed private/public callee closure retained by the implementation-proof dependency manifest.,core/src/slice/mod.rs:4433-4458,019c66b921c4261118ba6d8b0f1b29a5d356fb96dcf3cd707e1c5cc0fa97c4dd,frozen_inputs/slice/rust-core-slice/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-vec-implproof-2026-08-12/proof_harnesses/008_core_slice_align_to/harness.rs,,,,,,,,source-callee-provenance,context-only-source-closure,not-an-executable-boundary,This record closes the source call graph for provenance. It does not itself add an assumed transition or observation.,core/src/slice/mod.rs:4433-4458,"{""body_end_line"":4458,""frozen_relpath"":""frozen_inputs/slice/rust-core-slice/mod.rs"",""item_sha256"":""019c66b921c4261118ba6d8b0f1b29a5d356fb96dcf3cd707e1c5cc0fa97c4dd"",""name"":""align_to_offsets"",""public"":false,""signature_start_line"":4433,""source_reference_path"":""core/src/slice/mod.rs""}",source-closure-provenance,slice-unknown-authority-v3
TS-008-E001,harness-external-body,core::slice::align_to,8,1,verifier::external_body,rust_1_96_align_to_offsets_mul_fits,active-explicit-trusted-body,Exact external-body site enumerated from the selected proof harness; semantics and source backing are supplied by linked dependency records and the retained harness signature.,,,,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-vec-implproof-2026-08-12/proof_harnesses/008_core_slice_align_to/harness.rs,60,61,"proof fn rust_1_96_align_to_offsets_mul_fits<T, U>(rest_len: usize, ts: usize, us: usize) requires",66,"proof fn rust_1_96_align_to_offsets_mul_fits<T, U>(rest_len: usize, ts: usize, us: usize)
    requires
        ts != 0,
    ensures
        (rest_len as int / ts as int) * us as int <= usize::MAX as int,
",b010e2a6960ce05294e372a6edbb8ddc4390abab3b687009cdaaf0a52b3e4a90,TS-008-D003,private-algorithm-or-layout-transition,admissible-source-backed-lower-boundary,partial-or-lower-level,"The proof exposes only an arithmetic fit, length, or offset fact consumed by later source-backed transitions.","core/src/slice/mod.rs:4433-4464,4515","{""attribute_line"":60,""contract_end_line"":66,""contract_text"":""proof fn rust_1_96_align_to_offsets_mul_fits<T, U>(rest_len: usize, ts: usize, us: usize)\n    requires\n        ts != 0,\n    ensures\n        (rest_len as int / ts as int) * us as int <= usize::MAX as int,\n"",""declaration_line"":61,""signature"":""proof fn rust_1_96_align_to_offsets_mul_fits<T, U>(rest_len: usize, ts: usize, us: usize) requires"",""symbol"":""rust_1_96_align_to_offsets_mul_fits""}",arithmetic-or-offset-fact,slice-unknown-authority-v3
TS-008-E002,harness-external-body,core::slice::align_to,8,2,verifier::external_body,rust_1_96_align_to_offsets_view_bridge,active-explicit-trusted-body,Exact external-body site enumerated from the selected proof harness; semantics and source backing are supplied by linked dependency records and the retained harness signature.,,,,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-vec-implproof-2026-08-12/proof_harnesses/008_core_slice_align_to/harness.rs,86,87,"proof fn rust_1_96_align_to_offsets_view_bridge<T, U>( rest: Seq<T>, us_len: usize, ts_len: usize, ) requires",96,"proof fn rust_1_96_align_to_offsets_view_bridge<T, U>(
    rest: Seq<T>,
    us_len: usize,
    ts_len: usize,
)
    requires
        ts_len <= rest.len(),
    ensures
        align_to_offsets_view::<T, U>(rest, us_len, ts_len),
",940ea656d4de23e830646a9625ad172bbbd5074e2645cf24ae84d43b569bf691,TS-008-D003,private-algorithm-or-layout-transition,admissible-source-backed-lower-boundary,partial-or-lower-level,"The proof exposes only an arithmetic fit, length, or offset fact consumed by later source-backed transitions.","core/src/slice/mod.rs:4433-4464,4515","{""attribute_line"":86,""contract_end_line"":96,""contract_text"":""proof fn rust_1_96_align_to_offsets_view_bridge<T, U>(\n    rest: Seq<T>,\n    us_len: usize,\n    ts_len: usize,\n)\n    requires\n        ts_len <= rest.len(),\n    ensures\n        align_to_offsets_view::<T, U>(rest, us_len, ts_len),\n"",""declaration_line"":87,""signature"":""proof fn rust_1_96_align_to_offsets_view_bridge<T, U>( rest: Seq<T>, us_len: usize, ts_len: usize, ) requires"",""symbol"":""rust_1_96_align_to_offsets_view_bridge""}",arithmetic-or-offset-fact,slice-unknown-authority-v3
TS-008-E003,harness-external-body,core::slice::align_to,8,3,verifier::external_body,rust_1_96_ptr_align_offset,active-explicit-trusted-body,Exact external-body site enumerated from the selected proof harness; semantics and source backing are supplied by linked dependency records and the retained harness signature.,,,,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-vec-implproof-2026-08-12/proof_harnesses/008_core_slice_align_to/harness.rs,119,120,"pub unsafe fn rust_1_96_ptr_align_offset<T, U>(ptr: *const T) -> (offset: usize) {",120,"pub unsafe fn rust_1_96_ptr_align_offset<T, U>(ptr: *const T) -> (offset: usize)
",142fc29c4d99878b71e6baaa814e7eb91f9586904a3c03764a60cb5f7266bfc8,TS-008-D002,memory-layout-or-provenance-transition,admissible-source-backed-lower-boundary,partial-or-lower-level,"The contract isolates a pointer cast/copy, layout, address, or provenance transition and does not state the enclosing target answer.","core/src/slice/mod.rs:4508-4513,4569-4584","{""attribute_line"":119,""contract_end_line"":120,""contract_text"":""pub unsafe fn rust_1_96_ptr_align_offset<T, U>(ptr: *const T) -> (offset: usize)\n"",""declaration_line"":120,""signature"":""pub unsafe fn rust_1_96_ptr_align_offset<T, U>(ptr: *const T) -> (offset: usize) {"",""symbol"":""rust_1_96_ptr_align_offset""}",pointer-layout-provenance-transition,slice-unknown-authority-v3
TS-008-E004,harness-external-body,core::slice::align_to,8,4,verifier::external_body,rust_1_96_align_to_from_raw_parts,active-explicit-trusted-body,Exact external-body site enumerated from the selected proof harness; semantics and source backing are supplied by linked dependency records and the retained harness signature.,,,,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-vec-implproof-2026-08-12/proof_harnesses/008_core_slice_align_to/harness.rs,169,170,"pub unsafe fn rust_1_96_align_to_from_raw_parts<'a, T, U>( rest: &'a [T], us_len: usize, ts_len: usize, ) -> (ret: (&'a [U], &'a [T])) requires",178,"pub unsafe fn rust_1_96_align_to_from_raw_parts<'a, T, U>(
    rest: &'a [T],
    us_len: usize,
    ts_len: usize,
) -> (ret: (&'a [U], &'a [T]))
    requires
        ts_len <= rest@.len(),
        align_to_offsets_view::<T, U>(rest@, us_len, ts_len),
",cd6f17fb9f52927fccf2bb4f91cdf38cf9c12dade84ff95f3cad4dd9620109c4,TS-008-D004,memory-layout-or-provenance-transition,admissible-source-backed-lower-boundary,partial-or-lower-level,The helper operates on a derived sub-borrow or lower source callee; the caller must still construct the target result.,core/src/slice/mod.rs:4514-4531,"{""attribute_line"":169,""contract_end_line"":178,""contract_text"":""pub unsafe fn rust_1_96_align_to_from_raw_parts<'a, T, U>(\n    rest: &'a [T],\n    us_len: usize,\n    ts_len: usize,\n) -> (ret: (&'a [U], &'a [T]))\n    requires\n        ts_len <= rest@.len(),\n        align_to_offsets_view::<T, U>(rest@, us_len, ts_len),\n"",""declaration_line"":170,""signature"":""pub unsafe fn rust_1_96_align_to_from_raw_parts<'a, T, U>( rest: &'a [T], us_len: usize, ts_len: usize, ) -> (ret: (&'a [U], &'a [T])) requires"",""symbol"":""rust_1_96_align_to_from_raw_parts""}",derived-borrow-source-callee,slice-unknown-authority-v3
TS-008-E005,harness-external-body,core::slice::align_to,8,5,verifier::external_body,rust_1_96_align_to_zst_or_overflow_result,active-explicit-trusted-body,Exact external-body site enumerated from the selected proof harness; semantics and source backing are supplied by linked dependency records and the retained harness signature.,,,,/home/chentianyu/nanvix-rust-std-spec-survey/nanvix-rust-std-slice-vec-implproof-2026-08-12/proof_harnesses/008_core_slice_align_to/harness.rs,183,184,"proof fn rust_1_96_align_to_zst_or_overflow_result<T, U>( source: Seq<T>, middle: Seq<U>, suffix: Seq<T>, ) ensures",191,"proof fn rust_1_96_align_to_zst_or_overflow_result<T, U>(
    source: Seq<T>,
    middle: Seq<U>,
    suffix: Seq<T>,
)
    ensures
        slice_align_to_result::<T, U>(source, source, middle, suffix),
",d67dabbdbeac961db999245e8ab9e5437d960aebca4a69061d64d57bf1ee6d2f,TS-008-D001,private-algorithm-or-layout-transition,inadmissible-complete-branch-postcondition,complete-on-target-branch,"Under the helper's branch preconditions, its contract supplies every remaining public postcondition for that target branch.",core/src/slice/mod.rs:4506,"{""attribute_line"":183,""contract_end_line"":191,""contract_text"":""proof fn rust_1_96_align_to_zst_or_overflow_result<T, U>(\n    source: Seq<T>,\n    middle: Seq<U>,\n    suffix: Seq<T>,\n)\n    ensures\n        slice_align_to_result::<T, U>(source, source, middle, suffix),\n"",""declaration_line"":184,""signature"":""proof fn rust_1_96_align_to_zst_or_overflow_result<T, U>( source: Seq<T>, middle: Seq<U>, suffix: Seq<T>, ) ensures"",""symbol"":""rust_1_96_align_to_zst_or_overflow_result""}",complete-branch-postcondition,slice-unknown-authority-v3
