id,api_path,raw_target,pre_audit_label,campaign_status,proof_object,body_fidelity,proof_admissibility,strict_verdict,proof_bundle,contains_unrelated_target,trust_level,resolved_source_path,resolved_source_lines,reason
array.rs__L116__a__T__N__as__core__iter__IntoIterator__into_iter,core::iter::IntoIterator::into_iter,<&'a [T; N] as core::iter::IntoIterator>::into_iter,verified,proved,local_surrogate,mechanical_desugaring,target_equivalent_axiom,known_mismatch_or_inadmissible,,False,C,/home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/array/mod.rs,362-368,"Rust implements this concrete array-reference IntoIterator as self.iter(). The surrogate executes the same call through a temporary and ghost block, but axiom_array_iter_model_coherence directly supplies the unsourced array/slice iterator-model equality needed by the target contract."
array.rs__L120__a__T__N__as__core__iter__IntoIterator__into_iter,core::iter::IntoIterator::into_iter,<&'a [T; N] as core::iter::IntoIterator>::into_iter,verified,proved,local_surrogate,mechanical_desugaring,target_equivalent_axiom,known_mismatch_or_inadmissible,,False,C,/home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/array/mod.rs,362-368,"Rust implements this concrete array-reference IntoIterator as self.iter(). The surrogate executes the same call through a temporary and ghost block, but axiom_array_iter_model_coherence directly supplies the unsourced array/slice iterator-model equality needed by the target contract."
array.rs__L143__T__N__as_slice,core::array::as_slice,<[T; N]>::as_slice,verified,proved,local_surrogate,exact_body,ordinary_acyclic,strict_faithful_admissible,,False,B,,,"Executable operations/control flow match the Rust source; differences are receiver/local renaming, qualification, or Verus-only annotations and ghost code."
float.rs__L95__f32__as__Clone__clone,core::clone::Clone::clone,<f32 as Clone>::clone,verified,proved,local_surrogate,mechanical_desugaring,ordinary_acyclic,strict_faithful_admissible,,False,A,/home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/clone.rs,708-733,"impl_clone! is invoked for f32/f64 and expands Clone::clone to `*self`. The source_* body is the same expansion after receiver-to-argument renaming; only specifications/annotations are added, with no axiom or peer dependency."
float.rs__L100__f64__as__Clone__clone,core::clone::Clone::clone,<f64 as Clone>::clone,verified,proved,local_surrogate,mechanical_desugaring,ordinary_acyclic,strict_faithful_admissible,,False,A,/home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/clone.rs,708-733,"impl_clone! is invoked for f32/f64 and expands Clone::clone to `*self`. The source_* body is the same expansion after receiver-to-argument renaming; only specifications/annotations are added, with no axiom or peer dependency."
layout.rs__L77__core__mem__size_of__V,core::mem::size_of,core::mem::size_of::<V>,unverified,proved,local_surrogate,circular_or_target_axiom,circular_or_target_axiom,known_mismatch_or_inadmissible,,False,D,,,An assumed intrinsic/layout bridge directly supplies the target size or alignment semantics.
layout.rs__L85__core__mem__align_of__V,core::mem::align_of,core::mem::align_of::<V>,unverified,proved,local_surrogate,circular_or_target_axiom,circular_or_target_axiom,known_mismatch_or_inadmissible,,False,D,,,An assumed intrinsic/layout bridge directly supplies the target size or alignment semantics.
layout.rs__L93__core__mem__size_of_val__V,core::mem::size_of_val,core::mem::size_of_val::<V>,verified,proved,local_surrogate,circular_or_target_axiom,circular_or_target_axiom,known_mismatch_or_inadmissible,,False,D,,,An assumed intrinsic/layout bridge directly supplies the target size or alignment semantics.
layout.rs__L101__core__mem__align_of_val__V,core::mem::align_of_val,core::mem::align_of_val::<V>,verified,proved,local_surrogate,circular_or_target_axiom,circular_or_target_axiom,known_mismatch_or_inadmissible,,False,C,,,An assumed intrinsic/layout bridge directly supplies the target size or alignment semantics.
raw_ptr.rs__L198__mut__T__as__PartialEq__mut__T__eq,core::cmp::PartialEq::eq,<*mut T as PartialEq<*mut T>>::eq,unverified,proved,local_surrogate,alternate_implementation,target_equivalent_axiom,known_mismatch_or_inadmissible,,False,C,/home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/ptr/mut_ptr.rs,2034-2040,"The concrete *mut T PartialEq::eq body is the builtin expression `*self == *other`. The proof replaces it with `addr() == addr() && metadata() == metadata()`, an equivalent public-method decomposition rather than syntax desugaring. Its assumed metadata specification and axiom equating Metadata PartialEqSpec with mathematical equality supply the essential target semantics."
