target,transition,prior_category,fresh_category,prior_status,fresh_status,prior_rounds,fresh_rounds,prior_initial_decision,fresh_initial_decision,prior_final_decision,fresh_final_decision,prior_contract_form,fresh_contract_form,prior_typecheck_passed,fresh_typecheck_passed,prior_det_status,fresh_det_status,prior_r0_z3,fresh_r0_z3,prior_classification,fresh_classification,prior_raw_det_reward,fresh_raw_det_reward,prior_guarded_reward,fresh_guarded_reward,prior_semantic_guarded_reward,fresh_semantic_guarded_reward,prior_issues,fresh_issues,prior_semantic_gate_issues,fresh_semantic_gate_issues,prior_semantic_review_issues,fresh_semantic_review_issues,prior_requires,fresh_requires,prior_ensures,fresh_ensures,prior_rationale,fresh_rationale,prior_requires_source_fidelity_classification,fresh_requires_source_fidelity_classification,prior_requires_source_fidelity_rationale,fresh_requires_source_fidelity_rationale,prior_requires_source_reference,fresh_requires_source_reference,prior_requires_source_excerpt,fresh_requires_source_excerpt,prior_contract_code,fresh_contract_code
alloc::borrow::Cow::into_owned,add_spec->skip,data_structure,data_structure,,,2,1,add_spec,skip,add_spec,skip,assume_specification,assume_specification,True,False,ok,,unknown,,ok_inconclusive,,0,0,0,0,0,0,classification:associated_type_or_projection;determinism_not_proved:unknown,classification:associated_type_or_projection,,,,,,,cow matches Cow::Owned(owned) ==> res == owned,,"The exact external signature does not require B: 'a. For Cow::Owned, the source moves the payload out unchanged, deterministically relating the observable result to the input. Generic borrowed conversion cannot be expressed using existing public vstd ToOwned vocabulary.","The borrowed branch calls ToOwned::to_owned, for which no public vstd result relation is supplied, while the owned branch cannot be isolated generically through an existing public specification view of Cow. Therefore no useful non-vacuous result contract is expressible.",,not_applicable,,No requires clause is present.,,,,,"pub assume_specification<'a, B: ?Sized + ToOwned>[ Cow::into_owned ](
    cow: Cow<'a, B>,
) -> (res: <B as ToOwned>::Owned)
    ensures
        cow matches Cow::Owned(owned) ==> res == owned,
;",
alloc::boxed::Box::assume_init,add_spec->skip,data_structure,data_structure,,,2,3,add_spec,add_spec,add_spec,skip,assume_specification,None,True,False,ok,,unsat,,complete,,1,0,0,0,0,0,classification:unsafe_or_representation_sensitive,classification:unsafe_or_representation_sensitive,,,,,boxed.mem_contents().is_init(),,*res == boxed.mem_contents().value(),,"Although the implementation is representation-sensitive, vstd directly models the relevant semantics: the unsafe precondition is initializedness, and the layout-preserving conversion exposes the same initialized value through the returned box.","This unsafe API performs a representation-sensitive transmute from Box<MaybeUninit<T>, A> to Box<T, A>. Although MemContents can describe initialization and the resulting value, an assume_specification would trust precisely the unsafe layout-preserving conversion that requires justification. Existing vstd vocabulary does not provide an ordinary, non-redundant contract that exposes stronger observable semantics without encoding that representation-sensitive operation as an axiom.",,not_applicable,,No requires clause is present.,,,,,"pub assume_specification<T, A: Allocator>[
    Box::<MaybeUninit<T>, A>::assume_init
](
    boxed: Box<MaybeUninit<T>, A>,
) -> (res: Box<T, A>)
    requires
        boxed.mem_contents().is_init(),
    ensures
        *res == boxed.mem_contents().value(),
;",
alloc::boxed::Box::new_uninit_slice,add_spec->skip,data_structure,data_structure,,,2,2,add_spec,add_spec,add_spec,skip,assume_specification,None,True,False,ok,,unknown,,ok_inconclusive,,0,0,0,0,0,0,classification:ownership_or_uninitialized_model;determinism_not_proved:unknown,classification:ownership_or_uninitialized_model;determinism_unsupported_contract_form,,,,,,,res@.len() == len; forall|i: int| #![trigger res@[i]] 0 <= i < len ==> res@[i].mem_contents().is_uninit(),,The source returns a slice of exactly len elements whose storage is uninitialized. The slice view and MaybeUninit mem_contents projection express both observable guarantees. Whole-result determinism is not expected because deep equality includes opaque Box and MaybeUninit representation rather than only these semantic projections.,"Although the returned slice length is source-justified and observable, the existing vstd model does not provide a suitable ordinary contract for ownership of newly allocated uninitialized storage. The proposed postcondition also produced inconclusive determinism checking, so it should not be trusted.",,not_applicable,,No requires clause is present.,,,,,"pub assume_specification<T>[ Box::<[T]>::new_uninit_slice ](
    len: usize,
) -> (res: Box<[MaybeUninit<T>]>)
    ensures
        res@.len() == len,
        forall|i: int| #![trigger res@[i]] 0 <= i < len ==> res@[i].mem_contents().is_uninit(),
;",
alloc::boxed::Box::write,add_spec->skip,data_structure,data_structure,,,2,2,add_spec,add_spec,add_spec,skip,assume_specification,None,True,False,ok,,unsat,,complete,,1,0,0,0,0,0,classification:ownership_or_uninitialized_model,classification:ownership_or_uninitialized_model;determinism_unsupported_contract_form,,,,,,,*res == value,,"The method consumes the uninitialized box, overwrites its storage with value, and only then converts it to Box<T, A>. Thus the dereferenced result observably equals value. Rust ownership already models consumption of boxed, and no assumption about its uninitialized contents is needed.","The API's essential behavior is an ownership-preserving transition from Box<MaybeUninit<T>, A> to Box<T, A>. Existing vstd vocabulary cannot express allocation identity or the initialization transition. Although *result == value typechecks, it omits that defining behavior and relies on trusted modeling of Box dereference across uninitialized storage, so it is not a suitable ordinary trusted contract.",,not_applicable,,No requires clause is present.,,,,,"pub assume_specification<T, A: Allocator>[
    Box::<MaybeUninit<T>, A>::write
](
    boxed: Box<MaybeUninit<T>, A>,
    value: T,
) -> (res: Box<T, A>)
    ensures
        *res == value,
;",
alloc::collections::BTreeMap::remove_entry,add_spec->skip,data_structure,data_structure,,,2,2,add_spec,add_spec,add_spec,skip,assume_specification,None,True,False,ok,,unsat,,complete,,1,0,1,0,0,0,,determinism_unsupported_contract_form,borrowed_key_domain_strengthening;borrowed_key_uniqueness_precondition,,,,"obeys_cmp::<Key>(); forall|left: Key, right: Key|
            sets_borrowed_key_to_key(old(m)@.dom(), key, &left)
                && sets_borrowed_key_to_key(old(m)@.dom(), key, &right)
                ==> left == right",,"match result {
            Some((stored_key, value)) => {
                &&& contains_borrowed_key(old(m)@, key)
                &&& sets_borrowed_key_to_key(old(m)@.dom(), key, &stored_key)
                &&& old(m)@.contains_key(stored_key)
                &&& old(m)@[stored_key] == value
                &&& final(m)@ == old(m)@.remove(stored_key)
            },
            None => {
                &&& !contains_borrowed_key(old(m)@, key)
                &&& final(m)@ == old(m)@
            },
        }",,"The stored-key predicate relates the returned key to the borrowed query. Its functionality precondition captures the necessary consequence of the documented ordering-compatibility requirement, after which the returned value and exact map mutation are uniquely determined.","Existing vstd borrowed-key predicates cannot identify the unique stored key selected by the query. Consequently, they cannot deterministically characterize the returned owned key-value pair together with the exact map update. Strengthening the contract would require vocabulary relating borrowed-key ordering to a specific owned key.",,not_applicable,,No requires clause is present.,,,,,"pub assume_specification<
    Key: core::borrow::Borrow<Q> + core::cmp::Ord,
    Value,
    A: alloc::alloc::Allocator + core::clone::Clone,
    Q: core::cmp::Ord + ?Sized,
>[ alloc::collections::BTreeMap::<Key, Value, A>::remove_entry::<Q> ](
    m: &mut alloc::collections::BTreeMap<Key, Value, A>,
    key: &Q,
) -> (result: core::option::Option<(Key, Value)>)
    requires
        obeys_cmp::<Key>(),
        forall|left: Key, right: Key|
            sets_borrowed_key_to_key(old(m)@.dom(), key, &left)
                && sets_borrowed_key_to_key(old(m)@.dom(), key, &right)
                ==> left == right,
    ensures
        match result {
            Some((stored_key, value)) => {
                &&& contains_borrowed_key(old(m)@, key)
                &&& sets_borrowed_key_to_key(old(m)@.dom(), key, &stored_key)
                &&& old(m)@.contains_key(stored_key)
                &&& old(m)@[stored_key] == value
                &&& final(m)@ == old(m)@.remove(stored_key)
            },
            None => {
                &&& !contains_borrowed_key(old(m)@, key)
                &&& final(m)@ == old(m)@
            },
        },
;",
alloc::collections::BTreeSet::take,add_spec->skip,data_structure,data_structure,,,2,3,add_spec,add_spec,add_spec,skip,assume_specification,None,True,False,ok,,unsat,,complete,,1,0,1,0,0,0,,determinism_unsupported_contract_form,borrowed_key_domain_strengthening;borrowed_key_uniqueness_precondition,,,,"obeys_cmp::<Key>(); forall|left: Key, right: Key|
            sets_borrowed_key_to_key(old(m)@, value, &left)
                && sets_borrowed_key_to_key(old(m)@, value, &right)
                ==> left == right",,"match result {
            Some(v) => {
                &&& set_contains_borrowed_key(old(m)@, value)
                &&& sets_borrowed_key_to_key(old(m)@, value, &v)
                &&& old(m)@.contains(v)
                &&& final(m)@ == old(m)@.remove(v)
            },
            None => {
                &&& !set_contains_borrowed_key(old(m)@, value)
                &&& final(m)@ == old(m)@
            },
        }",,"The functionality precondition captures the needed consequence of the documented borrowed-order compatibility requirement. Each result branch then identifies the returned stored element and specifies the exact set mutation, making both observable outputs deterministic.","The existing borrowed-key predicates are uninterpreted for general Key and Q, with concrete meaning only for special cases such as Key = Q and Key = Box<Q>. They do not establish that sets_borrowed_key_to_key identifies a unique returned Key, so the owned Some payload remains nondeterministic. Neither obeys_cmp::<Key>() nor the Rust bounds express the required coherence between Key ordering, Q ordering, and Borrow<Q>. Adding a uniqueness or borrow-coherence precondition would introduce a nonstandard, burdensome domain unsupported by existing vstd vocabulary. Therefore no useful ordinary deterministic contract is available.",,not_applicable,,No requires clause is present.,,,,,"pub assume_specification<
    Key: Borrow<Q> + Ord,
    A: Allocator + Clone,
    Q: Ord + ?Sized,
>[ BTreeSet::<Key, A>::take::<Q> ](
    m: &mut BTreeSet<Key, A>,
    value: &Q,
) -> (result: Option<Key>)
    requires
        obeys_cmp::<Key>(),
        forall|left: Key, right: Key|
            sets_borrowed_key_to_key(old(m)@, value, &left)
                && sets_borrowed_key_to_key(old(m)@, value, &right)
                ==> left == right,
    ensures
        match result {
            Some(v) => {
                &&& set_contains_borrowed_key(old(m)@, value)
                &&& sets_borrowed_key_to_key(old(m)@, value, &v)
                &&& old(m)@.contains(v)
                &&& final(m)@ == old(m)@.remove(v)
            },
            None => {
                &&& !set_contains_borrowed_key(old(m)@, value)
                &&& final(m)@ == old(m)@
            },
        },
;",
alloc::collections::VecDeque::binary_search_by_key,add_spec->skip,data_structure,data_structure,,,2,2,add_spec,add_spec,add_spec,skip,assume_specification,None,True,False,verus_error,,,,,,0,0,0,0,0,0,checker_status:verus_error;classification:higher_order_contract,classification:higher_order_contract;determinism_unsupported_contract_form,,,,,"B::obeys_cmp_spec(); forall|i: int| 0 <= i < v@.len() ==> { &&& #[trigger] f.requires((v@.as_ref()[i],)) &&& exists|key: B| #[trigger] f.ensures((v@.as_ref()[i],), key) }; forall|i: int, j: int, key_i: B, key_j: B| 0 <= i <= j < v@.len() && f.ensures((v@.as_ref()[i],), key_i) && f.ensures((v@.as_ref()[j],), key_j) ==> key_i.cmp_spec(b) == Ordering::Less || key_j.cmp_spec(b) == Ordering::Greater || key_i.cmp_spec(b) == key_j.cmp_spec(b)",,"match result { Ok(i) => { &&& (i as int) < v@.len() &&& exists|key: B| { &&& f.ensures((v@.as_ref()[i as int],), key) &&& key.cmp_spec(b) == Ordering::Equal } }, Err(i) => { &&& (i as int) <= v@.len() &&& forall|j: int, key: B| 0 <= j < v@.len() && f.ensures((v@.as_ref()[j],), key) ==> { &&& (j < i as int ==> key.cmp_spec(b) == Ordering::Less) &&& (i as int <= j ==> key.cmp_spec(b) == Ordering::Greater) } }, }",,"The implementation delegates to binary_search_by using f(k).cmp(b). OrdSpec relates that comparison to cmp_spec, while extractor totality and nondecreasing comparison outcomes model the documented sorted-by-key domain without excluding duplicate equal keys.","A source-justified semantic contract must relate the result to keys produced by the stateful FnMut closure, sortedness, and Ord comparisons. Existing vstd vocabulary cannot model those higher-order observations here. The previous range-only postconditions are nondeterministic and do not meaningfully specify binary search behavior; adding T: 'a would only fix the harness lifetime error.",,not_applicable,,No requires clause is present.,,,,,"pub assume_specification<'a, T, A: Allocator, B: Ord, F: FnMut(&'a T) -> B>[
    VecDeque::<T, A>::binary_search_by_key
](
    v: &'a VecDeque<T, A>,
    b: &B,
    f: F,
) -> (result: Result<usize, usize>)
    requires
        B::obeys_cmp_spec(),
        forall|i: int| 0 <= i < v@.len() ==> {
            &&& #[trigger] f.requires((v@.as_ref()[i],))
            &&& exists|key: B| #[trigger] f.ensures((v@.as_ref()[i],), key)
        },
        forall|i: int, j: int, key_i: B, key_j: B|
            0 <= i <= j < v@.len()
            && f.ensures((v@.as_ref()[i],), key_i)
            && f.ensures((v@.as_ref()[j],), key_j) ==>
                key_i.cmp_spec(b) == Ordering::Less
                || key_j.cmp_spec(b) == Ordering::Greater
                || key_i.cmp_spec(b) == key_j.cmp_spec(b),
    ensures
        match result {
            Ok(i) => {
                &&& (i as int) < v@.len()
                &&& exists|key: B| {
                    &&& f.ensures((v@.as_ref()[i as int],), key)
                    &&& key.cmp_spec(b) == Ordering::Equal
                }
            },
            Err(i) => {
                &&& (i as int) <= v@.len()
                &&& forall|j: int, key: B|
                    0 <= j < v@.len()
                    && f.ensures((v@.as_ref()[j],), key) ==> {
                        &&& (j < i as int ==> key.cmp_spec(b) == Ordering::Less)
                        &&& (i as int <= j ==> key.cmp_spec(b) == Ordering::Greater)
                    }
            },
        },
;",
alloc::collections::VecDeque::capacity,add_spec->skip,data_structure,data_structure,,,2,3,add_spec,add_spec,add_spec,skip,assume_specification,None,True,False,ok,,unknown,,ok_inconclusive,,0,0,0,0,0,0,classification:representation_or_allocator;determinism_not_proved:unknown,classification:representation_or_allocator;duplicate_vstd_assume_specification,,,,,,,v@.len() <= capacity as int,,"The allocator_api gate permits the exact generic method signature. For every allocator, the returned capacity accommodates the deque's logical elements, while exact allocation-dependent capacity remains intentionally unspecified.","vstd already provides an `assume_specification` for `VecDeque::capacity` through `CapacitySpec`; adding another contract is rejected as a duplicate. The existing specification supplies the observable capacity model, so no additional ordinary contract is needed.",,not_applicable,,No requires clause is present.,,,,,"pub assume_specification<T, A: Allocator>[
    VecDeque::<T, A>::capacity
](v: &VecDeque<T, A>) -> (capacity: usize)
    ensures
        v@.len() <= capacity as int,
;",
alloc::collections::VecDeque::partition_point,add_spec->skip,data_structure,data_structure,,,2,3,add_spec,add_spec,add_spec,skip,assume_specification,None,True,False,ok,,unknown,,ok_inconclusive,,0,0,0,0,0,0,classification:higher_order_contract;determinism_not_proved:unknown,classification:higher_order_contract;determinism_unsupported_contract_form,,,,,"forall|i: int| 0 <= i < v@.len() ==> { &&& #[trigger] pred.requires((v@.as_ref()[i],)) &&& exists|outcome: bool| #[trigger] pred.ensures((v@.as_ref()[i],), outcome) }; forall|i: int, j: int, left: bool, right: bool| 0 <= i <= j < v@.len() && #[trigger] pred.ensures((v@.as_ref()[i],), left) && #[trigger] pred.ensures((v@.as_ref()[j],), right) ==> (right ==> left)",,"(result as int) <= v@.len(); forall|i: int, outcome: bool| 0 <= i < v@.len() && #[trigger] pred.ensures((v@.as_ref()[i],), outcome) ==> (outcome <==> i < result as int)",,"The total monotone predicate relation models the documented true-prefix/false-suffix domain, and the returned index identifies that logical boundary.","The meaningful result depends on the higher-order FnMut predicate. Expressing the partition boundary requires pred.requires and pred.ensures, but determinism of that relation was not proved. Omitting the predicate semantics leaves only the weak range fact result <= v@.len(), which does not usefully characterize the observable output. No useful ordinary contract is available in the existing vstd vocabulary.",,not_applicable,,No requires clause is present.,,,,,"pub assume_specification<T, A: Allocator, P>[
    VecDeque::<T, A>::partition_point
](
    v: &VecDeque<T, A>,
    pred: P,
) -> (result: usize)
where
    P: FnMut(&T) -> bool,
    requires
        forall|i: int| 0 <= i < v@.len() ==> {
            &&& #[trigger] pred.requires((v@.as_ref()[i],))
            &&& exists|outcome: bool|
                #[trigger] pred.ensures((v@.as_ref()[i],), outcome)
        },
        forall|i: int, j: int, left: bool, right: bool|
            0 <= i <= j < v@.len()
            && #[trigger] pred.ensures((v@.as_ref()[i],), left)
            && #[trigger] pred.ensures((v@.as_ref()[j],), right)
                ==> (right ==> left),
    ensures
        (result as int) <= v@.len(),
        forall|i: int, outcome: bool|
            0 <= i < v@.len()
            && #[trigger] pred.ensures((v@.as_ref()[i],), outcome)
                ==> (outcome <==> i < result as int),
;",
alloc::collections::VecDeque::pop_back_if,add_spec->skip,data_structure,data_structure,,,2,2,add_spec,add_spec,add_spec,skip,assume_specification,None,True,False,ok,,unknown,,ok_inconclusive,,0,0,0,0,0,0,classification:higher_order_contract;determinism_not_proved:unknown;structured_contract_mismatch,classification:higher_order_contract;determinism_unsupported_contract_form,,,,,"When nonempty, the predicate accepts every mutable-reference prophecy initially containing the back element.",,"An empty deque is unchanged and returns None.; For a nonempty deque, the predicate's result determines whether its mutated back element is removed and returned or retained.",,"The source calls the predicate exactly once on the mutable back element when nonempty, then either removes and returns its mutated value or retains that mutation.","The result and final deque depend on invoking an arbitrary FnOnce that may mutate the last element and its captured state. Existing vstd vocabulary cannot express that higher-order interaction or determine which branch is taken, so an ordinary deterministic trusted contract would either omit essential semantics or overconstrain valid behavior.",,not_applicable,,No requires clause is present.,,,,,"pub assume_specification<T, A: Allocator>[
    VecDeque::<T, A>::pop_back_if
](
    v: &mut VecDeque<T, A>,
    predicate: impl FnOnce(&mut T) -> bool,
) -> (result: Option<T>)
    requires
        old(v)@.len() > 0 ==> forall|x: &mut T| #![auto]
            *x == old(v)@[old(v)@.len() as int - 1] ==> predicate.requires((x,)),
    ensures
        old(v)@.len() == 0 ==> result is None && final(v)@ == old(v)@,
        old(v)@.len() > 0 ==> exists|x: &mut T, take: bool| #![auto] {
            &&& *x == old(v)@[old(v)@.len() as int - 1]
            &&& predicate.ensures((x,), take)
            &&& (take ==> {
                &&& result == Some(*final(x))
                &&& final(v)@ == old(v)@.subrange(0, old(v)@.len() as int - 1)
            })
            &&& (!take ==> {
                &&& result is None
                &&& final(v)@ == old(v)@.update(old(v)@.len() as int - 1, *final(x))
            })
        },
;",
