target,semantic_family,status,contract_text,requires,ensures,shared_helpers,source_reference,source_excerpt,strength,known_risks,typecheck_result,determinism_result,target_binding_result,signature_shape_result,generic_bounds_result,reviewer_notes
core::slice::ChunksExact::remainder,iterator-splitting-and-chunking,generated-new-real-relation-spec,"pub assume_specification<'a, T>[ core::slice::ChunksExact::<'a, T>::remainder ]( iter: &core::slice::ChunksExact<'a, T>, ) -> (ret: &'a [T]) ensures ret@ == slice_iterator_view::<&core::slice::ChunksExact<'a, T>, T>(iter).remainder, ret@.len() < slice_iterator_view::<&core::slice::ChunksExact<'a, T>, T>(iter).chunk_size, ;",none beyond documented Rust panic/unsafe domains,ret@ equals the shared exact chunk iterator remainder and has length below the iterator chunk size,"Seq subrange/chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator remaining-sequence helpers",core/src/slice/iter.rs:1876,pub fn remainder(&self) -> &'a [T],constructor/remainder/subrange partition relation over shared iterator view,medium: executable Verus typechecked; feedback-pipeline determinism result is recorded in determinism_result,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_splitting_iterator_batch.rs --no-verify; harness=verification/harnesses/slice_splitting_iterator_batch.rs; stdout=verification/evidence/slice_splitting_iterator_batch.verus.stdout(empty); stderr=verification/evidence/slice_splitting_iterator_batch.verus.stderr(empty); static-contract-shape-check retained with executable declaration present,feedback-pipeline determinism: status=ok; R0=UNSAT; r0_z3=unsat; classification=complete; verus_rc=0; evidence=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__ChunksExact__remainder/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__ChunksExact__remainder/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__ChunksExact__remainder/det_harness.rs,target core::slice::ChunksExact::remainder bound from inventory declaration core:33656 at core/src/slice/iter.rs:1876,signature mirrored from inventory row and source declaration,none,"Executable splitting/chunk/iterator assume_specification wired through shared remainder, mutable chunk, predicate split, adjacent chunk_by, split_off, and utf8 chunk vocabulary; feedback-pipeline determinism result recorded in determinism_result."
core::slice::ChunksExactMut::into_remainder,iterator-splitting-and-chunking,generated-new-real-relation-spec,"pub assume_specification<'a, T>[ core::slice::ChunksExactMut::<'a, T>::into_remainder ]( iter: core::slice::ChunksExactMut<'a, T>, ) -> (ret: &'a mut [T]) ensures ret@ == slice_iterator_view::<core::slice::ChunksExactMut<'a, T>, T>(iter).remainder, ret@.len() < slice_iterator_view::<core::slice::ChunksExactMut<'a, T>, T>(iter).chunk_size, ;",none beyond documented Rust panic/unsafe domains,ret@ equals the shared mutable exact chunk iterator remainder and has length below the iterator chunk size,"Seq subrange/chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator remaining-sequence helpers",core/src/slice/iter.rs:2039,pub fn into_remainder(self) -> &'a mut [T],constructor/remainder/subrange partition relation over shared iterator view,medium: executable Verus typechecked; feedback-pipeline determinism result is recorded in determinism_result,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_splitting_iterator_batch.rs --no-verify; harness=verification/harnesses/slice_splitting_iterator_batch.rs; stdout=verification/evidence/slice_splitting_iterator_batch.verus.stdout(empty); stderr=verification/evidence/slice_splitting_iterator_batch.verus.stderr(empty); static-contract-shape-check retained with executable declaration present,feedback-pipeline determinism: status=ok; R0=UNSAT; r0_z3=unsat; classification=complete; verus_rc=0; evidence=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__ChunksExactMut__into_remainder/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__ChunksExactMut__into_remainder/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__ChunksExactMut__into_remainder/det_harness.rs,target core::slice::ChunksExactMut::into_remainder bound from inventory declaration core:33672 at core/src/slice/iter.rs:2039,signature mirrored from inventory row and source declaration,none,"Executable splitting/chunk/iterator assume_specification wired through shared remainder, mutable chunk, predicate split, adjacent chunk_by, split_off, and utf8 chunk vocabulary; feedback-pipeline determinism result recorded in determinism_result."
core::slice::Iter::as_slice,iterator-splitting-and-chunking,generated-new-real-relation-spec,"pub assume_specification<'a, T>[ core::slice::Iter::<'a, T>::as_slice ]( iter: &core::slice::Iter<'a, T>, ) -> (ret: &'a [T]) ensures ret@ == slice_iterator_view::<&core::slice::Iter<'a, T>, T>(iter).remaining, ;",none beyond documented Rust panic/unsafe domains,ret@ equals the immutable iterator remaining sequence in the shared iterator view,"Seq subrange/chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator remaining-sequence helpers",core/src/slice/iter.rs:135,pub fn as_slice(&self) -> &'a [T],constructor/remainder/subrange partition relation over shared iterator view,medium: executable Verus typechecked; feedback-pipeline determinism result is recorded in determinism_result,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_splitting_iterator_batch.rs --no-verify; harness=verification/harnesses/slice_splitting_iterator_batch.rs; stdout=verification/evidence/slice_splitting_iterator_batch.verus.stdout(empty); stderr=verification/evidence/slice_splitting_iterator_batch.verus.stderr(empty); static-contract-shape-check retained with executable declaration present,feedback-pipeline determinism: status=ok; R0=UNSAT; r0_z3=unsat; classification=complete; verus_rc=0; evidence=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__Iter__as_slice/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__Iter__as_slice/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__Iter__as_slice/det_harness.rs,target core::slice::Iter::as_slice bound from inventory declaration core:33478 at core/src/slice/iter.rs:135,signature mirrored from inventory row and source declaration,none,"Executable splitting/chunk/iterator assume_specification wired through shared remainder, mutable chunk, predicate split, adjacent chunk_by, split_off, and utf8 chunk vocabulary; feedback-pipeline determinism result recorded in determinism_result."
core::slice::IterMut::as_slice,iterator-splitting-and-chunking,generated-new-real-relation-spec,"pub assume_specification<'a, 'b, T>[ core::slice::IterMut::<'a, T>::as_slice ]( iter: &'b core::slice::IterMut<'a, T>, ) -> (ret: &'b [T]) ensures ret@ == slice_iterator_view::<&'b core::slice::IterMut<'a, T>, T>(iter).remaining, ;",none beyond documented Rust panic/unsafe domains,ret@ equals the mutable iterator remaining sequence in the shared iterator view,"Seq subrange/chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator remaining-sequence helpers",core/src/slice/iter.rs:311,pub fn as_slice(&self) -> &[T],constructor/remainder/subrange partition relation over shared iterator view,medium: executable Verus typechecked; feedback-pipeline determinism result is recorded in determinism_result,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_splitting_iterator_batch.rs --no-verify; harness=verification/harnesses/slice_splitting_iterator_batch.rs; stdout=verification/evidence/slice_splitting_iterator_batch.verus.stdout(empty); stderr=verification/evidence/slice_splitting_iterator_batch.verus.stderr(empty); static-contract-shape-check retained with executable declaration present,feedback-pipeline determinism: status=ok; R0=UNSAT; r0_z3=unsat; classification=complete; verus_rc=0; evidence=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__IterMut__as_slice/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__IterMut__as_slice/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__IterMut__as_slice/det_harness.rs,target core::slice::IterMut::as_slice bound from inventory declaration core:33494 at core/src/slice/iter.rs:311,signature mirrored from inventory row and source declaration,none,"Executable splitting/chunk/iterator assume_specification wired through shared remainder, mutable chunk, predicate split, adjacent chunk_by, split_off, and utf8 chunk vocabulary; feedback-pipeline determinism result recorded in determinism_result."
core::slice::IterMut::into_slice,iterator-splitting-and-chunking,generated-new-real-relation-spec,"pub assume_specification<'a, T>[ core::slice::IterMut::<'a, T>::into_slice ]( iter: core::slice::IterMut<'a, T>, ) -> (ret: &'a mut [T]) ensures ret@ == slice_iterator_view::<core::slice::IterMut<'a, T>, T>(iter).remaining, ;",none beyond documented Rust panic/unsafe domains,ret@ equals the mutable iterator remaining sequence in the shared iterator view,"Seq subrange/chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator remaining-sequence helpers",core/src/slice/iter.rs:274,pub fn into_slice(self) -> &'a mut [T],constructor/remainder/subrange partition relation over shared iterator view,medium: executable Verus typechecked; feedback-pipeline determinism result is recorded in determinism_result,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_splitting_iterator_batch.rs --no-verify; harness=verification/harnesses/slice_splitting_iterator_batch.rs; stdout=verification/evidence/slice_splitting_iterator_batch.verus.stdout(empty); stderr=verification/evidence/slice_splitting_iterator_batch.verus.stderr(empty); static-contract-shape-check retained with executable declaration present,feedback-pipeline determinism: status=ok; R0=UNSAT; r0_z3=unsat; classification=complete; verus_rc=0; evidence=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__IterMut__into_slice/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__IterMut__into_slice/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__IterMut__into_slice/det_harness.rs,target core::slice::IterMut::into_slice bound from inventory declaration core:33493 at core/src/slice/iter.rs:274,signature mirrored from inventory row and source declaration,none,"Executable splitting/chunk/iterator assume_specification wired through shared remainder, mutable chunk, predicate split, adjacent chunk_by, split_off, and utf8 chunk vocabulary; feedback-pipeline determinism result recorded in determinism_result."
core::slice::RChunksExact::remainder,iterator-splitting-and-chunking,generated-new-real-relation-spec,"pub assume_specification<'a, T>[ core::slice::RChunksExact::<'a, T>::remainder ]( iter: &core::slice::RChunksExact<'a, T>, ) -> (ret: &'a [T]) ensures ret@ == slice_iterator_view::<&core::slice::RChunksExact<'a, T>, T>(iter).remainder, ret@.len() < slice_iterator_view::<&core::slice::RChunksExact<'a, T>, T>(iter).chunk_size, ;",none beyond documented Rust panic/unsafe domains,ret@ equals the shared reverse exact chunk iterator remainder and has length below the iterator chunk size,"Seq subrange/chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator remaining-sequence helpers",core/src/slice/iter.rs:2686,pub const fn remainder(&self) -> &'a [T],constructor/remainder/subrange partition relation over shared iterator view,medium: executable Verus typechecked; feedback-pipeline determinism result is recorded in determinism_result,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_splitting_iterator_batch.rs --no-verify; harness=verification/harnesses/slice_splitting_iterator_batch.rs; stdout=verification/evidence/slice_splitting_iterator_batch.verus.stdout(empty); stderr=verification/evidence/slice_splitting_iterator_batch.verus.stderr(empty); static-contract-shape-check retained with executable declaration present,feedback-pipeline determinism: status=ok; R0=UNSAT; r0_z3=unsat; classification=complete; verus_rc=0; evidence=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__RChunksExact__remainder/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__RChunksExact__remainder/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__RChunksExact__remainder/det_harness.rs,target core::slice::RChunksExact::remainder bound from inventory declaration core:33721 at core/src/slice/iter.rs:2686,signature mirrored from inventory row and source declaration,none,"Executable splitting/chunk/iterator assume_specification wired through shared remainder, mutable chunk, predicate split, adjacent chunk_by, split_off, and utf8 chunk vocabulary; feedback-pipeline determinism result recorded in determinism_result."
core::slice::RChunksExactMut::into_remainder,iterator-splitting-and-chunking,generated-new-real-relation-spec,"pub assume_specification<'a, T>[ core::slice::RChunksExactMut::<'a, T>::into_remainder ]( iter: core::slice::RChunksExactMut<'a, T>, ) -> (ret: &'a mut [T]) ensures ret@ == slice_iterator_view::<core::slice::RChunksExactMut<'a, T>, T>(iter).remainder, ret@.len() < slice_iterator_view::<core::slice::RChunksExactMut<'a, T>, T>(iter).chunk_size, ;",none beyond documented Rust panic/unsafe domains,ret@ equals the shared mutable reverse exact chunk iterator remainder and has length below the iterator chunk size,"Seq subrange/chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator remaining-sequence helpers",core/src/slice/iter.rs:2855,pub const fn into_remainder(self) -> &'a mut [T],constructor/remainder/subrange partition relation over shared iterator view,medium: executable Verus typechecked; feedback-pipeline determinism result is recorded in determinism_result,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_splitting_iterator_batch.rs --no-verify; harness=verification/harnesses/slice_splitting_iterator_batch.rs; stdout=verification/evidence/slice_splitting_iterator_batch.verus.stdout(empty); stderr=verification/evidence/slice_splitting_iterator_batch.verus.stderr(empty); static-contract-shape-check retained with executable declaration present,feedback-pipeline determinism: status=ok; R0=UNSAT; r0_z3=unsat; classification=complete; verus_rc=0; evidence=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__RChunksExactMut__into_remainder/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__RChunksExactMut__into_remainder/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__RChunksExactMut__into_remainder/det_harness.rs,target core::slice::RChunksExactMut::into_remainder bound from inventory declaration core:33736 at core/src/slice/iter.rs:2855,signature mirrored from inventory row and source declaration,none,"Executable splitting/chunk/iterator assume_specification wired through shared remainder, mutable chunk, predicate split, adjacent chunk_by, split_off, and utf8 chunk vocabulary; feedback-pipeline determinism result recorded in determinism_result."
core::slice::align_to,raw-pointer-and-provenance,generated-new-real-relation-spec,"pub assume_specification<T, U>[ <[T]>::align_to::<U> ]( slice: &[T], ) -> (ret: (&[T], &[U], &[T])) requires slice_align_to_domain::<T, U>(slice@), ensures slice_align_to_result::<T, U>(slice@, ret.0@, ret.1@, ret.2@), ;",documented align_to transmute domain holds for T/U validity and alignment; returned middle region is within the original allocation,ret.0@ is the source prefix and ret.2@ is the source suffix with ret.0@.len() + ret.2@.len() <= slice@.len() so the source-visible prefix/suffix are disjoint and in bounds; ret.1 alignment/provenance remains modeled by the slice_aligned_middle boundary,"slice Seq/View plus pointer provenance, length, alignment, and unsafe-domain helpers",core/src/slice/mod.rs:4506,"pub unsafe fn align_to<U>(&self) -> (&[T], &[U], &[T])",necessary pointer/provenance/length/alignment relation plus sequence view where source-backed,medium: executable Verus typechecked; feedback-pipeline determinism result is recorded in determinism_result,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_remaining_families_batch.rs --no-verify; harness=verification/harnesses/slice_remaining_families_batch.rs; stdout=verification/evidence/slice_remaining_families_batch.verus.stdout(empty); stderr=verification/evidence/slice_remaining_families_batch.verus.stderr(empty); executable declaration present,"feedback-pipeline determinism: status=ok; R0=UNKNOWN; r0_z3=unknown; classification=ok_inconclusive; unknown_reason=raw-pointer-provenance-boundary; unknown_review_reason=pointer address, provenance, alignment, or layout state is source-observable but not uniquely recoverable from the pure slice Seq view; verus_rc=1; evidence=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__align_to/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__align_to/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__align_to/det_harness.rs",target core::slice::align_to bound from inventory declaration core:61130 at core/src/slice/mod.rs:4506,signature mirrored from inventory row and source declaration,<U>,"Executable remaining-family assume_specification wired through shared sorting/comparator, ASCII, raw pointer/provenance, SliceIndex, fixed-array flattening, and MaybeUninit vocabulary; feedback-pipeline determinism result recorded in determinism_result."
core::slice::align_to_mut,raw-pointer-and-provenance,generated-new-real-relation-spec,"pub assume_specification<T, U>[ <[T]>::align_to_mut::<U> ]( slice: &mut [T], ) -> (ret: (&mut [T], &mut [U], &mut [T])) requires slice_align_to_domain::<T, U>(old(slice)@), ensures slice_align_to_mut_result::<T, U>( old(slice)@, ret.0@, ret.1@, ret.2@, final(ret.0)@, final(ret.1)@, final(ret.2)@, final(slice)@, ), ;",documented align_to transmute domain holds for T/U validity and alignment; returned middle region is within the original allocation,ret.0@ is the old source prefix and ret.2@ is the old source suffix with ret.0@.len() + ret.2@.len() <= old(slice)@.len(); final(slice)@ has final(ret.0)@ as the prefix and final(ret.2)@ as the suffix with matching lengths and disjoint bounds while final(ret.1) alignment/provenance remains modeled by the slice_aligned_middle boundary,"slice Seq/View plus pointer provenance, length, alignment, and unsafe-domain helpers",core/src/slice/mod.rs:4571,"pub unsafe fn align_to_mut<U>(&mut self) -> (&mut [T], &mut [U], &mut [T])",necessary pointer/provenance/length/alignment relation plus sequence view where source-backed,medium: executable Verus typechecked; feedback-pipeline determinism result is recorded in determinism_result,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_remaining_families_batch.rs --no-verify; harness=verification/harnesses/slice_remaining_families_batch.rs; stdout=verification/evidence/slice_remaining_families_batch.verus.stdout(empty); stderr=verification/evidence/slice_remaining_families_batch.verus.stderr(empty); executable declaration present,"feedback-pipeline determinism: status=ok; R0=UNKNOWN; r0_z3=unknown; classification=ok_inconclusive; unknown_reason=raw-pointer-provenance-boundary; unknown_review_reason=pointer address, provenance, alignment, or layout state is source-observable but not uniquely recoverable from the pure slice Seq view; verus_rc=1; evidence=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__align_to_mut/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__align_to_mut/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__align_to_mut/det_harness.rs",target core::slice::align_to_mut bound from inventory declaration core:61131 at core/src/slice/mod.rs:4571,signature mirrored from inventory row and source declaration,<U>,"Executable remaining-family assume_specification wired through shared sorting/comparator, ASCII, raw pointer/provenance, SliceIndex, fixed-array flattening, and MaybeUninit vocabulary; feedback-pipeline determinism result recorded in determinism_result."
core::slice::array_windows,iterator-splitting-and-chunking,generated-new-real-relation-spec,"pub assume_specification<'a, T, const N: usize>[ <[T]>::array_windows::<N> ]( slice: &'a [T], ) -> (iter: core::slice::ArrayWindows<'a, T, N>) requires N != 0, ensures slice_iterator_view::<core::slice::ArrayWindows<'a, T, N>, T>(iter).source == slice@, slice_iterator_view::<core::slice::ArrayWindows<'a, T, N>, T>(iter).remaining == slice@, slice_iterator_view::<core::slice::ArrayWindows<'a, T, N>, T>(iter).yielded_prefix == Seq::empty(), slice_iterator_view::<core::slice::ArrayWindows<'a, T, N>, T>(iter).remainder == Seq::empty(), slice_iterator_view::<core::slice::ArrayWindows<'a, T, N>, T>(iter).chunk_size == N as int, !slice_iterator_view::<core::slice::ArrayWindows<'a, T, N>, T>(iter).reverse, ;",N != 0,"slice_iterator_view(result) records self@ as source/remaining, empty yielded_prefix and remainder, N as window size, and forward overlapping-window state","Seq source/remaining/remainder/yielded-prefix state, exact chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator helpers",core/src/slice/mod.rs:1649,"pub const fn array_windows<const N: usize>(&self) -> ArrayWindows<'_, T, N>",constructor/remainder/subrange partition relation over shared iterator view,medium: generated contract requires operator/Verus review; no target-local result view or vacuous clause used,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_splitting_iterator_batch.rs --no-verify; harness=verification/harnesses/slice_splitting_iterator_batch.rs; stdout=verification/evidence/slice_splitting_iterator_batch.verus.stdout(empty); stderr=verification/evidence/slice_splitting_iterator_batch.verus.stderr(empty); static-contract-shape-check retained with executable declaration present,feedback-pipeline determinism: status=ok; R0=UNSAT; r0_z3=unsat; classification=complete; verus_rc=0; evidence=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__array_windows/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__array_windows/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__array_windows/det_harness.rs,target core::slice::array_windows bound from inventory declaration core:33684 at core/src/slice/mod.rs:1649,signature mirrored from inventory row and source declaration,<const N: usize>,"Executable splitting/chunk/iterator assume_specification wired through shared split, array, chunk-partition, and iterator-view vocabulary; feedback-pipeline determinism result recorded in determinism_result."
