input_order,target,semantic_family,active_contract_sha256,baseline_exact_output_determinism_status,effective_exact_output_determinism_status,baseline_completeness_modulo_reviewed_equivalence_status,effective_completeness_modulo_reviewed_equivalence_status,classification_source_kind,model_id,addendum_path,result_manifest_path,accepting_review_path,exact_obligation_path,full_obligation_path,nonvacuity_path
8,core::slice::align_to,raw-pointer-and-provenance,ecdec7dc102f8a00f610ae369191cf306fabe2a435b651d7cc69d2775d75e321,conditional-complete,conditional-complete,conditional-complete,conditional-complete,certified-baseline,,,evidence/targets/008_core_slice_align_to/result.json,review/REVIEW_ACCEPTANCE_20260901T145107Z.md,,,
9,core::slice::align_to_mut,raw-pointer-and-provenance,d3f3080fe88dd4be74e095f3d06df2b686c52dd000e8bba962feaa71695cd330,conditional-complete,conditional-complete,conditional-incomplete,conditional-incomplete,certified-baseline,,,evidence/targets/009_core_slice_align_to_mut/result.json,review/REVIEW_ACCEPTANCE_20260901T145107Z.md,,,
12,core::slice::as_chunks,iterator-splitting-and-chunking,9d7c778009f44f0fd043dfc0e22215c99b3c90dde9ed5434c911087402bbe05f,conditional-complete,conditional-complete,conditional-complete,conditional-complete,certified-baseline,,,evidence/targets/012_core_slice_as_chunks/result.json,review/REVIEW_ACCEPTANCE_20260831T192724Z.md,,,
13,core::slice::as_chunks_mut,iterator-splitting-and-chunking,669f8bbc7a27aa64da763386dccd397f1d7e81db22ef7b672e71a40b69ff5e7c,conditional-complete,conditional-complete,conditional-incomplete,conditional-incomplete,certified-baseline,,,evidence/targets/013_core_slice_as_chunks_mut/result.json,review/REVIEW_ACCEPTANCE_20260831T114621Z.md,,,
14,core::slice::as_chunks_unchecked,iterator-splitting-and-chunking,a2a5116af11a32d4169f8b90ce1a319e948a4705e36b8a2c171f6a8191655b66,conditional-complete,conditional-complete,conditional-complete,conditional-complete,certified-baseline,,,evidence/targets/014_core_slice_as_chunks_unchecked/result.json,review/REVIEW_ACCEPTANCE_20260831T192724Z.md,,,
15,core::slice::as_chunks_unchecked_mut,iterator-splitting-and-chunking,c7cdf29658c01698013e14c2ab14e93699f855167a15eb4e3d697742a7d40c9a,conditional-complete,conditional-complete,conditional-incomplete,conditional-incomplete,certified-baseline,,,evidence/targets/015_core_slice_as_chunks_unchecked_mut/result.json,review/REVIEW_ACCEPTANCE_20260831T192724Z.md,,,
17,core::slice::as_flattened_mut,views-and-fixed-subranges,a5ef69f84bb6df4db9de0ae1fa18a85f58543273066f89266651e0d57090e756,conditional-complete,conditional-complete,conditional-incomplete,conditional-incomplete,certified-baseline,,,evidence/targets/017_core_slice_as_flattened_mut/result.json,review/REVIEW_ACCEPTANCE_20260901T135004Z.md,,,
18,core::slice::as_mut_array,views-and-fixed-subranges,1ac5b31b2e71effad4bc9503263318d0fe4c53b2aff998e13f2fe9faccab72c4,conditional-complete,conditional-complete,conditional-incomplete,conditional-incomplete,certified-baseline,,,evidence/targets/018_core_slice_as_mut_array/result.json,review/REVIEW_ACCEPTANCE_20260901T135004Z.md,,,
19,core::slice::as_mut_ptr,raw-pointer-and-provenance,840c4efc8976016ca0b1c8728d1cabb13529c6e83939e8ca3cbc31232ba6a14a,conditional-complete,conditional-complete,conditional-complete,conditional-complete,certified-baseline,,,evidence/targets/019_core_slice_as_mut_ptr/result.json,review/REVIEW_ACCEPTANCE_20260831T173550Z.md,,,
20,core::slice::as_mut_ptr_range,raw-pointer-and-provenance,0d55922a668ea2e52e07ca14a1146f6ff2d0c9a9d68d9369ff4171f9a6d574c1,conditional-complete,conditional-complete,conditional-complete,conditional-complete,certified-baseline,,,evidence/targets/020_core_slice_as_mut_ptr_range/result.json,review/REVIEW_ACCEPTANCE_20260831T173550Z.md,,,
21,core::slice::as_ptr,raw-pointer-and-provenance,52c2a91bc8c7e49cd77d4429bb2b2a6e50a788211f2abca511f4df650f1a5edc,conditional-complete,conditional-complete,conditional-complete,conditional-complete,certified-baseline,,,evidence/targets/021_core_slice_as_ptr/result.json,review/REVIEW_ACCEPTANCE_20260831T173550Z.md,,,
22,core::slice::as_ptr_range,raw-pointer-and-provenance,2bb2f31be87ccb793fb77b630b4b57ca59c5d534fd90d38b858122dee6212434,conditional-complete,conditional-complete,conditional-complete,conditional-complete,certified-baseline,,,evidence/targets/022_core_slice_as_ptr_range/result.json,review/REVIEW_ACCEPTANCE_20260831T133819Z.md,,,
23,core::slice::as_rchunks,iterator-splitting-and-chunking,1b3b024fdbd8f22771d68cefc3082062544ac60b7d7ac07fda1c14cab04ab3ca,conditional-complete,conditional-complete,conditional-complete,conditional-complete,certified-baseline,,,evidence/targets/023_core_slice_as_rchunks/result.json,review/REVIEW_ACCEPTANCE_20260831T192724Z.md,,,
24,core::slice::as_rchunks_mut,iterator-splitting-and-chunking,f7f4347b6b668b99b56a86daa936797fae5b45f6ffc22dbacc872c1be89b2dde,conditional-complete,conditional-complete,conditional-incomplete,conditional-incomplete,certified-baseline,,,evidence/targets/024_core_slice_as_rchunks_mut/result.json,review/REVIEW_ACCEPTANCE_20260831T192724Z.md,,,
25,core::slice::assume_init_drop,maybe-uninit-slice-storage,ec9d059a1f66ae03009745a3d37edfc5306f2c23387856ea9aa3f52cfff09efe,conditional-complete,conditional-complete,conditional-complete,conditional-complete,certified-baseline,,,evidence/targets/025_core_slice_assume_init_drop/result.json,review/REVIEW_ACCEPTANCE_20260831T205556Z.md,,,
26,core::slice::assume_init_mut,maybe-uninit-slice-storage,8d0e90b87ee12383ef38b353ff71f43a4136f565d0ae0f63651ee295c06f649a,conditional-complete,conditional-complete,conditional-incomplete,conditional-incomplete,certified-baseline,,,evidence/targets/026_core_slice_assume_init_mut/result.json,review/REVIEW_ACCEPTANCE_20260831T205556Z.md,,,
28,core::slice::binary_search,search-prefix-suffix-ordering,27d8e9d741e10e00091ad567844c0aca7d8bd48425cd705dfcf7173e0c973975,conditional-incomplete,conditional-incomplete,conditional-incomplete,conditional-incomplete,certified-baseline,,,evidence/targets/028_core_slice_binary_search/result.json,review/REVIEW_ACCEPTANCE_20260831T184122Z.md,,,
29,core::slice::binary_search_by,search-prefix-suffix-ordering,bbea7d2146da8d9116c68e9603460103ed4f7322c785180266a17b23b06c0f6b,conditional-incomplete,conditional-incomplete,conditional-incomplete,conditional-incomplete,certified-baseline,,,evidence/targets/029_core_slice_binary_search_by/result.json,review/REVIEW_ACCEPTANCE_20260831T110316Z.md,,,
30,core::slice::binary_search_by_key,search-prefix-suffix-ordering,613ffeb61ff37d877cf411db0ed8f76bcb2a93646330438d2a55cfb46e1a5ce5,conditional-incomplete,conditional-incomplete,conditional-incomplete,conditional-incomplete,certified-baseline,,,evidence/targets/030_core_slice_binary_search_by_key/result.json,review/REVIEW_ACCEPTANCE_20260831T184122Z.md,,,
32,core::slice::chunk_by_mut,iterator-splitting-and-chunking,f4d113c638ecee678916c7446e3e173c3e3b16486104fea5a2d623e9cd82646a,conditional-complete,conditional-complete,conditional-complete,conditional-complete,certified-baseline,,,evidence/targets/032_core_slice_chunk_by_mut/result.json,review/REVIEW_ACCEPTANCE_20260901T024835Z.md,,,
35,core::slice::chunks_exact_mut,iterator-splitting-and-chunking,c4e09211e598b511902feb1f0fd0207e386dd8e7077da17462c9ba20c1944c68,conditional-complete,conditional-complete,conditional-complete,conditional-complete,certified-baseline,,,evidence/targets/035_core_slice_chunks_exact_mut/result.json,review/REVIEW_ACCEPTANCE_20260901T055412Z.md,,,
36,core::slice::chunks_mut,iterator-splitting-and-chunking,2dab70b28fb6d950965db60214651aa3ebdd8bcdd55acbc04be541086ac2d091,conditional-complete,conditional-complete,conditional-complete,conditional-complete,certified-baseline,,,evidence/targets/036_core_slice_chunks_mut/result.json,review/REVIEW_ACCEPTANCE_20260901T024835Z.md,,,
37,core::slice::clone_from_slice,mutation-frame-and-permutation,a0fab9b11562f51ba66aa30d496a750f79f0e0b691e4d3e75051a847547033f5,conditional-complete,conditional-complete,conditional-complete,conditional-complete,certified-baseline,,,evidence/targets/037_core_slice_clone_from_slice/result.json,review/REVIEW_ACCEPTANCE_20260901T050359Z.md,,,
39,core::slice::element_offset,raw-pointer-and-provenance,6cb1971fc22b193456b858636b8e9d6ed1874cc9b7b9352f94eea2cf2a66960b,conditional-complete,conditional-complete,conditional-complete,conditional-complete,certified-baseline,,,evidence/targets/039_core_slice_element_offset/result.json,review/REVIEW_ACCEPTANCE_20260901T121316Z.md,,,
43,core::slice::fill,mutation-frame-and-permutation,7772c35bc8a2e714a53e79384d43b99e96daae6650124087e508e2542ceb3f38,conditional-complete,conditional-complete,conditional-complete,conditional-complete,certified-baseline,,,evidence/targets/043_core_slice_fill/result.json,review/REVIEW_ACCEPTANCE_20260901T050359Z.md,,,
46,core::slice::first_chunk_mut,iterator-splitting-and-chunking,d8923bf81d0b7f8ad6deaa97aafdc3660f245da6e77099ad672c98478c31ed55,conditional-complete,conditional-complete,conditional-incomplete,conditional-incomplete,certified-baseline,,,evidence/targets/046_core_slice_first_chunk_mut/result.json,review/REVIEW_ACCEPTANCE_20260901T135004Z.md,,,
47,core::slice::from_mut,raw-pointer-and-provenance,80ebb45d323e9d8d8aed367f6a62490611719746be7d20704ab6df5d59a5d4a7,conditional-complete,conditional-complete,conditional-incomplete,conditional-incomplete,certified-baseline,,,evidence/targets/047_core_slice_from_mut/result.json,review/REVIEW_ACCEPTANCE_20260901T135004Z.md,,,
48,core::slice::from_raw_parts,raw-pointer-and-provenance,73ec9d9cba07629dcf152cde202578a52cea87134075f0568244d747a3183769,conditional-complete,conditional-complete,conditional-complete,conditional-complete,certified-baseline,,,evidence/targets/048_core_slice_from_raw_parts/result.json,review/REVIEW_ACCEPTANCE_20260901T102036Z.md,,,
49,core::slice::from_raw_parts_mut,raw-pointer-and-provenance,47e90942a15f2cdb0e6584968eedeeb627353ed37da324f1af080c3917f0dc40,conditional-complete,conditional-complete,conditional-incomplete,conditional-incomplete,certified-baseline,,,evidence/targets/049_core_slice_from_raw_parts_mut/result.json,review/REVIEW_ACCEPTANCE_20260901T102036Z.md,,,
