target,category,status,rounds,initial_decision,final_decision,contract_form,typecheck_passed,det_status,r0_z3,classification,raw_det_reward,guarded_reward,semantic_guarded_reward,issues,semantic_gate_issues,requires,ensures,contract_code,rationale
alloc::collections::BTreeMap::append,data_structure,,1,add_spec,add_spec,assume_specification,True,ok,unsat,complete,1,1,0,,raw_btree_view_algebra,obeys_cmp::<Key>(),"final(m)@ == old(m)@.union_prefer_right(old(other)@); final(other)@ == Map::<Key, Value>::empty()","pub assume_specification<Key, Value, A: Allocator + Clone>[ BTreeMap::<Key, Value, A>::append ](
    m: &mut BTreeMap<Key, Value, A>,
    other: &mut BTreeMap<Key, Value, A>,
) where Key: Ord, A: Clone
    requires
        obeys_cmp::<Key>(),
    ensures
        final(m)@ == old(m)@.union_prefer_right(old(other)@),
        final(other)@ == Map::<Key, Value>::empty(),
;","The implementation replaces `other` with an empty map and merges its former entries into `self`, selecting `other_val` on conflicts. Thus the resulting view is a right-preferential union and `other` is empty."
alloc::collections::BTreeSet::append,data_structure,,1,add_spec,add_spec,assume_specification,True,ok,unsat,complete,1,1,0,,raw_btree_view_algebra,obeys_cmp::<Key>(),final(m)@ == old(m)@.union(old(other)@); final(other)@ == Set::<Key>::empty(),"pub assume_specification<Key, A: Allocator + Clone>[ BTreeSet::<Key, A>::append ](
    m: &mut BTreeSet<Key, A>,
    other: &mut BTreeSet<Key, A>,
) where
    Key: Ord,
    A: Clone,
    requires
        obeys_cmp::<Key>(),
    ensures
        final(m)@ == old(m)@.union(old(other)@),
        final(other)@ == Set::<Key>::empty(),
;","The documented operation and implementation move both sets' elements into self and leave other empty. Under obeys_cmp, comparator-based deduplication corresponds to semantic Set union. The repeated A: Clone method bound matches Rust 1.96."
alloc::string::String::clear,data_structure,,1,add_spec,add_spec,assume_specification,True,ok,unsat,complete,1,1,1,,,,final(s)@ == Seq::<char>::empty(),"pub assume_specification[ String::clear ](s: &mut String)
    ensures
        final(s)@ == Seq::<char>::empty(),
;","The implementation delegates to Vec::clear, which removes all contents. The contract soundly exposes the resulting empty semantic character sequence; the unit return needs no result binding."
core::mem::replace,data_structure,,1,add_spec,add_spec,assume_specification,True,ok,unsat,complete,1,1,1,,,,res == *old(dest); *final(dest) == src,"pub assume_specification<T>[ core::mem::replace ](dest: &mut T, src: T) -> (res: T)
    ensures
        res == *old(dest),
        *final(dest) == src,
    opens_invariants none
    no_unwind;","The implementation reads and returns the original destination value, then moves src into dest; it explicitly performs no drops and cannot panic."
core::option::Option::replace,data_structure,,1,add_spec,add_spec,assume_specification,True,ok,unsat,complete,1,1,1,,,,res == *old(option); *final(option) == core::option::Option::Some(value),"pub assume_specification<T>[ core::option::Option::<T>::replace ](
    option: &mut core::option::Option<T>,
    value: T,
) -> (res: core::option::Option<T>)
    ensures
        res == *old(option),
        *final(option) == core::option::Option::Some(value),
;","The implementation delegates to mem::replace(self, Some(value)), so it returns the previous Option and leaves self as Some(value)."
core::slice::clone_from_slice,data_structure,,2,add_spec,skip,assume_specification,False,,,,0,0,0,,,,,,"The source justifies only the relational `cloned` postcondition for arbitrary `T: Clone`. Existing vstd vocabulary provides no law making two such clone results semantically equal, while asserting sequence equality or adding an ad hoc uniqueness precondition would be unjustified."
core::str::make_ascii_lowercase,data_structure,,2,add_spec,skip,assume_specification,False,,,,0,0,0,,,,,,"A useful contract must describe the post-state of the exact `&mut str` receiver. The determinism checker currently materializes that state as by-value `str`, which is unsized and cannot typecheck. No contract-only revision can preserve the source signature and observable semantics while avoiding this limitation."
core::slice::split_off_last,data_structure,,2,add_spec,skip,assume_specification,False,,,,0,0,0,,,,,,"The exact nested mutable-reference signature makes the determinism checker materialize the referenced slice as by-value `[T]`, which is unsized. No ordinary contract-only revision can preserve both the API signature and its observable post-state while avoiding this checker limitation."
alloc::collections::BTreeMap::first_key_value,data_structure,,3,add_spec,add_spec,assume_specification,True,ok,unsat,complete,1,1,1,,,obeys_cmp::<Key>(),"match result {
            Some((key, value)) => {
                let min_key = m@.dom().find_unique_minimal(
                    |left: Key, right: Key| left.cmp_spec(&right) != Ordering::Greater,
                );
                &&& !m@.is_empty()
                &&& *key == min_key
                &&& m@.contains_key(*key)
                &&& *value == m@[*key]
            },
            None => m@.is_empty(),
        }","pub assume_specification<
    'a,
    Key: Ord,
    Value,
    A: Allocator + Clone,
>[ BTreeMap::<Key, Value, A>::first_key_value ](
    m: &'a BTreeMap<Key, Value, A>,
) -> (result: Option<(&'a Key, &'a Value)>)
    requires
        obeys_cmp::<Key>(),
    ensures
        match result {
            Some((key, value)) => {
                let min_key = m@.dom().find_unique_minimal(
                    |left: Key, right: Key| left.cmp_spec(&right) != Ordering::Greater,
                );
                &&& !m@.is_empty()
                &&& *key == min_key
                &&& m@.contains_key(*key)
                &&& *value == m@[*key]
            },
            None => m@.is_empty(),
        },
;","The implementation and documentation identify the returned key as the minimum key. Under obeys_cmp, the finite key domain has a unique minimum; the contract uses vstd's canonical minimum operation and relates both dereferenced outputs to the map view."
alloc::collections::BTreeSet::first,data_structure,,2,add_spec,add_spec,assume_specification,True,ok,unsat,complete,1,1,1,,,obeys_cmp::<Key>(),"match result { Some(v) => { &&& !m@.is_empty() &&& *v == m@.find_unique_minimal(|x: Key, y: Key| x.cmp_spec(&y) != Ordering::Greater,) &&& m@.contains(*v) &&& forall|x: Key| #[trigger] m@.contains(x) ==> v.cmp_spec(&x) != Ordering::Greater }, None => m@.is_empty(), }","pub assume_specification<'a, Key: Ord, A: Allocator + Clone>[
    BTreeSet::<Key, A>::first
](m: &'a BTreeSet<Key, A>) -> (result: Option<&'a Key>)
    requires
        obeys_cmp::<Key>(),
    ensures
        match result {
            Some(v) => {
                &&& !m@.is_empty()
                &&& *v == m@.find_unique_minimal(
                    |x: Key, y: Key| x.cmp_spec(&y) != Ordering::Greater,
                )
                &&& m@.contains(*v)
                &&& forall|x: Key| #[trigger] m@.contains(x) ==>
                    v.cmp_spec(&x) != Ordering::Greater
            },
            None => m@.is_empty(),
        },
;","The source returns the map's first key and documents it as the set minimum. find_unique_minimal fixes the semantic result, while the remaining clauses expose membership, nonemptiness, and minimum ordering."
