variant_id,api_path,campaign_status,strict_verdict,reason
alloc__boxed__Box__assume_init__31610a481e76,alloc::boxed::Box::assume_init,blocked,not_proved,Verus has no specification connecting transmute_unchecked to Box/MaybeUninit contents. Adding one strong enough to prove the postcondition would merely restate the target contract as a forbidden representation axiom.
alloc__boxed__Box__new_uninit_slice__e2b645085032,alloc::boxed::Box::new_uninit_slice,blocked,not_proved,"alloc::raw_vec and RawVec::{with_capacity,into_box} are crate-private. vstd provides no representation contract connecting their raw allocation to Box<[MaybeUninit<T>]> contents; adding one would restate the target contract, while public alternatives would violate source fidelity."
alloc__boxed__Box__write__28937978c6dd,alloc::boxed::Box::write,proved,strict_faithful_admissible,"Copies the exact write-then-assume_init operations and unsafe block. The MaybeUninit::write and Box::assume_init contracts are distinct lower-level calls with no return edge to Box::write, so the proof is ordinary and acyclic."
alloc__collections__BTreeMap__append__32892d7e5272,alloc::collections::BTreeMap::append,blocked,not_proved,"A standalone Verus function cannot access self.alloc or BTreeMap::merge. Public-API substitution would violate source fidelity, while axiomatizing merge would effectively restate the target contract."
alloc__collections__BTreeMap__first_key_value__cc4978f34827,alloc::collections::BTreeMap::first_key_value,blocked,not_proved,Private standard-library representation and helper visibility prevent copying the exact executable body.
alloc__collections__BTreeMap__get_key_value__59077b25b2d0,alloc::collections::BTreeMap::get_key_value,blocked,not_proved,"The body requires private BTreeMap internals: `root`, `Root`/`NodeRef`, `reborrow`, `search_tree`, `SearchResult`, and `Handle::into_kv`. Public-API substitutions violate source fidelity, while axiomatizing these operations would restate the target behavior."
alloc__collections__BTreeMap__last_key_value__f354af6f153c,alloc::collections::BTreeMap::last_key_value,blocked,not_proved,"BTreeMap::root is private, while reborrow, last_leaf_edge, left_kv, and Handle::into_kv are pub(super) internals without downstream vstd specifications. Using iter().next_back() would violate source fidelity; axiomatizing the traversal would restate the target contract."
alloc__collections__BTreeMap__pop_first__34287571ac1e,alloc::collections::BTreeMap::pop_first,blocked,not_proved,Its private fields require a forbidden `external_body` type specification; vstd also lacks contracts for `first_entry` and `OccupiedEntry::remove_entry`.
alloc__collections__BTreeMap__pop_last__737517d6276e,alloc::collections::BTreeMap::pop_last,blocked,not_proved,"BTreeMap::last_entry exposes OccupiedEntry, whose private fields require a forbidden #[verifier::external_body] external-type specification. Alternatives or a target-level axiom would violate source fidelity."
alloc__collections__BTreeMap__remove_entry__91cea7bf7c99,alloc::collections::BTreeMap::remove_entry,blocked,not_proved,"The body requires private BTreeMap internals: DormantMutRef, root and alloc fields, Root/NodeRef traversal, search_tree/SearchResult, and OccupiedEntry fields. Public-API substitution would violate source fidelity; axiomatizing these operations would restate the target behavior."
alloc__collections__BTreeMap__split_off__53793370e65e,alloc::collections::BTreeMap::split_off,blocked,not_proved,"Fields root, length, and alloc; internal Root::split_off and Root::calc_split_length; and direct BTreeMap construction are private. Public alternatives would violate fidelity or call the target circularly, while axiomatizing these operations would encode the central split semantics."
alloc__collections__BTreeSet__append__b5edcf6bd3db,alloc::collections::BTreeSet::append,blocked,not_proved,"A standalone Verus function cannot access `self.map` or `other.map`. Calling BTreeSet::append is circular, while using public alternatives or axiomatizing the private representation would violate source fidelity."
alloc__collections__BTreeSet__first__d9478603dd7d,alloc::collections::BTreeSet::first,blocked,not_proved,"Rust privacy prevents a standalone Verus function from expressing `self.map.first_key_value().map(|(k, _)| k)` on BTreeSet."
alloc__collections__BTreeSet__is_disjoint__bcdd4a231eaf,alloc::collections::BTreeSet::is_disjoint,blocked,not_proved,Its private fields require a forbidden `external_body` type specification; vstd also lacks a permissible specification for `BTreeSet::intersection`.
alloc__collections__BTreeSet__is_subset__c321a79394e5,alloc::collections::BTreeSet::is_subset,blocked,not_proved,"obeys_cmp::<T>() does not imply cmp_spec Equal means logical T equality. The source treats comparator-equal endpoints as contained, while Set<T>::subset_of uses logical equality. A valid Ord may ignore representation fields, making is_subset return true for unequal stored values. Bridging this gap would require a forbidden axiom strengthening the target contract."
alloc__collections__BTreeSet__is_superset__3f350ee497ea,alloc::collections::BTreeSet::is_superset,proved,strict_faithful_admissible,Copies the exact other.is_subset(self) delegation. The is_subset contract is a distinct lower-level API dependency and creates no cycle.
alloc__collections__BTreeSet__last__4228cf92f6a7,alloc::collections::BTreeSet::last,blocked,not_proved,"Rust privacy prevents a standalone Verus function from expressing `self.map.last_key_value().map(|(k, _)| k)` on BTreeSet."
alloc__collections__BTreeSet__pop_first__f9a507f906b9,alloc::collections::BTreeSet::pop_first,blocked,not_proved,Rust privacy prevents a standalone Verus function from expressing `m.map.pop_first().map(|kv| kv.0)`.
alloc__collections__BTreeSet__pop_last__492792c90ecb,alloc::collections::BTreeSet::pop_last,blocked,not_proved,Rust privacy prevents a standalone Verus function from expressing `m.map.pop_last().map(|kv| kv.0)`.
alloc__collections__BTreeSet__replace__b342cef88447,alloc::collections::BTreeSet::replace,blocked,not_proved,"BTreeSet::map and its internal replace operation are private. Public alternatives would violate source fidelity, while axiomatizing the representation would restate the target contract."
alloc__collections__BTreeSet__split_off__ab97859ec788,alloc::collections::BTreeSet::split_off,blocked,not_proved,A standalone Verus function cannot access self.map or construct BTreeSet { map: ... }. Calling BTreeSet::split_off is circular; public alternatives or representation axioms would violate source fidelity.
alloc__collections__BTreeSet__take__f6ab8f3c8c21,alloc::collections::BTreeSet::take,blocked,not_proved,"BTreeSet::map and its set-value representation are private. Accessing map.remove_entry is therefore impossible; public alternatives violate source fidelity, while a representation axiom would improperly replace the target proof."
alloc__rc__Rc__as_ptr__9343e83a7f06,alloc::rc::Rc::as_ptr,blocked,not_proved,"A standalone function cannot name RcInner or access Rc::ptr and RcInner::value. Public alternatives violate source fidelity, while a representation axiom would effectively restate the target contract."
alloc__rc__Rc__assume_init__395ac3bf6f20,alloc::rc::Rc::assume_init,blocked,not_proved,"Rc::into_inner_with_allocator and Rc::from_inner_in are private and operate on private RcInner representation and Rc fields. vstd provides no contracts for them. Public raw-pointer alternatives would violate source fidelity, while a sufficient representation axiom would merely restate the target contract."
alloc__rc__Rc__into_raw__5171dcaa8f75,alloc::rc::Rc::into_raw,proved,strict_faithful_admissible,"Copies ManuallyDrop::new followed by Rc::as_ptr on the dereference, preserving ownership and raw-pointer behavior. The as_ptr contract is a distinct acyclic dependency, not a representation substitute."
alloc__rc__Rc__new_uninit__8303adc688ea,alloc::rc::Rc::new_uninit,blocked,not_proved,"`Rc::allocate_for_layout` and `Rc::from_ptr` are private and expose private `RcInner<T>`. vstd provides no lower-level contracts for them. Public alternatives violate source fidelity, while a sufficient representation axiom would restate the target contract."
alloc__rc__Rc__new_uninit_slice__6cdb81c205d3,alloc::rc::Rc::new_uninit_slice,blocked,not_proved,"Rc::allocate_for_slice, Rc::from_ptr, and RcInner are private. Public substitutes would violate source fidelity, while axiomatizing their result would effectively restate the target contract."
