target,category,status,rounds,initial_decision,final_decision,contract_form,typecheck_passed,det_status,r0_z3,classification,raw_det_reward,guarded_reward,semantic_guarded_reward,issues,semantic_gate_issues,semantic_review_issues,requires,ensures,contract_code,rationale,requires_source_fidelity_classification,requires_source_fidelity_rationale,requires_source_reference,requires_source_excerpt
alloc::alloc::alloc,memory_pointer,,1,skip,skip,assume_specification,False,,,,0,0,0,classification:unsafe_or_representation_sensitive,,,,,,"The result depends on hidden global-allocator state and may be either null or a fresh allocation. No useful, non-vacuous result relation is expressible using existing public vstd vocabulary without modeling allocation ownership and provenance.",not_applicable,No requires clause is present.,,
alloc::alloc::alloc_zeroed,memory_pointer,,1,skip,skip,assume_specification,False,,,,0,0,0,classification:unsafe_or_representation_sensitive,,,,,,"Allocation success, pointer validity, alignment, ownership, and zero-initialized contents depend on hidden global-allocator and memory state. No useful sound result relation is expressible using existing public vstd vocabulary.",not_applicable,No requires clause is present.,,
alloc::alloc::dealloc,memory_pointer,,1,skip,skip,assume_specification,False,,,,0,0,0,classification:unsafe_or_representation_sensitive;no_modeled_observable_output,,,,,,dealloc returns unit and only mutates hidden global-allocator state. No useful sound relation is expressible using public vstd vocabulary without modeling allocation ownership and deallocation effects.,not_applicable,No requires clause is present.,,
alloc::alloc::handle_alloc_error,memory_pointer,,2,add_spec,skip,None,False,,,,0,0,0,classification:needs_new_vstd_abstraction,,,,,,"The only source-justified guarantee is divergence, already encoded by the never return type. Existing vstd contract vocabulary provides no useful observable postcondition for a function that cannot return normally, so an ordinary trusted contract would be redundant or vacuous.",not_applicable,No requires clause is present.,,
alloc::alloc::realloc,memory_pointer,,1,skip,skip,assume_specification,False,,,,0,0,0,classification:unsafe_or_representation_sensitive,,,,,,"realloc depends on allocator-managed hidden state and may return a null, moved, or reused raw pointer. The supplied source only establishes forwarding to the global allocator, so no useful sound result relation is expressible with public vstd vocabulary.",not_applicable,No requires clause is present.,,
alloc::borrow::Cow::into_owned,data_structure,,1,skip,skip,assume_specification,False,,,,0,0,0,classification:associated_type_or_projection,,,,,,"The borrowed branch calls ToOwned::to_owned, for which no public vstd result relation is supplied, while the owned branch cannot be isolated generically through an existing public specification view of Cow. Therefore no useful non-vacuous result contract is expressible.",not_applicable,No requires clause is present.,,
alloc::borrow::Cow::to_mut,data_structure,,4,add_spec,skip,assume_specification,False,,,,0,0,0,classification:determinism_checker_unsupported;cow_to_mut_payload_reference_model_missing,,,,,,"Rust 1.96 implements Cow::to_mut by returning the existing owned payload or cloning a borrowed payload into Cow::Owned before returning a mutable reference to that owned value. Current vstd vocabulary has no public model that relates the Cow enum payload, the ToOwned clone result, and the returned mutable reference across both source branches. The residual contract failed typechecking and would otherwise rely on unsupported enum-payload/mutable-reference reasoning, so this source-backed row is skipped rather than emitted as an underchecked assume_specification.",not_applicable,No requires clause is present.,,
alloc::borrow::ToOwned::clone_into,trait_method,,1,skip,skip,external_trait_specification,False,,,,0,0,0,classification:trait_contract_integration;determinism_unsupported_contract_form,,,,,,"The method returns unit and mutates target, but ToOwned imposes no semantic law relating self to Owned. Implementations may override the default, so no useful universal postcondition is justified.",not_applicable,No requires clause is present.,,
alloc::borrow::ToOwned::to_owned,trait_method,,1,skip,skip,external_trait_specification,False,,,,0,0,0,classification:trait_contract_integration;determinism_unsupported_contract_form,,,,,,"The trait permits arbitrary implementations and provides no enforceable semantic relation between `self` and the returned `Self::Owned`. The `Owned: Borrow<Self>` bound constrains only the associated type, not the value returned by `to_owned`, so no useful non-vacuous postcondition is justified for every implementation.",not_applicable,No requires clause is present.,,
alloc::boxed::Box::as_mut_ptr,data_structure,,2,add_spec,skip,None,False,,,,0,0,0,classification:unsafe_or_representation_sensitive,,,,,,"The meaningful behavior is the returned raw pointer's provenance, metadata, aliasing validity, and relationship to the Box allocation. Existing vstd vocabulary cannot express those guarantees. Non-nullness alone is representation-sensitive and insufficiently useful, while preserving the Box is redundant with the shared contract semantics of this accessor.",not_applicable,No requires clause is present.,,
