target,transition,fresh_category,fresh_final_decision,rationale_taxonomy,taxonomy_source_fields,taxonomy_source_backed,adequacy_verdict,adequacy_notes,unjustified_change,change_direction,fresh_issues_combined,fresh_rationale,fresh_requires,fresh_requires_source_fidelity_classification,fresh_requires_source_reference,fresh_requires_source_excerpt
alloc::borrow::Cow::into_owned,add_spec->skip,data_structure,skip,associated_type_or_projection_gap,fresh_issue_tags;fresh_rationale;fresh_requires_source_fidelity_rationale;manifest_source_context,true,adequate_source_backed_skip,fresh issue tags identify generic associated-type or projection results without an available public relation,false,downgrade,classification:associated_type_or_projection,"The borrowed branch calls ToOwned::to_owned, for which no public vstd result relation is supplied, while the owned branch cannot be isolated generically through an existing public specification view of Cow. Therefore no useful non-vacuous result contract is expressible.",,not_applicable,,
alloc::boxed::Box::assume_init,add_spec->skip,data_structure,skip,unsafe_or_representation_sensitive,fresh_issue_tags;fresh_rationale;fresh_requires_source_fidelity_rationale;manifest_source_context,true,adequate_source_backed_skip,"fresh issue tags identify unsafe representation, provenance, or raw pointer behavior that would be trusted as an axiom",false,downgrade,classification:unsafe_or_representation_sensitive,"This unsafe API performs a representation-sensitive transmute from Box<MaybeUninit<T>, A> to Box<T, A>. Although MemContents can describe initialization and the resulting value, an assume_specification would trust precisely the unsafe layout-preserving conversion that requires justification. Existing vstd vocabulary does not provide an ordinary, non-redundant contract that exposes stronger observable semantics without encoding that representation-sensitive operation as an axiom.",,not_applicable,,
alloc::boxed::Box::new_uninit_slice,add_spec->skip,data_structure,skip,ownership_or_uninitialized_model_gap,fresh_issue_tags;fresh_rationale;fresh_requires_source_fidelity_rationale;manifest_source_context,true,adequate_source_backed_skip,fresh issue tags identify ownership or MaybeUninit state that is not modeled by available public views,false,downgrade,classification:ownership_or_uninitialized_model;determinism_unsupported_contract_form,"Although the returned slice length is source-justified and observable, the existing vstd model does not provide a suitable ordinary contract for ownership of newly allocated uninitialized storage. The proposed postcondition also produced inconclusive determinism checking, so it should not be trusted.",,not_applicable,,
alloc::boxed::Box::write,add_spec->skip,data_structure,skip,ownership_or_uninitialized_model_gap,fresh_issue_tags;fresh_rationale;fresh_requires_source_fidelity_rationale;manifest_source_context,true,adequate_source_backed_skip,fresh issue tags identify ownership or MaybeUninit state that is not modeled by available public views,false,downgrade,classification:ownership_or_uninitialized_model;determinism_unsupported_contract_form,"The API's essential behavior is an ownership-preserving transition from Box<MaybeUninit<T>, A> to Box<T, A>. Existing vstd vocabulary cannot express allocation identity or the initialization transition. Although *result == value typechecks, it omits that defining behavior and relies on trusted modeling of Box dereference across uninitialized storage, so it is not a suitable ordinary trusted contract.",,not_applicable,,
alloc::collections::BTreeMap::get_mut,skip->add_spec,data_structure,add_spec,accepted_source_justified_precondition,fresh_rationale;fresh_requires_source_reference;fresh_requires_source_excerpt;fresh_requires_source_fidelity_rationale;manifest_source_context,true,adequate_source_backed_add_spec,fresh accepted contract has a non-empty requires clause with source-fidelity reference and excerpt,false,upgrade,,"Rust 1.96 documents BTreeMap::get_mut as returning a mutable reference to the value for the borrowed key, requires borrowed-form ordering to match the key ordering, and implements the lookup by search_tree(key) with Found(handle) returning handle.into_val_mut(). The contract chooses the stored key selected by the borrowed-key model, returns the old value through that mutable reference, and records that the lookup itself does not mutate the map.",obeys_cmp::<Key>(),source_justified,alloc/src/collections/btree/map.rs:1006,"981: K: Borrow<Q> + Ord, 982: Q: Ord, 987: /// Returns a mutable reference to the value corresponding to the key. 1006: pub fn get_mut<Q: ?Sized>(&mut self, key: &Q) -> Option<&mut V> 1008: K: Borrow<Q> + Ord, 1009: Q: Ord, 1012: match root_node.search_tree(key) { 1013: Found(handle) => Some(handle.into_val_mut()), 1014: GoDown(_) => None,"
alloc::collections::BTreeMap::remove_entry,add_spec->skip,data_structure,skip,borrowed_key_model_underdetermined,fresh_issue_tags;fresh_rationale;fresh_requires_source_fidelity_rationale;manifest_source_context,true,adequate_source_backed_skip,fresh rationale identifies borrowed-key lookup semantics that cannot select a unique stored key with existing predicates,false,downgrade,determinism_unsupported_contract_form,"Existing vstd borrowed-key predicates cannot identify the unique stored key selected by the query. Consequently, they cannot deterministically characterize the returned owned key-value pair together with the exact map update. Strengthening the contract would require vocabulary relating borrowed-key ordering to a specific owned key.",,not_applicable,,
alloc::collections::BTreeSet::take,add_spec->skip,data_structure,skip,borrowed_key_model_underdetermined,fresh_issue_tags;fresh_rationale;fresh_requires_source_fidelity_rationale;manifest_source_context,true,adequate_source_backed_skip,fresh rationale identifies borrowed-key lookup semantics that cannot select a unique stored key with existing predicates,false,downgrade,determinism_unsupported_contract_form,"The existing borrowed-key predicates are uninterpreted for general Key and Q, with concrete meaning only for special cases such as Key = Q and Key = Box<Q>. They do not establish that sets_borrowed_key_to_key identifies a unique returned Key, so the owned Some payload remains nondeterministic. Neither obeys_cmp::<Key>() nor the Rust bounds express the required coherence between Key ordering, Q ordering, and Borrow<Q>. Adding a uniqueness or borrow-coherence precondition would introduce a nonstandard, burdensome domain unsupported by existing vstd vocabulary. Therefore no useful ordinary deterministic contract is available.",,not_applicable,,
alloc::collections::LinkedList::back_mut,skip->add_spec,data_structure,add_spec,accepted_collection_lookup_or_conversion_contract,fresh_rationale;fresh_requires_source_fidelity_rationale;manifest_source_context,true,adequate_source_backed_add_spec,fresh accepted contract exposes stable collection lookup or conversion semantics with no semantic-gate issues,false,upgrade,,"Rust 1.96 implements LinkedList::back_mut as `self.tail.as_mut().map(|node| &mut node.as_mut().element)`, so it returns Some exactly for nonempty lists and projects the old tail element. The contract models only the observable sequence value of that returned mutable reference and preserves both the returned value and the list view at function return, without pointer or private-node identity claims.",,not_applicable,,
alloc::collections::VecDeque::binary_search,skip->add_spec,data_structure,add_spec,accepted_source_justified_precondition,fresh_rationale;fresh_requires_source_reference;fresh_requires_source_excerpt;fresh_requires_source_fidelity_rationale;manifest_source_context,true,adequate_source_backed_add_spec,fresh accepted contract has a non-empty requires clause with source-fidelity reference and excerpt,false,upgrade,,"For a sorted deque with lawful modeled comparison, binary_search returns the unique matching index or the unique insertion index. Requiring at most one element equal to the searched value removes the documented duplicate-match nondeterminism without requiring all deque elements to be distinct. Parenthesizing casts in chained comparisons makes the contract parse and typecheck in Verus.","obeys_cmp::<T>(); forall|i: int, j: int| 0 <= i < j < v@.len() ==>
            v@[i].cmp_spec(&v@[j]) != Ordering::Greater; forall|i: int, j: int|
            0 <= i < v@.len() && 0 <= j < v@.len()
            && v@[i].cmp_spec(x) == Ordering::Equal
            && v@[j].cmp_spec(x) == Ordering::Equal ==> i == j",source_justified,alloc/src/collections/vec_deque/mod.rs:3201,"3156: /// one of the matches could be returned. If the value is not found then 3157: /// [`Result::Err`] is returned, containing the index where a matching 3158: /// element could be inserted while maintaining sorted order. 3169: /// uniquely determined position; the second and third are not 3193: /// // If `num` is unique, `s.partition_point(|&x| x < num)` (with `<`) is equivalent to 3201: pub fn binary_search(&self, x: &T) -> Result<usize, usize> 3203: T: Ord, 3205: self.binary_search_by(|e| e.cmp(x)) 3213: /// If the `VecDeque` is not sorted or if the comparator function does not 3218: /// index of the matching element. If there are multiple matches, then any 3219: /// one of the matches could be returned. If the value is not found then 3220: /// [`Result::Err`] is returned, containing the index where a matching 3221: /// element could be inserted while maintaining sorted order. 3232: /// uniquely determined position; the second and third are not"
alloc::collections::VecDeque::binary_search_by_key,add_spec->skip,data_structure,skip,higher_order_behavior_unmodeled,fresh_issue_tags;fresh_rationale;fresh_requires_source_fidelity_rationale;manifest_source_context,true,adequate_source_backed_skip,fresh issue tags identify higher-order closure or predicate behavior that the public model cannot observe completely,false,downgrade,classification:higher_order_contract;determinism_unsupported_contract_form,"A source-justified semantic contract must relate the result to keys produced by the stateful FnMut closure, sortedness, and Ord comparisons. Existing vstd vocabulary cannot model those higher-order observations here. The previous range-only postconditions are nondeterministic and do not meaningfully specify binary search behavior; adding T: 'a would only fix the harness lifetime error.",,not_applicable,,
