id,api_path,raw_target,source_file,source_line,category,status,r0_z3,classification,equal_fn_trivial
array.rs__L116__a__T__N__as__core__iter__IntoIterator__into_iter,core::iter::IntoIterator::into_iter,<&'a [T; N] as core::iter::IntoIterator>::into_iter,array.rs,116,complete,ok,unsat,complete,False
array.rs__L120__a__T__N__as__core__iter__IntoIterator__into_iter,core::iter::IntoIterator::into_iter,<&'a [T; N] as core::iter::IntoIterator>::into_iter,array.rs,120,complete,ok,unsat,complete,False
array.rs__L143__T__N__as_slice,core::array::as_slice,<[T; N]>::as_slice,array.rs,143,complete,ok,unsat,complete,False
float.rs__L100__f64__as__Clone__clone,core::clone::Clone::clone,<f64 as Clone>::clone,float.rs,100,complete,ok,unsat,complete,False
float.rs__L95__f32__as__Clone__clone,core::clone::Clone::clone,<f32 as Clone>::clone,float.rs,95,complete,ok,unsat,complete,False
layout.rs__L101__core__mem__align_of_val__V,core::mem::align_of_val,core::mem::align_of_val::<V>,layout.rs,101,complete,ok,unsat,complete,False
layout.rs__L77__core__mem__size_of__V,core::mem::size_of,core::mem::size_of::<V>,layout.rs,77,complete,ok,unsat,complete,False
layout.rs__L85__core__mem__align_of__V,core::mem::align_of,core::mem::align_of::<V>,layout.rs,85,complete,ok,unsat,complete,False
layout.rs__L93__core__mem__size_of_val__V,core::mem::size_of_val,core::mem::size_of_val::<V>,layout.rs,93,complete,ok,unsat,complete,False
raw_ptr.rs__L198__mut__T__as__PartialEq__mut__T__eq,core::cmp::PartialEq::eq,<*mut T as PartialEq<*mut T>>::eq,raw_ptr.rs,198,complete,ok,unsat,complete,False
raw_ptr.rs__L221__const__T__as__PartialEq__const__T__eq,core::cmp::PartialEq::eq,<*const T as PartialEq<*const T>>::eq,raw_ptr.rs,221,complete,ok,unsat,complete,False
raw_ptr.rs__L401__core__ptr__null,core::ptr::null,core::ptr::null,raw_ptr.rs,401,trivial_equality,ok,unsat,invalid_equal_fn_trivial,True
raw_ptr.rs__L403__core__ptr__null,core::ptr::null,core::ptr::null,raw_ptr.rs,403,trivial_equality,ok,unsat,invalid_equal_fn_trivial,True
