canonical_target,source_signature,source_location,copied_source_path,coverage_contract_evidence,vstd_copied_path,vstd_declaration_line,vstd_declaration,target_binding_status,receiver_shape_status,parameter_shape_status,return_shape_status,generic_bounds_status,exact_match_status
alloc::vec::Vec::append,"pub fn append(&mut self, other: &mut Self)",alloc/src/vec/mod.rs:2930,rust-alloc-vec/vec/mod.rs,std_specs/vec.rs:154,vstd-baseline/std_specs/vec.rs,154,"pub assume_specification<T, A: Allocator>[ Vec::<T, A>::append ]( vec: &mut Vec<T, A>, other: &mut Vec<T, A>, ) ensures final(vec)@ == old(vec)@ + old(other)@, final(other)@ == Seq::<T>::empty(),",ok,ok,ok,ok,ok,exact-existing-vstd
alloc::vec::Vec::as_mut_slice,pub const fn as_mut_slice(&mut self) -> &mut [T],alloc/src/vec/mod.rs:1892,rust-alloc-vec/vec/mod.rs,std_specs/vec.rs:242,vstd-baseline/std_specs/vec.rs,242,"pub assume_specification<T, A: Allocator>[ Vec::<T, A>::as_mut_slice ](vec: &mut Vec<T, A>) -> (slice: &mut [T]) ensures slice@ == old(vec)@, final(slice)@ == final(vec)@,",ok,ok,ok,ok,ok,exact-existing-vstd
alloc::vec::Vec::as_slice,pub const fn as_slice(&self) -> &[T],alloc/src/vec/mod.rs:1856,rust-alloc-vec/vec/mod.rs,std_specs/vec.rs:236,vstd-baseline/std_specs/vec.rs,236,"pub assume_specification<T, A: Allocator>[ Vec::<T, A>::as_slice ](vec: &Vec<T, A>) -> (slice: &[T]) ensures slice@ == vec@,",ok,ok,ok,ok,ok,exact-existing-vstd
alloc::vec::Vec::capacity,pub const fn capacity(&self) -> usize,alloc/src/vec/mod.rs:1444,rust-alloc-vec/vec/mod.rs,std_specs/capacity.rs:37,vstd-baseline/std_specs/capacity.rs,37,"pub assume_specification<T, A: Allocator>[ Vec::<T, A>::capacity ](v: &Vec<T, A>) -> (result: usize) ensures result as nat == v.spec_capacity(),",ok,ok,ok,ok,ok,exact-existing-vstd
alloc::vec::Vec::clear,pub fn clear(&mut self),alloc/src/vec/mod.rs:3031,rust-alloc-vec/vec/mod.rs,std_specs/vec.rs:231,vstd-baseline/std_specs/vec.rs,231,"pub assume_specification<T, A: Allocator>[ Vec::<T, A>::clear ](vec: &mut Vec<T, A>) ensures final(vec).view() == Seq::<T>::empty(),",ok,ok,ok,ok,ok,exact-existing-vstd
alloc::vec::Vec::extend_from_slice,"pub fn extend_from_slice(&mut self, other: &[T])",alloc/src/vec/mod.rs:3566,rust-alloc-vec/vec/mod.rs,std_specs/vec.rs:163,vstd-baseline/std_specs/vec.rs,163,"pub assume_specification<T: core::clone::Clone, A: Allocator>[ Vec::<T, A>::extend_from_slice ]( vec: &mut Vec<T, A>, other: &[T], ) ensures final(vec)@.len() == old(vec)@.len() + other@.len(), forall|i: int| #![trigger final(vec)@[i]] 0 <= i < final(vec)@.len() ==> if i < old(vec)@.len() { final(vec)@[i] == old(vec)@[i] } else { cloned::<T>(other@[i - old(vec)@.len()], final(vec)@[i]) },",ok,ok,ok,ok,ok,exact-existing-vstd
alloc::vec::Vec::insert,"pub fn insert(&mut self, index: usize, element: T)",alloc/src/vec/mod.rs:2309,rust-alloc-vec/vec/mod.rs,std_specs/vec.rs:203,vstd-baseline/std_specs/vec.rs,203,"pub assume_specification<T, A: Allocator>[ Vec::<T, A>::insert ]( vec: &mut Vec<T, A>, i: usize, element: T, ) requires i <= old(vec).len(), ensures final(vec)@ == old(vec)@.insert(i as int, element),",ok,ok,ok,ok,ok,exact-existing-vstd
alloc::vec::Vec::is_empty,pub const fn is_empty(&self) -> bool,alloc/src/vec/mod.rs:3088,rust-alloc-vec/vec/mod.rs,std_specs/vec.rs:214,vstd-baseline/std_specs/vec.rs,214,"pub assume_specification<T, A: Allocator> [ <Vec<T, A>>::is_empty ]( v: &Vec<T, A>, ) -> (res: bool) ensures res <==> v@.len() == 0,",ok,ok,ok,ok,ok,exact-existing-vstd
alloc::vec::Vec::len,pub const fn len(&self) -> usize,alloc/src/vec/mod.rs:3063,rust-alloc-vec/vec/mod.rs,std_specs/vec.rs:93,vstd-baseline/std_specs/vec.rs,93,"pub assume_specification<T, A: Allocator>[ Vec::<T, A>::len ](vec: &Vec<T, A>) -> (len: usize) ensures len == spec_vec_len(vec), no_unwind",ok,ok,ok,ok,ok,exact-existing-vstd
alloc::vec::Vec::new,pub const fn new() -> Self,alloc/src/vec/mod.rs:461,rust-alloc-vec/vec/mod.rs,std_specs/vec.rs:100,vstd-baseline/std_specs/vec.rs,100,"pub assume_specification<T>[ Vec::<T>::new ]() -> (v: Vec<T>) ensures v@ == Seq::<T>::empty(),",ok,ok,ok,ok,ok,exact-existing-vstd
