target,no_feedback_status,with_feedback_status,no_feedback_complete,with_feedback_complete,no_feedback_proof_status,with_feedback_proof_status,no_feedback_no_spec_reason,with_feedback_no_spec_reason,initial_classification
alloc::alloc::alloc,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
alloc::alloc::alloc_zeroed,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
alloc::alloc::dealloc,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
alloc::alloc::handle_alloc_error,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
alloc::alloc::realloc,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
alloc::borrow::Cow::into_owned,typecheck_or_checker_failure,unknown,False,False,no_valid_spec,not_proved,associated_type_or_projection,,associated_type_or_projection
alloc::borrow::Cow::to_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
alloc::borrow::ToOwned::clone_into,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
alloc::borrow::ToOwned::to_owned,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,trait_contract_integration,trait_contract_integration,trait_contract_integration
alloc::boxed::Box::as_mut_ptr,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
alloc::boxed::Box::as_ptr,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
alloc::boxed::Box::assume_init,complete,complete,True,True,not_proved,not_proved,,,unsafe_or_representation_sensitive
alloc::boxed::Box::downcast,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
alloc::boxed::Box::from_raw,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
alloc::boxed::Box::into_pin,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,ownership_or_uninitialized_model,ownership_or_uninitialized_model,ownership_or_uninitialized_model
alloc::boxed::Box::into_raw,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive,unsafe_or_representation_sensitive
alloc::boxed::Box::leak,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
alloc::boxed::Box::new_uninit_slice,unknown,unknown,False,False,not_proved,not_proved,,,ownership_or_uninitialized_model
alloc::boxed::Box::new_zeroed,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,ownership_or_uninitialized_model,ownership_or_uninitialized_model,ownership_or_uninitialized_model
alloc::boxed::Box::new_zeroed_slice,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,ownership_or_uninitialized_model,ownership_or_uninitialized_model,ownership_or_uninitialized_model
alloc::boxed::Box::pin,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,ownership_or_uninitialized_model,ownership_or_uninitialized_model,ownership_or_uninitialized_model
alloc::boxed::Box::write,complete,complete,True,True,strict_faithful_admissible,strict_faithful_admissible,,,ownership_or_uninitialized_model
alloc::boxed::BoxedArrayIntoIter::as_mut_slice,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
alloc::boxed::BoxedArrayIntoIter::as_slice,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,toolchain_unavailable,toolchain_unavailable,toolchain_unavailable
alloc::collections::BTreeMap::append,complete,complete,True,True,not_proved,not_proved,,,suitable_now
alloc::collections::BTreeMap::entry,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
alloc::collections::BTreeMap::extract_if,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
alloc::collections::BTreeMap::first_entry,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,complex_result_or_pattern_model,complex_result_or_pattern_model,complex_result_or_pattern_model
alloc::collections::BTreeMap::first_key_value,unknown,complete,False,True,not_proved,not_proved,,,suitable_now
alloc::collections::BTreeMap::get_key_value,unknown,skip_no_spec,False,False,not_proved,no_valid_spec,,needs_borrowed_key_or_ordering_model,suitable_now
alloc::collections::BTreeMap::get_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
alloc::collections::BTreeMap::into_keys,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
alloc::collections::BTreeMap::into_values,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
alloc::collections::BTreeMap::iter_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
alloc::collections::BTreeMap::last_entry,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,complex_result_or_pattern_model,complex_result_or_pattern_model,complex_result_or_pattern_model
alloc::collections::BTreeMap::last_key_value,complete,complete,True,True,not_proved,not_proved,,,suitable_now
alloc::collections::BTreeMap::pop_first,unknown,complete,False,True,not_proved,not_proved,,,suitable_now
alloc::collections::BTreeMap::pop_last,unknown,complete,False,True,not_proved,not_proved,,,suitable_now
alloc::collections::BTreeMap::range,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
alloc::collections::BTreeMap::range_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
alloc::collections::BTreeMap::remove_entry,unknown,complete,False,True,not_proved,not_proved,,,suitable_now
alloc::collections::BTreeMap::retain,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
alloc::collections::BTreeMap::split_off,unknown,skip_no_spec,False,False,not_proved,no_valid_spec,,needs_borrowed_key_or_ordering_model,suitable_now
alloc::collections::BTreeMap::values_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
alloc::collections::BTreeSet::append,complete,complete,True,True,not_proved,not_proved,,,suitable_now
alloc::collections::BTreeSet::difference,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
alloc::collections::BTreeSet::extract_if,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
alloc::collections::BTreeSet::first,unknown,complete,False,True,not_proved,not_proved,,,suitable_now
alloc::collections::BTreeSet::intersection,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
alloc::collections::BTreeSet::is_disjoint,complete,complete,True,True,not_proved,not_proved,,,suitable_now
alloc::collections::BTreeSet::is_subset,complete,complete,True,True,not_proved,not_proved,,,suitable_now
alloc::collections::BTreeSet::is_superset,complete,complete,True,True,strict_faithful_admissible,strict_faithful_admissible,,,suitable_now
alloc::collections::BTreeSet::last,unknown,complete,False,True,not_proved,not_proved,,,suitable_now
alloc::collections::BTreeSet::pop_first,unknown,complete,False,True,not_proved,not_proved,,,suitable_now
alloc::collections::BTreeSet::pop_last,unknown,complete,False,True,not_proved,not_proved,,,suitable_now
alloc::collections::BTreeSet::range,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
alloc::collections::BTreeSet::replace,unknown,complete,False,True,not_proved,not_proved,,,suitable_now
alloc::collections::BTreeSet::retain,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
alloc::collections::BTreeSet::split_off,unknown,skip_no_spec,False,False,not_proved,no_valid_spec,,needs_borrowed_key_or_ordering_model,suitable_now
alloc::collections::BTreeSet::symmetric_difference,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
alloc::collections::BTreeSet::take,unknown,complete,False,True,not_proved,not_proved,,,suitable_now
alloc::collections::BTreeSet::union,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
alloc::collections::BinaryHeap::append,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
alloc::collections::BinaryHeap::as_slice,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
alloc::collections::BinaryHeap::capacity,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,representation_or_allocator,representation_or_allocator,representation_or_allocator
alloc::collections::BinaryHeap::clear,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
alloc::collections::BinaryHeap::drain,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
alloc::collections::BinaryHeap::into_sorted_vec,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
alloc::collections::BinaryHeap::into_vec,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
alloc::collections::BinaryHeap::is_empty,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
alloc::collections::BinaryHeap::iter,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
alloc::collections::BinaryHeap::len,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
alloc::collections::BinaryHeap::new,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
alloc::collections::BinaryHeap::peek,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
alloc::collections::BinaryHeap::peek_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
alloc::collections::BinaryHeap::pop,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
