target,category,status,rounds,initial_decision,final_decision,contract_form,typecheck_passed,det_status,r0_z3,classification,raw_det_reward,guarded_reward,semantic_guarded_reward,issues,semantic_gate_issues,semantic_review_issues,requires,ensures,contract_code,rationale
alloc::collections::VecDeque::binary_search_by,data_structure,,2,add_spec,skip,assume_specification,False,,,,0,0,0,classification:higher_order_contract,,,,,,"Although allocator_api would fix typechecking, a deterministic Ok index cannot be expressed from v@ and FnMut contracts. With duplicate matches, the implementation may return the deque's internal slice boundary or a slice-search result; that physical split is absent from current vstd vocabulary. Requiring a unique match or claiming a canonical match would exclude documented valid calls or contradict the source."
alloc::collections::VecDeque::binary_search_by_key,data_structure,,2,add_spec,add_spec,assume_specification,True,verus_error,,,0,0,0,checker_status:verus_error;classification:higher_order_contract,,,"B::obeys_cmp_spec(); forall|i: int| 0 <= i < v@.len() ==> { &&& #[trigger] f.requires((v@.as_ref()[i],)) &&& exists|key: B| #[trigger] f.ensures((v@.as_ref()[i],), key) }; forall|i: int, j: int, key_i: B, key_j: B| 0 <= i <= j < v@.len() && f.ensures((v@.as_ref()[i],), key_i) && f.ensures((v@.as_ref()[j],), key_j) ==> key_i.cmp_spec(b) == Ordering::Less || key_j.cmp_spec(b) == Ordering::Greater || key_i.cmp_spec(b) == key_j.cmp_spec(b)","match result { Ok(i) => { &&& (i as int) < v@.len() &&& exists|key: B| { &&& f.ensures((v@.as_ref()[i as int],), key) &&& key.cmp_spec(b) == Ordering::Equal } }, Err(i) => { &&& (i as int) <= v@.len() &&& forall|j: int, key: B| 0 <= j < v@.len() && f.ensures((v@.as_ref()[j],), key) ==> { &&& (j < i as int ==> key.cmp_spec(b) == Ordering::Less) &&& (i as int <= j ==> key.cmp_spec(b) == Ordering::Greater) } }, }","pub assume_specification<'a, T, A: Allocator, B: Ord, F: FnMut(&'a T) -> B>[
    VecDeque::<T, A>::binary_search_by_key
](
    v: &'a VecDeque<T, A>,
    b: &B,
    f: F,
) -> (result: Result<usize, usize>)
    requires
        B::obeys_cmp_spec(),
        forall|i: int| 0 <= i < v@.len() ==> {
            &&& #[trigger] f.requires((v@.as_ref()[i],))
            &&& exists|key: B| #[trigger] f.ensures((v@.as_ref()[i],), key)
        },
        forall|i: int, j: int, key_i: B, key_j: B|
            0 <= i <= j < v@.len()
            && f.ensures((v@.as_ref()[i],), key_i)
            && f.ensures((v@.as_ref()[j],), key_j) ==>
                key_i.cmp_spec(b) == Ordering::Less
                || key_j.cmp_spec(b) == Ordering::Greater
                || key_i.cmp_spec(b) == key_j.cmp_spec(b),
    ensures
        match result {
            Ok(i) => {
                &&& (i as int) < v@.len()
                &&& exists|key: B| {
                    &&& f.ensures((v@.as_ref()[i as int],), key)
                    &&& key.cmp_spec(b) == Ordering::Equal
                }
            },
            Err(i) => {
                &&& (i as int) <= v@.len()
                &&& forall|j: int, key: B|
                    0 <= j < v@.len()
                    && f.ensures((v@.as_ref()[j],), key) ==> {
                        &&& (j < i as int ==> key.cmp_spec(b) == Ordering::Less)
                        &&& (i as int <= j ==> key.cmp_spec(b) == Ordering::Greater)
                    }
            },
        },
;","The implementation delegates to binary_search_by using f(k).cmp(b). OrdSpec relates that comparison to cmp_spec, while extractor totality and nondecreasing comparison outcomes model the documented sorted-by-key domain without excluding duplicate equal keys."
alloc::collections::VecDeque::partition_point,data_structure,,2,add_spec,add_spec,assume_specification,True,ok,unknown,ok_inconclusive,0,0,0,classification:higher_order_contract;determinism_not_proved:unknown,,,"forall|i: int| 0 <= i < v@.len() ==> { &&& #[trigger] pred.requires((v@.as_ref()[i],)) &&& exists|outcome: bool| #[trigger] pred.ensures((v@.as_ref()[i],), outcome) }; forall|i: int, j: int, left: bool, right: bool| 0 <= i <= j < v@.len() && #[trigger] pred.ensures((v@.as_ref()[i],), left) && #[trigger] pred.ensures((v@.as_ref()[j],), right) ==> (right ==> left)","(result as int) <= v@.len(); forall|i: int, outcome: bool| 0 <= i < v@.len() && #[trigger] pred.ensures((v@.as_ref()[i],), outcome) ==> (outcome <==> i < result as int)","pub assume_specification<T, A: Allocator, P>[
    VecDeque::<T, A>::partition_point
](
    v: &VecDeque<T, A>,
    pred: P,
) -> (result: usize)
where
    P: FnMut(&T) -> bool,
    requires
        forall|i: int| 0 <= i < v@.len() ==> {
            &&& #[trigger] pred.requires((v@.as_ref()[i],))
            &&& exists|outcome: bool|
                #[trigger] pred.ensures((v@.as_ref()[i],), outcome)
        },
        forall|i: int, j: int, left: bool, right: bool|
            0 <= i <= j < v@.len()
            && #[trigger] pred.ensures((v@.as_ref()[i],), left)
            && #[trigger] pred.ensures((v@.as_ref()[j],), right)
                ==> (right ==> left),
    ensures
        (result as int) <= v@.len(),
        forall|i: int, outcome: bool|
            0 <= i < v@.len()
            && #[trigger] pred.ensures((v@.as_ref()[i],), outcome)
                ==> (outcome <==> i < result as int),
;","The total monotone predicate relation models the documented true-prefix/false-suffix domain, and the returned index identifies that logical boundary."
alloc::collections::VecDeque::pop_back_if,data_structure,,2,add_spec,add_spec,assume_specification,True,ok,unknown,ok_inconclusive,0,0,0,classification:higher_order_contract;determinism_not_proved:unknown;structured_contract_mismatch,,,"When nonempty, the predicate accepts every mutable-reference prophecy initially containing the back element.","An empty deque is unchanged and returns None.; For a nonempty deque, the predicate's result determines whether its mutated back element is removed and returned or retained.","pub assume_specification<T, A: Allocator>[
    VecDeque::<T, A>::pop_back_if
](
    v: &mut VecDeque<T, A>,
    predicate: impl FnOnce(&mut T) -> bool,
) -> (result: Option<T>)
    requires
        old(v)@.len() > 0 ==> forall|x: &mut T| #![auto]
            *x == old(v)@[old(v)@.len() as int - 1] ==> predicate.requires((x,)),
    ensures
        old(v)@.len() == 0 ==> result is None && final(v)@ == old(v)@,
        old(v)@.len() > 0 ==> exists|x: &mut T, take: bool| #![auto] {
            &&& *x == old(v)@[old(v)@.len() as int - 1]
            &&& predicate.ensures((x,), take)
            &&& (take ==> {
                &&& result == Some(*final(x))
                &&& final(v)@ == old(v)@.subrange(0, old(v)@.len() as int - 1)
            })
            &&& (!take ==> {
                &&& result is None
                &&& final(v)@ == old(v)@.update(old(v)@.len() as int - 1, *final(x))
            })
        },
;","The source calls the predicate exactly once on the mutable back element when nonempty, then either removes and returns its mutated value or retains that mutation."
alloc::collections::VecDeque::pop_front_if,data_structure,,2,add_spec,add_spec,assume_specification,True,ok,unknown,ok_inconclusive,0,0,0,classification:higher_order_contract;determinism_not_proved:unknown,,,"old(v)@.len() > 0 ==> forall|x: &mut T|
            *x == old(v)@[0] ==> predicate.requires((x,))","old(v)@.len() == 0 ==> result is None && final(v)@ == old(v)@; old(v)@.len() > 0 ==> exists|x: &mut T, take: bool| {
            &&& *x == old(v)@[0]
            &&& predicate.ensures((x,), take)
            &&& (take ==> {
                &&& result == Some(*final(x))
                &&& final(v)@ == old(v)@.subrange(1, old(v)@.len() as int)
            })
            &&& (!take ==> {
                &&& result is None
                &&& final(v)@ == old(v)@.update(0, *final(x))
            })
        }","pub assume_specification<T, A: Allocator>[
    VecDeque::<T, A>::pop_front_if
](
    v: &mut VecDeque<T, A>,
    predicate: impl FnOnce(&mut T) -> bool,
) -> (result: Option<T>)
    requires
        old(v)@.len() > 0 ==> forall|x: &mut T|
            *x == old(v)@[0] ==> predicate.requires((x,)),
    ensures
        old(v)@.len() == 0 ==> result is None && final(v)@ == old(v)@,
        old(v)@.len() > 0 ==> exists|x: &mut T, take: bool| {
            &&& *x == old(v)@[0]
            &&& predicate.ensures((x,), take)
            &&& (take ==> {
                &&& result == Some(*final(x))
                &&& final(v)@ == old(v)@.subrange(1, old(v)@.len() as int)
            })
            &&& (!take ==> {
                &&& result is None
                &&& final(v)@ == old(v)@.update(0, *final(x))
            })
        },
;","The source invokes the predicate exactly once on the mutable front element when nonempty, then either removes and returns its mutated value or retains that mutation at the front."
alloc::collections::VecDeque::resize_with,data_structure,,2,add_spec,skip,assume_specification,False,,,,0,0,0,classification:higher_order_contract,,,,,,"Growth repeatedly invokes a zero-argument FnMut whose ordered outputs may depend on evolving mutable captures, as demonstrated by the source example. Existing vstd closure contracts cannot express the call trace or closure-state transitions needed to characterize the appended sequence. Requiring a single possible output or excluding growth would impose an artificial domain."
alloc::collections::btree_map::Entry::and_modify,data_structure,,1,skip,skip,assume_specification,False,,,,0,0,0,classification:higher_order_contract,,,,,,"The closure conditionally mutates an occupied entry, but vstd has no public BTreeMap Entry value/write-back model connecting that mutation to the returned Entry."
alloc::vec::Vec::dedup_by,data_structure,,1,skip,skip,assume_specification,False,,,,0,0,0,classification:higher_order_contract,,,,,,"The callback may mutate both compared elements, and its adaptive sequence of results determines removals. Current vstd lacks the mutable-reference prophecy and call-trace model needed to relate those effects to the final sequence."
alloc::vec::Vec::dedup_by_key,data_structure,,1,skip,skip,assume_specification,False,,,,0,0,0,classification:higher_order_contract,,,,,,The key closure repeatedly receives mutable elements and may change them before PartialEq comparisons. Neither that write-back trace nor the resulting adaptive deduplication is expressible in existing public vstd vocabulary.
alloc::vec::Vec::pop_if,data_structure,,1,skip,skip,assume_specification,False,,,,0,0,0,classification:higher_order_contract,,,,,,A useful contract must relate mutation of the borrowed last element to either the popped result or the retained final element. That requires a prophetic mutable-reference callback model unavailable in current vstd.
