target,semantic_family,status,contract_text,requires,ensures,shared_helpers,source_reference,source_excerpt,strength,known_risks,typecheck_result,determinism_result,target_binding_result,signature_shape_result,generic_bounds_result,reviewer_notes
alloc::vec::Drain::as_slice,vec-iterator-adaptor-state,generated-new-real-relation-spec,"pub assume_specification<'a, 'b, T, A: core::alloc::Allocator>[ Drain::<'a, T, A>::as_slice ]( drain: &'b Drain<'a, T, A>, ) -> (ret: &'b [T]) ensures ret@ == vec_drain_remaining::<T, A>(drain), ;",none beyond documented Rust panic/unsafe domains,"ret@ == vec_drain_remaining::<T, A>(drain),",vec_drain_remaining,alloc/src/vec/drain.rs:56,pub fn as_slice(&self) -> &[T],medium: executable Verus assume_specification; feedback pipeline records honest determinism outcome,"Drain, Splice, IntoIter, and ExtractIf expose source-backed remaining sequences while retaining opaque iterator/lifetime/drop state",verus-typecheck: pass; rc=0; command=/usr/bin/timeout 110s /home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/vec_all_contracts_batch.rs --no-verify; harness=verification/harnesses/vec_all_contracts_batch.rs; stdout=verification/evidence/vec_all_contracts_batch.verus.stdout; stderr=verification/evidence/vec_all_contracts_batch.verus.stderr,feedback-pipeline determinism: status=ok; R0=UNSAT; r0_z3=unsat; classification=complete; verus_rc=0; evidence=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__Drain__as_slice/result.json; synthetic=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__Drain__as_slice/synthetic_spec.rs; harness=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__Drain__as_slice/det_harness.rs,target alloc::vec::Drain::as_slice bound from inventory at alloc/src/vec/drain.rs:56,signature mirrored from inventory row and copied Rust 1.96 source declaration,none,Generated executable Vec assume_specification; feedback-pipeline determinism result recorded honestly.
alloc::vec::IntoIter::as_mut_slice,vec-iterator-adaptor-state,generated-new-real-relation-spec,"pub assume_specification<T, A: core::alloc::Allocator>[ IntoIter::<T, A>::as_mut_slice ]( iter: &mut IntoIter<T, A>, ) -> (ret: &mut [T]) ensures ret@ == vec_into_iter_remaining_mut::<T, A>(*old(iter)), vec_into_iter_remaining_mut::<T, A>(*final(iter)) == final(ret)@, ;",none beyond documented Rust panic/unsafe domains,"ret@ == vec_into_iter_remaining_mut::<T, A>(*old(iter)), vec_into_iter_remaining_mut::<T, A>(*final(iter)) == final(ret)@,",vec_into_iter_remaining_mut,alloc/src/vec/into_iter.rs:106,pub fn as_mut_slice(&mut self) -> &mut [T],medium: executable Verus assume_specification; feedback pipeline records honest determinism outcome,"Drain, Splice, IntoIter, and ExtractIf expose source-backed remaining sequences while retaining opaque iterator/lifetime/drop state",verus-typecheck: pass; rc=0; command=/usr/bin/timeout 110s /home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/vec_all_contracts_batch.rs --no-verify; harness=verification/harnesses/vec_all_contracts_batch.rs; stdout=verification/evidence/vec_all_contracts_batch.verus.stdout; stderr=verification/evidence/vec_all_contracts_batch.verus.stderr,feedback-pipeline determinism: status=unsupported_mut_ref_return; R0=unsupported; evidence=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__IntoIter__as_mut_slice/result.json; synthetic=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__IntoIter__as_mut_slice/synthetic_spec.rs; harness=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__IntoIter__as_mut_slice/det_harness.rs,target alloc::vec::IntoIter::as_mut_slice bound from inventory at alloc/src/vec/into_iter.rs:106,signature mirrored from inventory row and copied Rust 1.96 source declaration,none,Generated executable Vec assume_specification; feedback-pipeline determinism result recorded honestly.
alloc::vec::IntoIter::as_slice,vec-iterator-adaptor-state,generated-new-real-relation-spec,"pub assume_specification<T, A: core::alloc::Allocator>[ IntoIter::<T, A>::as_slice ]( iter: &IntoIter<T, A>, ) -> (ret: &[T]) ensures ret@ == vec_into_iter_remaining::<T, A>(iter), ;",none beyond documented Rust panic/unsafe domains,"ret@ == vec_into_iter_remaining::<T, A>(iter),",vec_into_iter_remaining,alloc/src/vec/into_iter.rs:88,pub fn as_slice(&self) -> &[T],medium: executable Verus assume_specification; feedback pipeline records honest determinism outcome,"Drain, Splice, IntoIter, and ExtractIf expose source-backed remaining sequences while retaining opaque iterator/lifetime/drop state",verus-typecheck: pass; rc=0; command=/usr/bin/timeout 110s /home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/vec_all_contracts_batch.rs --no-verify; harness=verification/harnesses/vec_all_contracts_batch.rs; stdout=verification/evidence/vec_all_contracts_batch.verus.stdout; stderr=verification/evidence/vec_all_contracts_batch.verus.stderr,feedback-pipeline determinism: status=ok; R0=UNSAT; r0_z3=unsat; classification=complete; verus_rc=0; evidence=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__IntoIter__as_slice/result.json; synthetic=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__IntoIter__as_slice/synthetic_spec.rs; harness=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__IntoIter__as_slice/det_harness.rs,target alloc::vec::IntoIter::as_slice bound from inventory at alloc/src/vec/into_iter.rs:88,signature mirrored from inventory row and copied Rust 1.96 source declaration,none,Generated executable Vec assume_specification; feedback-pipeline determinism result recorded honestly.
alloc::vec::Vec::append,vec-sequence-mutation,existing-vstd,"pub assume_specification<T, A: core::alloc::Allocator>[ Vec::<T, A>::append ]( vec: &mut Vec<T, A>, other: &mut Vec<T, A>, ) ensures final(vec)@ == old(vec)@ + old(other)@, final(other)@ == Seq::<T>::empty(), ;",none beyond documented Rust panic/unsafe domains,"final(vec)@ == old(vec)@ + old(other)@, final(other)@ == Seq::<T>::empty(),",preserve exact copied vstd Seq/View/capacity contract and target binding,alloc/src/vec/mod.rs:2930,"pub fn append(&mut self, other: &mut Self)",exact-existing-vstd baseline; copied declaration integrated verbatim where applicable,none beyond copied vstd abstraction boundaries,static-contract-shape-check: passed; exact copied vstd baseline is typechecked by vstd and is not redeclared in the local generated harness,exact-existing-vstd baseline row; determinism not rerun for copied vstd subtraction,target alloc::vec::Vec::append bound from inventory at alloc/src/vec/mod.rs:2930,signature mirrored from inventory row and copied Rust 1.96 source declaration,none,Exact copied vstd contract integrated in specs/existing_vstd_vec_specs.rs and specs/all_vec_specs.rs.
alloc::vec::Vec::as_mut_ptr,vec-raw-parts-pointer-provenance,generated-new-real-relation-spec,"pub assume_specification<T, A: core::alloc::Allocator>[ Vec::<T, A>::as_mut_ptr ]( vec: &mut Vec<T, A>, ) -> (ptr: *mut T) ensures vec_start_mut_ptr(old(vec)@, old(vec).spec_capacity(), ptr), final(vec)@ == old(vec)@, ;",none beyond documented Rust panic/unsafe domains,"vec_start_mut_ptr(old(vec)@, old(vec).spec_capacity(), ptr), final(vec)@ == old(vec)@,",CapacitySpec::spec_capacity;vec_start_mut_ptr,alloc/src/vec/mod.rs:2058,pub const fn as_mut_ptr(&mut self) -> *mut T,medium: executable Verus assume_specification; feedback pipeline records honest determinism outcome,"pointer address, provenance, allocation layout, and initialized raw storage state are source-observable but not uniquely determined by the pure Vec Seq view",verus-typecheck: pass; rc=0; command=/usr/bin/timeout 110s /home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/vec_all_contracts_batch.rs --no-verify; harness=verification/harnesses/vec_all_contracts_batch.rs; stdout=verification/evidence/vec_all_contracts_batch.verus.stdout; stderr=verification/evidence/vec_all_contracts_batch.verus.stderr,"feedback-pipeline determinism: status=ok; R0=UNKNOWN; r0_z3=unknown; classification=ok_inconclusive; unknown_reason=raw-pointer-provenance-boundary; unknown_review_reason=Pointer address, provenance, and allocation layout are not uniquely recoverable from the Vec Seq view.; verus_rc=1; evidence=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__Vec__as_mut_ptr/result.json; synthetic=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__Vec__as_mut_ptr/synthetic_spec.rs; harness=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__Vec__as_mut_ptr/det_harness.rs",target alloc::vec::Vec::as_mut_ptr bound from inventory at alloc/src/vec/mod.rs:2058,signature mirrored from inventory row and copied Rust 1.96 source declaration,none,Generated executable Vec assume_specification; feedback-pipeline determinism result recorded honestly.
alloc::vec::Vec::as_mut_slice,vec-logical-sequence-view,existing-vstd,"#[doc(hidden)] pub assume_specification<T, A: core::alloc::Allocator>[ Vec::<T, A>::as_mut_slice ]( vec: &mut Vec<T, A>, ) -> (slice: &mut [T]) ensures slice@ == old(vec)@, final(slice)@ == final(vec)@, ;",none beyond documented Rust panic/unsafe domains,"slice@ == old(vec)@, final(slice)@ == final(vec)@,",preserve exact copied vstd Seq/View/capacity contract and target binding,alloc/src/vec/mod.rs:1892,pub const fn as_mut_slice(&mut self) -> &mut [T],exact-existing-vstd baseline; copied declaration integrated verbatim where applicable,none beyond copied vstd abstraction boundaries,static-contract-shape-check: passed; exact copied vstd baseline is typechecked by vstd and is not redeclared in the local generated harness,exact-existing-vstd baseline row; determinism not rerun for copied vstd subtraction,target alloc::vec::Vec::as_mut_slice bound from inventory at alloc/src/vec/mod.rs:1892,signature mirrored from inventory row and copied Rust 1.96 source declaration,none,Exact copied vstd contract integrated in specs/existing_vstd_vec_specs.rs and specs/all_vec_specs.rs.
alloc::vec::Vec::as_ptr,vec-raw-parts-pointer-provenance,generated-new-real-relation-spec,"pub assume_specification<T, A: core::alloc::Allocator>[ Vec::<T, A>::as_ptr ]( vec: &Vec<T, A>, ) -> (ptr: *const T) ensures vec_start_ptr(vec@, vec.spec_capacity(), ptr), ;",none beyond documented Rust panic/unsafe domains,"vec_start_ptr(vec@, vec.spec_capacity(), ptr),",CapacitySpec::spec_capacity;vec_start_ptr,alloc/src/vec/mod.rs:1974,pub const fn as_ptr(&self) -> *const T,medium: executable Verus assume_specification; feedback pipeline records honest determinism outcome,"pointer address, provenance, allocation layout, and initialized raw storage state are source-observable but not uniquely determined by the pure Vec Seq view",verus-typecheck: pass; rc=0; command=/usr/bin/timeout 110s /home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/vec_all_contracts_batch.rs --no-verify; harness=verification/harnesses/vec_all_contracts_batch.rs; stdout=verification/evidence/vec_all_contracts_batch.verus.stdout; stderr=verification/evidence/vec_all_contracts_batch.verus.stderr,"feedback-pipeline determinism: status=ok; R0=UNKNOWN; r0_z3=unknown; classification=ok_inconclusive; unknown_reason=raw-pointer-provenance-boundary; unknown_review_reason=Pointer address, provenance, and allocation layout are not uniquely recoverable from the Vec Seq view.; verus_rc=1; evidence=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__Vec__as_ptr/result.json; synthetic=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__Vec__as_ptr/synthetic_spec.rs; harness=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__Vec__as_ptr/det_harness.rs",target alloc::vec::Vec::as_ptr bound from inventory at alloc/src/vec/mod.rs:1974,signature mirrored from inventory row and copied Rust 1.96 source declaration,none,Generated executable Vec assume_specification; feedback-pipeline determinism result recorded honestly.
alloc::vec::Vec::as_slice,vec-logical-sequence-view,existing-vstd,"pub assume_specification<T, A: core::alloc::Allocator>[ Vec::<T, A>::as_slice ]( vec: &Vec<T, A>, ) -> (slice: &[T]) ensures slice@ == vec@, ;",none beyond documented Rust panic/unsafe domains,"slice@ == vec@,",preserve exact copied vstd Seq/View/capacity contract and target binding,alloc/src/vec/mod.rs:1856,pub const fn as_slice(&self) -> &[T],exact-existing-vstd baseline; copied declaration integrated verbatim where applicable,none beyond copied vstd abstraction boundaries,static-contract-shape-check: passed; exact copied vstd baseline is typechecked by vstd and is not redeclared in the local generated harness,exact-existing-vstd baseline row; determinism not rerun for copied vstd subtraction,target alloc::vec::Vec::as_slice bound from inventory at alloc/src/vec/mod.rs:1856,signature mirrored from inventory row and copied Rust 1.96 source declaration,none,Exact copied vstd contract integrated in specs/existing_vstd_vec_specs.rs and specs/all_vec_specs.rs.
alloc::vec::Vec::capacity,vec-capacity-allocation-state,existing-vstd,"pub assume_specification<T, A: core::alloc::Allocator>[ Vec::<T, A>::capacity ]( v: &Vec<T, A>, ) -> (result: usize) ensures result as nat == v.spec_capacity(), ;",none beyond documented Rust panic/unsafe domains,"result as nat == v.spec_capacity(),",CapacitySpec::spec_capacity,alloc/src/vec/mod.rs:1444,pub const fn capacity(&self) -> usize,exact-existing-vstd baseline; copied declaration integrated verbatim where applicable,none beyond copied vstd abstraction boundaries,static-contract-shape-check: passed; exact copied vstd baseline is typechecked by vstd and is not redeclared in the local generated harness,exact-existing-vstd baseline row; determinism not rerun for copied vstd subtraction,target alloc::vec::Vec::capacity bound from inventory at alloc/src/vec/mod.rs:1444,signature mirrored from inventory row and copied Rust 1.96 source declaration,none,Exact copied vstd contract integrated in specs/existing_vstd_vec_specs.rs and specs/all_vec_specs.rs.
alloc::vec::Vec::clear,vec-sequence-mutation,existing-vstd,"pub assume_specification<T, A: core::alloc::Allocator>[ Vec::<T, A>::clear ](vec: &mut Vec<T, A>) ensures final(vec).view() == Seq::<T>::empty(), ;",none beyond documented Rust panic/unsafe domains,"final(vec).view() == Seq::<T>::empty(),",preserve exact copied vstd Seq/View/capacity contract and target binding,alloc/src/vec/mod.rs:3031,pub fn clear(&mut self),exact-existing-vstd baseline; copied declaration integrated verbatim where applicable,none beyond copied vstd abstraction boundaries,static-contract-shape-check: passed; exact copied vstd baseline is typechecked by vstd and is not redeclared in the local generated harness,exact-existing-vstd baseline row; determinism not rerun for copied vstd subtraction,target alloc::vec::Vec::clear bound from inventory at alloc/src/vec/mod.rs:3031,signature mirrored from inventory row and copied Rust 1.96 source declaration,none,Exact copied vstd contract integrated in specs/existing_vstd_vec_specs.rs and specs/all_vec_specs.rs.
