target,status,semantic_family,contract_coverage_result,typecheck_result,determinism_result,target_binding_result,signature_shape_result,generic_bounds_result,anti_vacuity_result,source_fidelity_result
core::slice::ChunksExact::remainder,generated-new-real-relation-spec,iterator-splitting-and-chunking,covered: generated-new-real-relation-spec,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_splitting_iterator_batch.rs --no-verify; harness=verification/harnesses/slice_splitting_iterator_batch.rs; stdout=verification/evidence/slice_splitting_iterator_batch.verus.stdout(empty); stderr=verification/evidence/slice_splitting_iterator_batch.verus.stderr(empty); static-contract-shape-check retained with executable declaration present,feedback-pipeline determinism: status=ok; R0=UNSAT; r0_z3=unsat; classification=complete; verus_rc=0; evidence=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__ChunksExact__remainder/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__ChunksExact__remainder/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__ChunksExact__remainder/det_harness.rs,target core::slice::ChunksExact::remainder bound from inventory declaration core:33656 at core/src/slice/iter.rs:1876,signature mirrored from inventory row and source declaration,none,passed: generated relation uses shared Seq/View vocabulary and no banned vacuity fragment,"passed: source reference, signature, and generic bounds match inventory"
core::slice::ChunksExactMut::into_remainder,generated-new-real-relation-spec,iterator-splitting-and-chunking,covered: generated-new-real-relation-spec,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_splitting_iterator_batch.rs --no-verify; harness=verification/harnesses/slice_splitting_iterator_batch.rs; stdout=verification/evidence/slice_splitting_iterator_batch.verus.stdout(empty); stderr=verification/evidence/slice_splitting_iterator_batch.verus.stderr(empty); static-contract-shape-check retained with executable declaration present,feedback-pipeline determinism: status=ok; R0=UNSAT; r0_z3=unsat; classification=complete; verus_rc=0; evidence=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__ChunksExactMut__into_remainder/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__ChunksExactMut__into_remainder/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__ChunksExactMut__into_remainder/det_harness.rs,target core::slice::ChunksExactMut::into_remainder bound from inventory declaration core:33672 at core/src/slice/iter.rs:2039,signature mirrored from inventory row and source declaration,none,passed: generated relation uses shared Seq/View vocabulary and no banned vacuity fragment,"passed: source reference, signature, and generic bounds match inventory"
core::slice::Iter::as_slice,generated-new-real-relation-spec,iterator-splitting-and-chunking,covered: generated-new-real-relation-spec,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_splitting_iterator_batch.rs --no-verify; harness=verification/harnesses/slice_splitting_iterator_batch.rs; stdout=verification/evidence/slice_splitting_iterator_batch.verus.stdout(empty); stderr=verification/evidence/slice_splitting_iterator_batch.verus.stderr(empty); static-contract-shape-check retained with executable declaration present,feedback-pipeline determinism: status=ok; R0=UNSAT; r0_z3=unsat; classification=complete; verus_rc=0; evidence=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__Iter__as_slice/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__Iter__as_slice/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__Iter__as_slice/det_harness.rs,target core::slice::Iter::as_slice bound from inventory declaration core:33478 at core/src/slice/iter.rs:135,signature mirrored from inventory row and source declaration,none,passed: generated relation uses shared Seq/View vocabulary and no banned vacuity fragment,"passed: source reference, signature, and generic bounds match inventory"
core::slice::IterMut::as_slice,generated-new-real-relation-spec,iterator-splitting-and-chunking,covered: generated-new-real-relation-spec,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_splitting_iterator_batch.rs --no-verify; harness=verification/harnesses/slice_splitting_iterator_batch.rs; stdout=verification/evidence/slice_splitting_iterator_batch.verus.stdout(empty); stderr=verification/evidence/slice_splitting_iterator_batch.verus.stderr(empty); static-contract-shape-check retained with executable declaration present,feedback-pipeline determinism: status=ok; R0=UNSAT; r0_z3=unsat; classification=complete; verus_rc=0; evidence=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__IterMut__as_slice/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__IterMut__as_slice/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__IterMut__as_slice/det_harness.rs,target core::slice::IterMut::as_slice bound from inventory declaration core:33494 at core/src/slice/iter.rs:311,signature mirrored from inventory row and source declaration,none,passed: generated relation uses shared Seq/View vocabulary and no banned vacuity fragment,"passed: source reference, signature, and generic bounds match inventory"
core::slice::IterMut::into_slice,generated-new-real-relation-spec,iterator-splitting-and-chunking,covered: generated-new-real-relation-spec,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_splitting_iterator_batch.rs --no-verify; harness=verification/harnesses/slice_splitting_iterator_batch.rs; stdout=verification/evidence/slice_splitting_iterator_batch.verus.stdout(empty); stderr=verification/evidence/slice_splitting_iterator_batch.verus.stderr(empty); static-contract-shape-check retained with executable declaration present,feedback-pipeline determinism: status=ok; R0=UNSAT; r0_z3=unsat; classification=complete; verus_rc=0; evidence=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__IterMut__into_slice/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__IterMut__into_slice/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__IterMut__into_slice/det_harness.rs,target core::slice::IterMut::into_slice bound from inventory declaration core:33493 at core/src/slice/iter.rs:274,signature mirrored from inventory row and source declaration,none,passed: generated relation uses shared Seq/View vocabulary and no banned vacuity fragment,"passed: source reference, signature, and generic bounds match inventory"
core::slice::RChunksExact::remainder,generated-new-real-relation-spec,iterator-splitting-and-chunking,covered: generated-new-real-relation-spec,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_splitting_iterator_batch.rs --no-verify; harness=verification/harnesses/slice_splitting_iterator_batch.rs; stdout=verification/evidence/slice_splitting_iterator_batch.verus.stdout(empty); stderr=verification/evidence/slice_splitting_iterator_batch.verus.stderr(empty); static-contract-shape-check retained with executable declaration present,feedback-pipeline determinism: status=ok; R0=UNSAT; r0_z3=unsat; classification=complete; verus_rc=0; evidence=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__RChunksExact__remainder/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__RChunksExact__remainder/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__RChunksExact__remainder/det_harness.rs,target core::slice::RChunksExact::remainder bound from inventory declaration core:33721 at core/src/slice/iter.rs:2686,signature mirrored from inventory row and source declaration,none,passed: generated relation uses shared Seq/View vocabulary and no banned vacuity fragment,"passed: source reference, signature, and generic bounds match inventory"
core::slice::RChunksExactMut::into_remainder,generated-new-real-relation-spec,iterator-splitting-and-chunking,covered: generated-new-real-relation-spec,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_splitting_iterator_batch.rs --no-verify; harness=verification/harnesses/slice_splitting_iterator_batch.rs; stdout=verification/evidence/slice_splitting_iterator_batch.verus.stdout(empty); stderr=verification/evidence/slice_splitting_iterator_batch.verus.stderr(empty); static-contract-shape-check retained with executable declaration present,feedback-pipeline determinism: status=ok; R0=UNSAT; r0_z3=unsat; classification=complete; verus_rc=0; evidence=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__RChunksExactMut__into_remainder/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__RChunksExactMut__into_remainder/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__RChunksExactMut__into_remainder/det_harness.rs,target core::slice::RChunksExactMut::into_remainder bound from inventory declaration core:33736 at core/src/slice/iter.rs:2855,signature mirrored from inventory row and source declaration,none,passed: generated relation uses shared Seq/View vocabulary and no banned vacuity fragment,"passed: source reference, signature, and generic bounds match inventory"
core::slice::align_to,generated-new-real-relation-spec,raw-pointer-and-provenance,covered: generated-new-real-relation-spec,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_remaining_families_batch.rs --no-verify; harness=verification/harnesses/slice_remaining_families_batch.rs; stdout=verification/evidence/slice_remaining_families_batch.verus.stdout(empty); stderr=verification/evidence/slice_remaining_families_batch.verus.stderr(empty); executable declaration present,"feedback-pipeline determinism: status=ok; R0=UNKNOWN; r0_z3=unknown; classification=ok_inconclusive; unknown_reason=raw-pointer-provenance-boundary; unknown_review_reason=pointer address, provenance, alignment, or layout state is source-observable but not uniquely recoverable from the pure slice Seq view; verus_rc=1; evidence=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__align_to/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__align_to/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__align_to/det_harness.rs",target core::slice::align_to bound from inventory declaration core:61130 at core/src/slice/mod.rs:4506,signature mirrored from inventory row and source declaration,<U>,passed: generated relation uses shared Seq/View vocabulary and no banned vacuity fragment,"passed: source reference, signature, and generic bounds match inventory"
core::slice::align_to_mut,generated-new-real-relation-spec,raw-pointer-and-provenance,covered: generated-new-real-relation-spec,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_remaining_families_batch.rs --no-verify; harness=verification/harnesses/slice_remaining_families_batch.rs; stdout=verification/evidence/slice_remaining_families_batch.verus.stdout(empty); stderr=verification/evidence/slice_remaining_families_batch.verus.stderr(empty); executable declaration present,"feedback-pipeline determinism: status=ok; R0=UNKNOWN; r0_z3=unknown; classification=ok_inconclusive; unknown_reason=raw-pointer-provenance-boundary; unknown_review_reason=pointer address, provenance, alignment, or layout state is source-observable but not uniquely recoverable from the pure slice Seq view; verus_rc=1; evidence=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__align_to_mut/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__align_to_mut/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__align_to_mut/det_harness.rs",target core::slice::align_to_mut bound from inventory declaration core:61131 at core/src/slice/mod.rs:4571,signature mirrored from inventory row and source declaration,<U>,passed: generated relation uses shared Seq/View vocabulary and no banned vacuity fragment,"passed: source reference, signature, and generic bounds match inventory"
core::slice::array_windows,generated-new-real-relation-spec,iterator-splitting-and-chunking,covered: generated-new-real-relation-spec,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_splitting_iterator_batch.rs --no-verify; harness=verification/harnesses/slice_splitting_iterator_batch.rs; stdout=verification/evidence/slice_splitting_iterator_batch.verus.stdout(empty); stderr=verification/evidence/slice_splitting_iterator_batch.verus.stderr(empty); static-contract-shape-check retained with executable declaration present,"feedback-pipeline determinism: status=ok; R0=UNKNOWN; r0_z3=unknown; classification=ok_inconclusive; unknown_reason=iterator-or-subslice-state-boundary; unknown_review_reason=contract fixes source/remaining/subrange state, but the Rust iterator, chunk, split, or borrowed subslice value retains opaque runtime/lifetime state; verus_rc=1; evidence=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__array_windows/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__array_windows/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__array_windows/det_harness.rs",target core::slice::array_windows bound from inventory declaration core:33684 at core/src/slice/mod.rs:1649,signature mirrored from inventory row and source declaration,<const N: usize>,passed: generated relation uses shared Seq/View vocabulary and no banned vacuity fragment,"passed: source reference, signature, and generic bounds match inventory"
