abcd_status,audited_shared_helpers,boundary_helpers,catalog_status,contract_sha256,contract_text,direct_shared_helpers,ensures,implementation_body_status,input_order,law_constrained_helpers,module,private_helper_callee_closure,proof_order,proof_status,reachable_shared_helpers,requires,semantic_family,source_backed_helpers,source_excerpt,source_reference,target,unsafe_intrinsic_trait_allocator_dependencies
B,slice_iterator_view,,generated-new-real-relation-spec,d10738d457fb9e63d7f820523f009609c66d88e2e93825869ef3cdb715d33817,"pub assume_specification<'a, T>[ core::slice::ChunksExact::<'a, T>::remainder ]( iter: &core::slice::ChunksExact<'a, T>, ) -> (ret: &'a [T]) ensures ret@ == slice_iterator_view::<&core::slice::ChunksExact<'a, T>, T>(iter).remainder, ret@.len() < slice_iterator_view::<&core::slice::ChunksExact<'a, T>, T>(iter).chunk_size, ;",slice_iterator_view,ret@ equals the shared exact chunk iterator remainder and has length below the iterator chunk size,source_body_extracted:52c87daecc8119b00040a9a13d3d339571ba252c96f64bb463cfe834699e7bd0:proof_manifests/001_core_slice_ChunksExact_remainder/source_body.json,1,slice_iterator_view,slice,source_indexed_conservative_count=0; manifest=proof_manifests/001_core_slice_ChunksExact_remainder/dependency_assumption_manifest.json,index=1;tier=0; manifest=proof_inventory/proof_order.json,actual_verus_verified_modulo_source_backed_iterator_view_boundary_and_split_boundary:proof_harnesses/001_core_slice_ChunksExact_remainder/evidence/verus_stdout.txt,slice_iterator_view,none beyond documented Rust panic/unsafe domains,iterator-splitting-and-chunking,ChunksExact::new invariant arithmetic verified in same harness; vstd split_at view facts retained as a valid-index split boundary,pub fn remainder(&self) -> &'a [T],core/src/slice/iter.rs:1876,core::slice::ChunksExact::remainder,categories=none; manifest=proof_manifests/001_core_slice_ChunksExact_remainder/dependency_assumption_manifest.json
B,slice_iterator_view,mutable exact-chunk type invariant over rem length,generated-new-real-relation-spec,0fcecb9af86c3820495271d4932157b6924b253f6ec7ae23974456ebdfaa9064,"pub assume_specification<'a, T>[ core::slice::ChunksExactMut::<'a, T>::into_remainder ]( iter: core::slice::ChunksExactMut<'a, T>, ) -> (ret: &'a mut [T]) ensures ret@ == slice_iterator_view::<core::slice::ChunksExactMut<'a, T>, T>(iter).remainder, ret@.len() < slice_iterator_view::<core::slice::ChunksExactMut<'a, T>, T>(iter).chunk_size, ;",slice_iterator_view,ret@ equals the shared mutable exact chunk iterator remainder and has length below the iterator chunk size,source_body_extracted:594db173f21195a95d202ec519cecc6af52d53e18b1679cc8e143345cd85d1a9:proof_manifests/002_core_slice_ChunksExactMut_into_remainder/source_body.json,2,slice_iterator_view,slice,source_indexed_conservative_count=0; manifest=proof_manifests/002_core_slice_ChunksExactMut_into_remainder/dependency_assumption_manifest.json,index=2;tier=0; manifest=proof_inventory/proof_order.json,actual_verus_verified_modulo_source_backed_iterator_view_boundary_and_mutable_exact_chunk_constructor_raw_pointer_boundary:proof_harnesses/002_core_slice_ChunksExactMut_into_remainder/evidence/verus_stdout.txt,slice_iterator_view,none beyond documented Rust panic/unsafe domains,iterator-splitting-and-chunking,slice_iterator_view; mutable exact-chunk constructor remainder bound verified in rows 035/068; raw-slice constructor coercion retained as source-backed model limit,pub fn into_remainder(self) -> &'a mut [T],core/src/slice/iter.rs:2039,core::slice::ChunksExactMut::into_remainder,categories=none; manifest=proof_manifests/002_core_slice_ChunksExactMut_into_remainder/dependency_assumption_manifest.json
B,slice_iterator_view,,generated-new-real-relation-spec,36fadcdd1adcc30c4a62b5c2c547184722325237bfc9dd44255e43190db080e3,"pub assume_specification<'a, T>[ core::slice::Iter::<'a, T>::as_slice ]( iter: &core::slice::Iter<'a, T>, ) -> (ret: &'a [T]) ensures ret@ == slice_iterator_view::<&core::slice::Iter<'a, T>, T>(iter).remaining, ;",slice_iterator_view,ret@ equals the immutable iterator remaining sequence in the shared iterator view,source_body_extracted:c7255b92712674fa8be5f0f442386dbdeade5271f71ed3d21356184c4dfa7d96:proof_manifests/003_core_slice_Iter_as_slice/source_body.json,3,slice_iterator_view,slice,source_indexed_conservative_count=1; manifest=proof_manifests/003_core_slice_Iter_as_slice/dependency_assumption_manifest.json,index=3;tier=0; manifest=proof_inventory/proof_order.json,actual_verus_verified_modulo_private_helper_and_pointer_boundary:proof_harnesses/003_core_slice_Iter_as_slice/evidence/verus_stdout.txt,slice_iterator_view,none beyond documented Rust panic/unsafe domains,iterator-splitting-and-chunking,,pub fn as_slice(&self) -> &'a [T],core/src/slice/iter.rs:135,core::slice::Iter::as_slice,categories=none; manifest=proof_manifests/003_core_slice_Iter_as_slice/dependency_assumption_manifest.json
B,slice_iterator_view,,generated-new-real-relation-spec,ef0d6143c4d8ed29535055c5ff7e1d956df38a8675b90a128ae925215aec6277,"pub assume_specification<'a, 'b, T>[ core::slice::IterMut::<'a, T>::as_slice ]( iter: &'b core::slice::IterMut<'a, T>, ) -> (ret: &'b [T]) ensures ret@ == slice_iterator_view::<&'b core::slice::IterMut<'a, T>, T>(iter).remaining, ;",slice_iterator_view,ret@ equals the mutable iterator remaining sequence in the shared iterator view,source_body_extracted:67a00e272341651d663752530cdf83c3452a9c73f109a1773e24422d675e8a3a:proof_manifests/004_core_slice_IterMut_as_slice/source_body.json,4,slice_iterator_view,slice,source_indexed_conservative_count=1; manifest=proof_manifests/004_core_slice_IterMut_as_slice/dependency_assumption_manifest.json,index=4;tier=0; manifest=proof_inventory/proof_order.json,actual_verus_verified_modulo_private_helper_and_pointer_boundary:proof_harnesses/004_core_slice_IterMut_as_slice/evidence/verus_stdout.txt,slice_iterator_view,none beyond documented Rust panic/unsafe domains,iterator-splitting-and-chunking,,pub fn as_slice(&self) -> &[T],core/src/slice/iter.rs:311,core::slice::IterMut::as_slice,categories=none; manifest=proof_manifests/004_core_slice_IterMut_as_slice/dependency_assumption_manifest.json
B,slice_iterator_view,,generated-new-real-relation-spec,b2df86ee58db4a5fda7073f53ed9767fe2f5a966219a4cb048825f336d102119,"pub assume_specification<'a, T>[ core::slice::IterMut::<'a, T>::into_slice ]( iter: core::slice::IterMut<'a, T>, ) -> (ret: &'a mut [T]) ensures ret@ == slice_iterator_view::<core::slice::IterMut<'a, T>, T>(iter).remaining, ;",slice_iterator_view,ret@ equals the mutable iterator remaining sequence in the shared iterator view,source_body_extracted:6b6f3d1c44a66191d56542d38615b12d4e540e8e4de042f6c176a22d715de7ca:proof_manifests/005_core_slice_IterMut_into_slice/source_body.json,5,slice_iterator_view,slice,source_indexed_conservative_count=0; manifest=proof_manifests/005_core_slice_IterMut_into_slice/dependency_assumption_manifest.json,index=38;tier=1; manifest=proof_inventory/proof_order.json,actual_verus_verified_modulo_source_backed_raw_parts_len_boundary:proof_harnesses/005_core_slice_IterMut_into_slice/evidence/verus_stdout.txt,slice_iterator_view,none beyond documented Rust panic/unsafe domains,iterator-splitting-and-chunking,,pub fn into_slice(self) -> &'a mut [T],core/src/slice/iter.rs:274,core::slice::IterMut::into_slice,"categories=raw_pointer_or_provenance,unsafe; manifest=proof_manifests/005_core_slice_IterMut_into_slice/dependency_assumption_manifest.json"
B,slice_iterator_view,,generated-new-real-relation-spec,544cd6048f3b4eb763adea19f140c76310901958e4885539492ebcc04c516f54,"pub assume_specification<'a, T>[ core::slice::RChunksExact::<'a, T>::remainder ]( iter: &core::slice::RChunksExact<'a, T>, ) -> (ret: &'a [T]) ensures ret@ == slice_iterator_view::<&core::slice::RChunksExact<'a, T>, T>(iter).remainder, ret@.len() < slice_iterator_view::<&core::slice::RChunksExact<'a, T>, T>(iter).chunk_size, ;",slice_iterator_view,ret@ equals the shared reverse exact chunk iterator remainder and has length below the iterator chunk size,source_body_extracted:b6dbb4f20cac2706f157dad53b7470a370b2ce86d848a48f8368d84056071572:proof_manifests/006_core_slice_RChunksExact_remainder/source_body.json,6,slice_iterator_view,slice,source_indexed_conservative_count=0; manifest=proof_manifests/006_core_slice_RChunksExact_remainder/dependency_assumption_manifest.json,index=5;tier=0; manifest=proof_inventory/proof_order.json,actual_verus_verified_modulo_source_backed_iterator_view_boundary_and_split_boundary:proof_harnesses/006_core_slice_RChunksExact_remainder/evidence/verus_stdout.txt,slice_iterator_view,none beyond documented Rust panic/unsafe domains,iterator-splitting-and-chunking,RChunksExact::new invariant arithmetic verified in same harness; vstd split_at view facts retained as a valid-index split boundary,pub const fn remainder(&self) -> &'a [T],core/src/slice/iter.rs:2686,core::slice::RChunksExact::remainder,categories=none; manifest=proof_manifests/006_core_slice_RChunksExact_remainder/dependency_assumption_manifest.json
B,slice_iterator_view,mutable exact-chunk type invariant over rem length,generated-new-real-relation-spec,303c9fd870812718ea10052f920cb1b415e71dbc3786d5e9ba01dd3130beab61,"pub assume_specification<'a, T>[ core::slice::RChunksExactMut::<'a, T>::into_remainder ]( iter: core::slice::RChunksExactMut<'a, T>, ) -> (ret: &'a mut [T]) ensures ret@ == slice_iterator_view::<core::slice::RChunksExactMut<'a, T>, T>(iter).remainder, ret@.len() < slice_iterator_view::<core::slice::RChunksExactMut<'a, T>, T>(iter).chunk_size, ;",slice_iterator_view,ret@ equals the shared mutable reverse exact chunk iterator remainder and has length below the iterator chunk size,source_body_extracted:e7afc872b12681ba54e0b518edd5b9d8e252d1866cb7a1524c6ae801db1b9c1e:proof_manifests/007_core_slice_RChunksExactMut_into_remainder/source_body.json,7,slice_iterator_view,slice,source_indexed_conservative_count=0; manifest=proof_manifests/007_core_slice_RChunksExactMut_into_remainder/dependency_assumption_manifest.json,index=6;tier=0; manifest=proof_inventory/proof_order.json,actual_verus_verified_modulo_source_backed_iterator_view_boundary_and_mutable_exact_chunk_constructor_raw_pointer_boundary:proof_harnesses/007_core_slice_RChunksExactMut_into_remainder/evidence/verus_stdout.txt,slice_iterator_view,none beyond documented Rust panic/unsafe domains,iterator-splitting-and-chunking,slice_iterator_view; mutable exact-chunk constructor remainder bound verified in rows 035/068; raw-slice constructor coercion retained as source-backed model limit,pub const fn into_remainder(self) -> &'a mut [T],core/src/slice/iter.rs:2855,core::slice::RChunksExactMut::into_remainder,categories=none; manifest=proof_manifests/007_core_slice_RChunksExactMut_into_remainder/dependency_assumption_manifest.json
B,slice_align_to_domain;slice_aligned_middle,slice_align_to_domain;slice_aligned_middle,generated-new-real-relation-spec,ecdec7dc102f8a00f610ae369191cf306fabe2a435b651d7cc69d2775d75e321,"pub assume_specification<T, U>[ <[T]>::align_to::<U> ]( slice: &[T], ) -> (ret: (&[T], &[U], &[T])) requires slice_align_to_domain::<T, U>(slice@), ensures slice_align_to_result::<T, U>(slice@, ret.0@, ret.1@, ret.2@), ;",slice_align_to_domain;slice_align_to_result,ret.0@ is the source prefix and ret.2@ is the source suffix with ret.0@.len() + ret.2@.len() <= slice@.len() so the source-visible prefix/suffix are disjoint and in bounds; ret.1 alignment/provenance remains modeled by the slice_aligned_middle boundary,source_body_extracted:38394f129cf389381904f8fea0ae93d1d1059f79b4a8505a540992907e485706:proof_manifests/008_core_slice_align_to/source_body.json,8,,slice,source_indexed_private_align_to_offsets_arithmetic_executed; manifest=proof_manifests/008_core_slice_align_to/dependency_assumption_manifest.json,index=94;tier=2; manifest=proof_inventory/proof_order.json,actual_verus_verified_modulo_source_backed_align_offset_offsets_arithmetic_raw_parts_provenance_and_split_boundary:proof_harnesses/008_core_slice_align_to/evidence/verus_stdout.txt,slice_align_to_domain;slice_align_to_result;slice_aligned_middle,documented align_to transmute domain holds for T/U validity and alignment; returned middle region is within the original allocation,raw-pointer-and-provenance,private align_to_offsets gcd/div/mod arithmetic executes in-harness; retained offsets trust is narrowed to source-backed multiplication-fit/view bridge plus raw-parts/provenance boundaries,"pub unsafe fn align_to<U>(&self) -> (&[T], &[U], &[T])",core/src/slice/mod.rs:4506,core::slice::align_to,"categories=intrinsic,raw_pointer_or_provenance,unsafe; manifest=proof_manifests/008_core_slice_align_to/dependency_assumption_manifest.json"
B,slice_align_to_domain;slice_aligned_middle,slice_align_to_domain;slice_aligned_middle,generated-new-real-relation-spec,d3f3080fe88dd4be74e095f3d06df2b686c52dd000e8bba962feaa71695cd330,"pub assume_specification<T, U>[ <[T]>::align_to_mut::<U> ]( slice: &mut [T], ) -> (ret: (&mut [T], &mut [U], &mut [T])) requires slice_align_to_domain::<T, U>(old(slice)@), ensures slice_align_to_mut_result::<T, U>( old(slice)@, ret.0@, ret.1@, ret.2@, final(ret.0)@, final(ret.1)@, final(ret.2)@, final(slice)@, ), ;",slice_align_to_domain;slice_align_to_mut_result,ret.0@ is the old source prefix and ret.2@ is the old source suffix with ret.0@.len() + ret.2@.len() <= old(slice)@.len(); final(slice)@ has final(ret.0)@ as the prefix and final(ret.2)@ as the suffix with matching lengths and disjoint bounds while final(ret.1) alignment/provenance remains modeled by the slice_aligned_middle boundary,source_body_extracted:79bc07c28c34e853de5c1bbc49ebb8f27b4e8837109fc51c6a15eef97565ec27:proof_manifests/009_core_slice_align_to_mut/source_body.json,9,,slice,source_indexed_private_align_to_offsets_arithmetic_executed; manifest=proof_manifests/009_core_slice_align_to_mut/dependency_assumption_manifest.json,index=95;tier=2; manifest=proof_inventory/proof_order.json,actual_verus_verified_modulo_source_backed_align_offset_offsets_arithmetic_mut_raw_parts_provenance_split_at_mut_and_final_frame_boundary:proof_harnesses/009_core_slice_align_to_mut/evidence/verus_stdout.txt,slice_align_to_domain;slice_align_to_mut_result;slice_align_to_result;slice_aligned_middle,documented align_to transmute domain holds for T/U validity and alignment; returned middle region is within the original allocation,raw-pointer-and-provenance,private align_to_offsets gcd/div/mod arithmetic executes in-harness; retained offsets trust is narrowed to source-backed multiplication-fit plus mutable raw-parts/provenance/final-frame boundaries,"pub unsafe fn align_to_mut<U>(&mut self) -> (&mut [T], &mut [U], &mut [T])",core/src/slice/mod.rs:4571,core::slice::align_to_mut,"categories=intrinsic,raw_pointer_or_provenance,unsafe; manifest=proof_manifests/009_core_slice_align_to_mut/dependency_assumption_manifest.json"
B,slice_iterator_view,,generated-new-real-relation-spec,d01854990fc42a06bbffb798643f632cc0136096f85ea5d9527563ae54768bff,"pub assume_specification<'a, T, const N: usize>[ <[T]>::array_windows::<N> ]( slice: &'a [T], ) -> (iter: core::slice::ArrayWindows<'a, T, N>) requires N != 0, ensures slice_iterator_view::<core::slice::ArrayWindows<'a, T, N>, T>(iter).source == slice@, slice_iterator_view::<core::slice::ArrayWindows<'a, T, N>, T>(iter).remaining == slice@, slice_iterator_view::<core::slice::ArrayWindows<'a, T, N>, T>(iter).yielded_prefix == Seq::empty(), slice_iterator_view::<core::slice::ArrayWindows<'a, T, N>, T>(iter).remainder == Seq::empty(), slice_iterator_view::<core::slice::ArrayWindows<'a, T, N>, T>(iter).chunk_size == N as int, !slice_iterator_view::<core::slice::ArrayWindows<'a, T, N>, T>(iter).reverse, ;",slice_iterator_view,"slice_iterator_view(result) records self@ as source/remaining, empty yielded_prefix and remainder, N as window size, and forward overlapping-window state",source_body_extracted:cb847876b5acfbc5b4dc0965b2f5e056bdd76de3517d4dc348c0f54d3d28bd54:proof_manifests/010_core_slice_array_windows/source_body.json,10,slice_iterator_view,slice,source_indexed_conservative_count=0; manifest=proof_manifests/010_core_slice_array_windows/dependency_assumption_manifest.json,index=7;tier=0; manifest=proof_inventory/proof_order.json,actual_verus_verified_modulo_source_backed_iterator_view_boundary:proof_harnesses/010_core_slice_array_windows/evidence/verus_stdout.txt,slice_iterator_view,N != 0,iterator-splitting-and-chunking,,"pub const fn array_windows<const N: usize>(&self) -> ArrayWindows<'_, T, N>",core/src/slice/mod.rs:1649,core::slice::array_windows,categories=panic_or_bounds; manifest=proof_manifests/010_core_slice_array_windows/dependency_assumption_manifest.json
