target,category,final_decision,rationale_taxonomy,taxonomy_source_fields,taxonomy_source_backed,adequacy_verdict,adequacy_notes,unjustified_skip,issues_combined,combined_issue_taxonomy_tags,rationale,requires,requires_source_fidelity_classification
alloc::alloc::alloc,memory_pointer,skip,unsafe_or_representation_sensitive,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,"source behavior depends on unsafe representation, address, alignment, or provenance facts",false,classification:unsafe_or_representation_sensitive,classification:unsafe_or_representation_sensitive;unsafe_or_representation_sensitive,"The result depends on hidden global-allocator state and may be either null or a fresh allocation. No useful, non-vacuous result relation is expressible using existing public vstd vocabulary without modeling allocation ownership and provenance.",,not_applicable
alloc::alloc::alloc_zeroed,memory_pointer,skip,unsafe_or_representation_sensitive,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,"source behavior depends on unsafe representation, address, alignment, or provenance facts",false,classification:unsafe_or_representation_sensitive,classification:unsafe_or_representation_sensitive;unsafe_or_representation_sensitive,"Allocation success, pointer validity, alignment, ownership, and zero-initialized contents depend on hidden global-allocator and memory state. No useful sound result relation is expressible using existing public vstd vocabulary.",,not_applicable
alloc::alloc::dealloc,memory_pointer,skip,unsafe_or_representation_sensitive,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,"source behavior depends on unsafe representation, address, alignment, or provenance facts",false,classification:unsafe_or_representation_sensitive;no_modeled_observable_output,classification:unsafe_or_representation_sensitive;no_modeled_observable_output;unsafe_or_representation_sensitive,dealloc returns unit and only mutates hidden global-allocator state. No useful sound relation is expressible using public vstd vocabulary without modeling allocation ownership and deallocation effects.,,not_applicable
alloc::alloc::handle_alloc_error,memory_pointer,skip,needs_new_vstd_abstraction,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,a source fact is documented but needs new shared vstd vocabulary before it can be expressed,false,classification:needs_new_vstd_abstraction,classification:needs_new_vstd_abstraction;needs_new_vstd_abstraction,"The only source-justified guarantee is divergence, already encoded by the never return type. Existing vstd contract vocabulary provides no useful observable postcondition for a function that cannot return normally, so an ordinary trusted contract would be redundant or vacuous.",,not_applicable
alloc::alloc::realloc,memory_pointer,skip,unsafe_or_representation_sensitive,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,"source behavior depends on unsafe representation, address, alignment, or provenance facts",false,classification:unsafe_or_representation_sensitive,classification:unsafe_or_representation_sensitive;unsafe_or_representation_sensitive,"realloc depends on allocator-managed hidden state and may return a null, moved, or reused raw pointer. The supplied source only establishes forwarding to the global allocator, so no useful sound result relation is expressible with public vstd vocabulary.",,not_applicable
alloc::borrow::Cow::into_owned,data_structure,skip,associated_type_or_projection_gap,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,generic associated-type or projection results lack a public specification relation,false,classification:associated_type_or_projection,classification:associated_type_or_projection;associated_type_or_projection_gap,"The borrowed branch calls ToOwned::to_owned, for which no public vstd result relation is supplied, while the owned branch cannot be isolated generically through an existing public specification view of Cow. Therefore no useful non-vacuous result contract is expressible.",,not_applicable
alloc::borrow::Cow::to_mut,data_structure,skip,clone_semantics_unmodeled,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,Rust Clone does not guarantee equality or public-view preservation for arbitrary T,false,classification:determinism_checker_unsupported;cow_to_mut_payload_reference_model_missing,classification:determinism_checker_unsupported;cow_to_mut_payload_reference_model_missing;clone_semantics_unmodeled,"Rust 1.96 implements Cow::to_mut by returning the existing owned payload or cloning a borrowed payload into Cow::Owned before returning a mutable reference to that owned value. Current vstd vocabulary has no public model that relates the Cow enum payload, the ToOwned clone result, and the returned mutable reference across both source branches. The residual contract failed typechecking and would otherwise rely on unsupported enum-payload/mutable-reference reasoning, so this source-backed row is skipped rather than emitted as an underchecked assume_specification.",,not_applicable
alloc::borrow::ToOwned::clone_into,trait_method,skip,trait_contract_integration_gap,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,trait method behavior needs a trait-level semantic law not available as public vstd vocabulary,false,classification:trait_contract_integration;determinism_unsupported_contract_form,classification:trait_contract_integration;determinism_unsupported_contract_form;trait_contract_integration_gap,"The method returns unit and mutates target, but ToOwned imposes no semantic law relating self to Owned. Implementations may override the default, so no useful universal postcondition is justified.",,not_applicable
alloc::borrow::ToOwned::to_owned,trait_method,skip,trait_contract_integration_gap,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,trait method behavior needs a trait-level semantic law not available as public vstd vocabulary,false,classification:trait_contract_integration;determinism_unsupported_contract_form,classification:trait_contract_integration;determinism_unsupported_contract_form;trait_contract_integration_gap,"The trait permits arbitrary implementations and provides no enforceable semantic relation between `self` and the returned `Self::Owned`. The `Owned: Borrow<Self>` bound constrains only the associated type, not the value returned by `to_owned`, so no useful non-vacuous postcondition is justified for every implementation.",,not_applicable
alloc::boxed::Box::as_mut_ptr,data_structure,skip,unsafe_or_representation_sensitive,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,"source behavior depends on unsafe representation, address, alignment, or provenance facts",false,classification:unsafe_or_representation_sensitive,classification:unsafe_or_representation_sensitive;unsafe_or_representation_sensitive,"The meaningful behavior is the returned raw pointer's provenance, metadata, aliasing validity, and relationship to the Box allocation. Existing vstd vocabulary cannot express those guarantees. Non-nullness alone is representation-sensitive and insufficiently useful, while preserving the Box is redundant with the shared contract semantics of this accessor.",,not_applicable
alloc::boxed::Box::as_ptr,data_structure,skip,unsafe_or_representation_sensitive,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,"source behavior depends on unsafe representation, address, alignment, or provenance facts",false,classification:unsafe_or_representation_sensitive,classification:unsafe_or_representation_sensitive;unsafe_or_representation_sensitive,"The useful source-level guarantee is the raw pointer's identity and provenance relative to the Box allocation, but expressing that relation requires a raw borrow or equivalent pointer/provenance vocabulary that Verus does not currently support. A weaker result-only property would not adequately model this representation-sensitive API.",,not_applicable
alloc::boxed::Box::assume_init,data_structure,skip,unsafe_or_representation_sensitive,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,"source behavior depends on unsafe representation, address, alignment, or provenance facts",false,classification:unsafe_or_representation_sensitive,classification:unsafe_or_representation_sensitive;unsafe_or_representation_sensitive,"This unsafe API performs a representation-sensitive transmute from Box<MaybeUninit<T>, A> to Box<T, A>. Although MemContents can describe initialization and the resulting value, an assume_specification would trust precisely the unsafe layout-preserving conversion that requires justification. Existing vstd vocabulary does not provide an ordinary, non-redundant contract that exposes stronger observable semantics without encoding that representation-sensitive operation as an axiom.",,not_applicable
alloc::boxed::Box::downcast,data_structure,skip,unsafe_or_representation_sensitive,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,"source behavior depends on unsafe representation, address, alignment, or provenance facts",false,classification:unsafe_or_representation_sensitive,classification:unsafe_or_representation_sensitive;unsafe_or_representation_sensitive,"The result depends on the erased value's runtime TypeId, for which the supplied public vstd vocabulary provides no semantic model. Consequently, neither the successful Box<T, A> nor the unchanged Err(Self) can be usefully related to the consumed input without inventing hidden-state or identity access.",,not_applicable
alloc::boxed::Box::from_raw,data_structure,skip,unsafe_or_representation_sensitive,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,"source behavior depends on unsafe representation, address, alignment, or provenance facts",false,classification:unsafe_or_representation_sensitive,classification:unsafe_or_representation_sensitive;unsafe_or_representation_sensitive,"Box::from_raw transfers ownership of a globally allocated block into a Box. Its validity, allocation provenance, layout, initialization, and unique ownership requirements are hidden raw-pointer state that cannot be expressed by this exact signature using the supplied public vstd vocabulary.",,not_applicable
alloc::boxed::Box::into_pin,data_structure,skip,ownership_or_uninitialized_model_gap,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,available views do not model the ownership or uninitialized-state fact needed by the API,false,classification:ownership_or_uninitialized_model;determinism_unsupported_contract_form,classification:ownership_or_uninitialized_model;determinism_unsupported_contract_form;ownership_or_uninitialized_model_gap,"The source guarantees an in-place ownership conversion for arbitrary `T: ?Sized`, but existing vstd equality requires `Sized` values and does not provide a suitable observable model for allocation identity or pinning state. Restricting `T` to `Sized` would create a false domain, while relating the result to the consumed `Box` risks an invalid ownership/uninitialized model.",,not_applicable
alloc::boxed::Box::into_raw,data_structure,skip,unsafe_or_representation_sensitive,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,"source behavior depends on unsafe representation, address, alignment, or provenance facts",false,classification:unsafe_or_representation_sensitive;determinism_unsupported_contract_form,classification:unsafe_or_representation_sensitive;determinism_unsupported_contract_form;unsafe_or_representation_sensitive,"Box::into_raw accepts T: ?Sized (represented by the external MetaSized bound), while the proposed proxy implicitly requires T: Sized and therefore cannot match the function signature. Removing the alignment clause does not resolve that signature mismatch, and align_of::<T>() is not uniformly applicable to unsized T. Restricting the contract to sized types would still fail assume_specification's exact-signature requirement. Existing vstd vocabulary also cannot express the transferred allocation ownership, provenance, metadata, or reconstruction obligation that constitutes the useful semantics of this API.",,not_applicable
alloc::boxed::Box::leak,data_structure,skip,unsafe_or_representation_sensitive,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,"source behavior depends on unsafe representation, address, alignment, or provenance facts",false,classification:determinism_checker_unsupported;determinism_unsupported_contract_form,classification:determinism_checker_unsupported;determinism_unsupported_contract_form;unsafe_or_representation_sensitive,"The external signature requires T: ?Sized, so a sized-only proxy cannot match assume_specification exactly. Existing vstd equality cannot state preservation of the pointee for the full unsized domain, and vstd lacks suitable vocabulary for allocation identity, provenance, or leak ownership. A weaker contract would be vacuous or omit the API's observable semantics.",,not_applicable
alloc::boxed::Box::new_uninit_slice,data_structure,skip,ownership_or_uninitialized_model_gap,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,available views do not model the ownership or uninitialized-state fact needed by the API,false,classification:ownership_or_uninitialized_model;determinism_unsupported_contract_form,classification:ownership_or_uninitialized_model;determinism_unsupported_contract_form;ownership_or_uninitialized_model_gap,"Although the returned slice length is source-justified and observable, the existing vstd model does not provide a suitable ordinary contract for ownership of newly allocated uninitialized storage. The proposed postcondition also produced inconclusive determinism checking, so it should not be trusted.",,not_applicable
alloc::boxed::Box::new_zeroed,data_structure,skip,ownership_or_uninitialized_model_gap,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,available views do not model the ownership or uninitialized-state fact needed by the API,false,classification:ownership_or_uninitialized_model,classification:ownership_or_uninitialized_model;ownership_or_uninitialized_model_gap,"The implementation guarantees that the allocated storage is filled with zero bytes, but the available public vstd MemContents model cannot express this raw-byte state for arbitrary T. Claiming MemContents::Init would be unsound because an all-zero representation is not valid for every T, while merely returning a Box<MaybeUninit<T>> adds no useful result relation.",,not_applicable
