target,ensures,classification,evidence_kind,rationale,source_reference,source_excerpt
alloc::collections::BTreeMap::append,"final(m)@ == old(m)@.union_prefer_right(old(other)@); final(other)@ == Map::<Key, Value>::empty()",source_justified,exact_btree_raw_algebra_source_gate,alloc/src/collections/btree/map.rs:1236 documents and implements this BTree operation over the ordered map/set structure; the ensures clauses use the accepted source-backed semantic map/set algebra for that operation.,alloc/src/collections/btree/map.rs:1236,"1232:     /// assert_eq!(a[&4], ""e"");
1233:     /// assert_eq!(a[&5], ""f"");
1234:     /// ```
1235:     #[stable(feature = ""btree_append"", since = ""1.11.0"")]
1236:     pub fn append(&mut self, other: &mut Self)
1237:     where
1238:         K: Ord,
1239:         A: Clone,
1240:     {
1241:         let other = mem::replace(other, Self::new_in((*self.alloc).clone()));
1242:         self.merge(other, |_key, _self_val, other_val| other_val);
1243:     }
1244: "
alloc::collections::BTreeMap::first_key_value,"match result {
            Some((key, value)) => {
                &&& m@.contains_key(*key)
                &&& m@[*key] == *value
                &&& forall|other: Key| #[trigger] m@.contains_key(other) ==>
                    (*key).cmp_spec(&other) != core::cmp::Ordering::Greater
                &&& *key == choose|candidate: Key| {
                    m@.contains_key(candidate)
                        && forall|other: Key| #[trigger] m@.contains_key(other) ==>
                            candidate.cmp_spec(&other) != core::cmp::Ordering::Greater
                }
            },
            None => m@.is_empty(),
        }",source_justified,btree_map_declaration_source_context,"alloc/src/collections/btree/map.rs:810 is the classified Rust declaration/source_context for `BTreeMap::first_key_value` over the ordered map implementation; the accepted ensures clauses are expressed only over the observable map view, first/last key selection, returned value, and documented mutation effect from that source operation.",alloc/src/collections/btree/map.rs:810,"806:     /// map.insert(2, ""a"");
807:     /// assert_eq!(map.first_key_value(), Some((&1, &""b"")));
808:     /// ```
809:     #[stable(feature = ""map_first_last"", since = ""1.66.0"")]
810:     pub fn first_key_value(&self) -> Option<(&K, &V)>
811:     where
812:         K: Ord,
813:     {
814:         let root_node = self.root.as_ref()?.reborrow();
815:         root_node.first_leaf_edge().right_kv().ok().map(Handle::into_kv)
816:     }
817: 
818:     /// Returns the first entry in the map for in-place manipulation."
alloc::collections::BTreeMap::get_mut,"{
            let old_map = old(m)@;
            let selected_key = choose|key: Key|
                sets_borrowed_key_to_key(old_map.dom(), k, &key);
            &&& contains_borrowed_key(old_map, k) ==>
                sets_borrowed_key_to_key(old_map.dom(), k, &selected_key)
            &&& result is Some == contains_borrowed_key(old_map, k)
            &&& match result {
                Some(v) => {
                    &&& *v == old_map[selected_key]
                    &&& *final(v) == *v
                    &&& final(m)@ == old_map
                },
                None => {
                    &&& !contains_borrowed_key(old_map, k)
                    &&& final(m)@ == old_map
                },
            }
        }",source_justified,exact_map_get_mut_source_gate,alloc/src/collections/btree/map.rs:1006 documents borrowed-key lookup and implements the mutable-reference return through the underlying map search; the ensures clauses model the selected old semantic value and unchanged map view without pointer/provenance claims.,alloc/src/collections/btree/map.rs:1006,"981:         K: Borrow<Q> + Ord,
982:         Q: Ord,
987:     /// Returns a mutable reference to the value corresponding to the key.
1006:     pub fn get_mut<Q: ?Sized>(&mut self, key: &Q) -> Option<&mut V>
1008:         K: Borrow<Q> + Ord,
1009:         Q: Ord,
1012:         match root_node.search_tree(key) {
1013:             Found(handle) => Some(handle.into_val_mut()),
1014:             GoDown(_) => None,"
alloc::collections::BTreeMap::last_key_value,"match result {
            Some((k, v)) => {
                &&& *k == choose|max_key: Key| {
                    &&& m@.contains_key(max_key)
                    &&& forall|other: Key| #[trigger] m@.contains_key(other) ==>
                        other.cmp_spec(&max_key) != core::cmp::Ordering::Greater
                }
                &&& m@.contains_key(*k)
                &&& m@[*k] == *v
                &&& forall|other: Key| #[trigger] m@.contains_key(other) ==>
                    other.cmp_spec(k) != core::cmp::Ordering::Greater
            },
            None => m@.is_empty(),
        }",source_justified,btree_map_declaration_source_context,"alloc/src/collections/btree/map.rs:893 is the classified Rust declaration/source_context for `BTreeMap::last_key_value` over the ordered map implementation; the accepted ensures clauses are expressed only over the observable map view, first/last key selection, returned value, and documented mutation effect from that source operation.",alloc/src/collections/btree/map.rs:893,"889:     /// map.insert(2, ""a"");
890:     /// assert_eq!(map.last_key_value(), Some((&2, &""a"")));
891:     /// ```
892:     #[stable(feature = ""map_first_last"", since = ""1.66.0"")]
893:     pub fn last_key_value(&self) -> Option<(&K, &V)>
894:     where
895:         K: Ord,
896:     {
897:         let root_node = self.root.as_ref()?.reborrow();
898:         root_node.last_leaf_edge().left_kv().ok().map(Handle::into_kv)
899:     }
900: 
901:     /// Returns the last entry in the map for in-place manipulation."
alloc::collections::BTreeMap::pop_first,"if old(m)@.is_empty() {
            &&& result is None
            &&& final(m)@ == old(m)@
        } else {
            let k = choose|k: Key| {
                &&& old(m)@.contains_key(k)
                &&& forall|key: Key| #[trigger] old(m)@.contains_key(key) ==>
                    key == k || k.cmp_spec(&key) == core::cmp::Ordering::Less
            };
            &&& result == Some((k, old(m)@[k]))
            &&& final(m)@ == old(m)@.remove(k)
        }",source_justified,btree_map_declaration_source_context,"alloc/src/collections/btree/map.rs:872 is the classified Rust declaration/source_context for `BTreeMap::pop_first` over the ordered map implementation; the accepted ensures clauses are expressed only over the observable map view, first/last key selection, returned value, and documented mutation effect from that source operation.",alloc/src/collections/btree/map.rs:872,"868:     /// }
869:     /// assert!(map.is_empty());
870:     /// ```
871:     #[stable(feature = ""map_first_last"", since = ""1.66.0"")]
872:     pub fn pop_first(&mut self) -> Option<(K, V)>
873:     where
874:         K: Ord,
875:     {
876:         self.first_entry().map(|entry| entry.remove_entry())
877:     }
878: 
879:     /// Returns the last key-value pair in the map.
880:     /// The key in this pair is the maximum key in the map."
alloc::collections::BTreeMap::pop_last,"if old(m)@.is_empty() {
            &&& result is None
            &&& final(m)@ == old(m)@
        } else {
            let k = choose|k: Key|
                old(m)@.contains_key(k)
                && forall|other: Key| #![auto]
                    old(m)@.contains_key(other) ==> {
                        other.cmp_spec(&k) is Less || other == k
                    };
            &&& result == Some((k, old(m)@[k]))
            &&& final(m)@ == old(m)@.remove(k)
        }",source_justified,btree_map_declaration_source_context,"alloc/src/collections/btree/map.rs:955 is the classified Rust declaration/source_context for `BTreeMap::pop_last` over the ordered map implementation; the accepted ensures clauses are expressed only over the observable map view, first/last key selection, returned value, and documented mutation effect from that source operation.",alloc/src/collections/btree/map.rs:955,"951:     /// }
952:     /// assert!(map.is_empty());
953:     /// ```
954:     #[stable(feature = ""map_first_last"", since = ""1.66.0"")]
955:     pub fn pop_last(&mut self) -> Option<(K, V)>
956:     where
957:         K: Ord,
958:     {
959:         self.last_entry().map(|entry| entry.remove_entry())
960:     }
961: 
962:     /// Returns `true` if the map contains a value for the specified key.
963:     ///"
alloc::collections::BTreeSet::append,final(m)@ == old(m)@.union(old(other)@); final(other)@ == vstd::set::Set::<Key>::empty(),source_justified,exact_btree_raw_algebra_source_gate,alloc/src/collections/btree/set.rs:1139 documents and implements this BTree operation over the ordered map/set structure; the ensures clauses use the accepted source-backed semantic map/set algebra for that operation.,alloc/src/collections/btree/set.rs:1139,"1135:     /// assert!(a.contains(&4));
1136:     /// assert!(a.contains(&5));
1137:     /// ```
1138:     #[stable(feature = ""btree_append"", since = ""1.11.0"")]
1139:     pub fn append(&mut self, other: &mut Self)
1140:     where
1141:         T: Ord,
1142:         A: Clone,
1143:     {
1144:         self.map.append(&mut other.map);
1145:     }
1146: 
1147:     /// Splits the collection into two at the value. Returns a new collection"
alloc::collections::BTreeSet::first,"match result {
            Some(v) => {
                &&& m@.contains(*v)
                &&& forall|other: Key| #[trigger] m@.contains(other) ==>
                    (*v).cmp_spec(&other) != core::cmp::Ordering::Greater
                &&& *v == choose|candidate: Key| {
                    m@.contains(candidate)
                        && forall|other: Key| #[trigger] m@.contains(other) ==>
                            candidate.cmp_spec(&other) != core::cmp::Ordering::Greater
                }
            },
            None => m@.is_empty(),
        }",source_justified,btree_set_declaration_source_context,"alloc/src/collections/btree/set.rs:792 is the classified Rust declaration/source_context for `BTreeSet::first` over the ordered set implementation; the accepted ensures clauses are expressed only over the observable set view, first/last element selection, relation result, and documented mutation effect from that source operation.",alloc/src/collections/btree/set.rs:792,"788:     /// ```
789:     #[must_use]
790:     #[stable(feature = ""map_first_last"", since = ""1.66.0"")]
791:     #[rustc_confusables(""front"")]
792:     pub fn first(&self) -> Option<&T>
793:     where
794:         T: Ord,
795:     {
796:         self.map.first_key_value().map(|(k, _)| k)
797:     }
798: 
799:     /// Returns a reference to the last element in the set, if any.
800:     /// This element is always the maximum of all elements in the set."
alloc::collections::BTreeSet::is_disjoint,result == m@.disjoint(other@),source_justified,exact_btree_raw_algebra_source_gate,alloc/src/collections/btree/set.rs:658 documents and implements this BTree operation over the ordered map/set structure; the ensures clauses use the accepted source-backed semantic map/set algebra for that operation.,alloc/src/collections/btree/set.rs:658,"654:     /// assert_eq!(a.is_disjoint(&b), false);
655:     /// ```
656:     #[must_use]
657:     #[stable(feature = ""rust1"", since = ""1.0.0"")]
658:     pub fn is_disjoint(&self, other: &BTreeSet<T, A>) -> bool
659:     where
660:         T: Ord,
661:     {
662:         self.intersection(other).next().is_none()
663:     }
664: 
665:     /// Returns `true` if the set is a subset of another,
666:     /// i.e., `other` contains at least all the elements in `self`."
alloc::collections::BTreeSet::is_subset,result == m@.subset_of(other@),source_justified,btree_set_declaration_source_context,"alloc/src/collections/btree/set.rs:684 is the classified Rust declaration/source_context for `BTreeSet::is_subset` over the ordered set implementation; the accepted ensures clauses are expressed only over the observable set view, first/last element selection, relation result, and documented mutation effect from that source operation.",alloc/src/collections/btree/set.rs:684,"680:     /// assert_eq!(set.is_subset(&sup), false);
681:     /// ```
682:     #[must_use]
683:     #[stable(feature = ""rust1"", since = ""1.0.0"")]
684:     pub fn is_subset(&self, other: &BTreeSet<T, A>) -> bool
685:     where
686:         T: Ord,
687:     {
688:         // Same result as self.difference(other).next().is_none()
689:         // but the code below is faster (hugely in some cases).
690:         if self.len() > other.len() {
691:             return false; // self has more elements than other
692:         }"
