target,category,status,rounds,initial_decision,final_decision,contract_form,typecheck_passed,det_status,r0_z3,classification,raw_det_reward,guarded_reward,semantic_guarded_reward,issues,semantic_gate_issues,semantic_review_issues,requires,ensures,contract_code,rationale
alloc::borrow::Cow::into_owned,data_structure,,2,add_spec,add_spec,assume_specification,True,ok,unknown,ok_inconclusive,0,0,0,classification:associated_type_or_projection;determinism_not_proved:unknown,,,,cow matches Cow::Owned(owned) ==> res == owned,"pub assume_specification<'a, B: ?Sized + ToOwned>[ Cow::into_owned ](
    cow: Cow<'a, B>,
) -> (res: <B as ToOwned>::Owned)
    ensures
        cow matches Cow::Owned(owned) ==> res == owned,
;","The exact external signature does not require B: 'a. For Cow::Owned, the source moves the payload out unchanged, deterministically relating the observable result to the input. Generic borrowed conversion cannot be expressed using existing public vstd ToOwned vocabulary."
core::option::Option::as_deref,data_structure,,2,add_spec,skip,assume_specification,False,,,,0,0,0,classification:associated_type_or_projection,,,,,,"The generic Deref specification exposes no functional model for the returned reference. call_ensures is relational and does not determine the Some payload; variant preservation alone is insufficient, while view equality would lose reference identity."
core::pin::Pin::as_ref,other,,1,skip,skip,assume_specification,False,,,,0,0,0,classification:associated_type_or_projection,,,,,,The source derives the result through Pin's private pointer. vstd has no public Pin pointee/view relation that can connect the returned Pin reference to that pointer.
core::pin::Pin::set,other,,1,skip,skip,assume_specification,False,,,,0,0,0,classification:associated_type_or_projection,,,,,,"A useful postcondition must describe mutation of the pinned pointee while preserving its location, but current vstd exposes neither Pin's pointer nor a suitable generic DerefMut mutation relation."
core::result::Result::as_deref,data_structure,,2,add_spec,skip,assume_specification,False,,,,0,0,0,classification:associated_type_or_projection,,,,,,"The Ok output depends on generic Deref::deref semantics over the associated type T::Target. Delegating through call_ensures does not provide a deterministic ordinary contract, while a weaker contract would leave the observable Ok reference unspecified."
core::str::ends_with,data_structure,,1,skip,skip,assume_specification,False,,,,0,0,0,classification:associated_type_or_projection,,,,,,"The implementation delegates to Pattern::is_suffix_of, but current vstd has no public Pattern/ReverseSearcher specification. A generic pattern therefore cannot be related to the string's Seq<char> view."
core::str::get,data_structure,,2,add_spec,add_spec,assume_specification,True,ok,unsat,complete,1,0,0,classification:associated_type_or_projection,,,,"res == spec_slice_get(s, i)","pub assume_specification<I>[ str::get::<I> ](
    s: &str,
    i: I,
) -> (res: Option<&<I as SliceIndex<str>>::Output>) where I: SliceIndex<str>
    ensures
        res == spec_slice_get(s, i),
;","The associated projection is inherent in the exact API and cannot be constrained without narrowing its domain. spec_slice_get already supports T: ?Sized with the matching SliceIndex projection, and the source directly delegates to i.get(self), so this relation models the full observable Option/reference result without extra preconditions."
core::str::parse,data_structure,,1,skip,skip,assume_specification,False,,,,0,0,0,classification:associated_type_or_projection,,,,,,"The source only delegates to FromStr::from_str, but vstd has no FromStr model relating the input to F or F::Err."
core::str::rfind,data_structure,,1,skip,skip,assume_specification,False,,,,0,0,0,classification:associated_type_or_projection,,,,,,"The result depends on Pattern and ReverseSearcher semantics, for which vstd has no match abstraction."
core::str::rmatch_indices,data_structure,,1,skip,skip,assume_specification,False,,,,0,0,0,classification:associated_type_or_projection,,,,,,Neither generic Pattern semantics nor the remaining sequence of RMatchIndices is modeled in vstd.
