canonical_target,display_path,origin_path,declaration_id,source_location,copied_source_path,original_source_path,kind,signature,generic_bounds,safety,stability,since,constness,abi,alias_approximate,has_approximate_alias,existing_vstd_status,existing_vstd_provenance,existing_vstd_exact_match_status,planned_spec_status,semantic_family,source_observable_inputs,source_observable_outputs,source_observable_mutations,required_shared_model_helper,decisive_validation_command,final_contract_or_justified_no_spec_status,counting_basis
alloc::vec::Drain::as_slice,alloc::vec::Drain::as_slice,alloc::vec::drain::Drain::as_slice,alloc:4861,alloc/src/vec/drain.rs:56,rust-alloc-vec/vec/drain.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/drain.rs,inherent_method,pub fn as_slice(&self) -> &[T],none,safe,stable,1.46.0,non-const,Rust,False,False,uncovered,none,not-covered-by-vstd,pending-real-executable-spec-or-source-backed-justified-no-spec,vec-iterator-adaptor-state,&self,&[T],none; observational or constructor result only,Drain/Splice/IntoIter/ExtractIf remaining-sequence and source-Vec frame state,python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,pending-model-attempt,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
alloc::vec::IntoIter::as_mut_slice,alloc::vec::IntoIter::as_mut_slice,alloc::vec::into_iter::IntoIter::as_mut_slice,alloc:4905,alloc/src/vec/into_iter.rs:106,rust-alloc-vec/vec/into_iter.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/into_iter.rs,inherent_method,pub fn as_mut_slice(&mut self) -> &mut [T],none,safe,stable,1.15.0,non-const,Rust,False,False,uncovered,none,not-covered-by-vstd,pending-real-executable-spec-or-source-backed-justified-no-spec,vec-iterator-adaptor-state,&mut self,&mut [T],may mutate receiver Vec; inventory requires old/final frame in generation phase,Drain/Splice/IntoIter/ExtractIf remaining-sequence and source-Vec frame state,python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,pending-model-attempt,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
alloc::vec::IntoIter::as_slice,alloc::vec::IntoIter::as_slice,alloc::vec::into_iter::IntoIter::as_slice,alloc:4904,alloc/src/vec/into_iter.rs:88,rust-alloc-vec/vec/into_iter.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/into_iter.rs,inherent_method,pub fn as_slice(&self) -> &[T],none,safe,stable,1.15.0,non-const,Rust,False,False,uncovered,none,not-covered-by-vstd,pending-real-executable-spec-or-source-backed-justified-no-spec,vec-iterator-adaptor-state,&self,&[T],none; observational or constructor result only,Drain/Splice/IntoIter/ExtractIf remaining-sequence and source-Vec frame state,python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,pending-model-attempt,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
alloc::vec::Vec::append,alloc::vec::Vec::append,alloc::vec::Vec::append,alloc:5059,alloc/src/vec/mod.rs:2930,rust-alloc-vec/vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/mod.rs,inherent_method,"pub fn append(&mut self, other: &mut Self)",none,safe,stable,1.4.0,non-const,Rust,False,False,existing-vstd,std_specs/vec.rs:154,exact-existing-vstd,integrate-existing-vstd-contract,vec-sequence-mutation,"&mut self, other: &mut Self",unit,may mutate receiver Vec; inventory requires old/final frame in generation phase,Seq update/subrange/insert/remove/permutation and mutation-frame helpers,python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,existing-vstd-exact-ready-to-integrate,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
alloc::vec::Vec::as_mut_ptr,alloc::vec::Vec::as_mut_ptr,alloc::vec::Vec::as_mut_ptr,alloc:5039,alloc/src/vec/mod.rs:2058,rust-alloc-vec/vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/mod.rs,inherent_method,pub const fn as_mut_ptr(&mut self) -> *mut T,none,safe,stable,1.37.0,const,Rust,False,False,uncovered,none,not-covered-by-vstd,pending-real-executable-spec-or-source-backed-justified-no-spec,vec-raw-parts-pointer-provenance,&mut self,*mut T,may mutate receiver Vec; inventory requires old/final frame in generation phase,"raw pointer/provenance/layout boundary, len/capacity domain helpers",python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,pending-model-attempt,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
alloc::vec::Vec::as_mut_slice,alloc::vec::Vec::as_mut_slice,alloc::vec::Vec::as_mut_slice,alloc:5038,alloc/src/vec/mod.rs:1892,rust-alloc-vec/vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/mod.rs,inherent_method,pub const fn as_mut_slice(&mut self) -> &mut [T],none,safe,stable,1.7.0,const,Rust,False,False,existing-vstd,std_specs/vec.rs:242,exact-existing-vstd,integrate-existing-vstd-contract,vec-logical-sequence-view,&mut self,&mut [T],may mutate receiver Vec; inventory requires old/final frame in generation phase,"Seq<T> view, len/capacity relation, slice view frame",python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,existing-vstd-exact-ready-to-integrate,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
alloc::vec::Vec::as_ptr,alloc::vec::Vec::as_ptr,alloc::vec::Vec::as_ptr,alloc:5040,alloc/src/vec/mod.rs:1974,rust-alloc-vec/vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/mod.rs,inherent_method,pub const fn as_ptr(&self) -> *const T,none,safe,stable,1.37.0,const,Rust,False,False,uncovered,none,not-covered-by-vstd,pending-real-executable-spec-or-source-backed-justified-no-spec,vec-raw-parts-pointer-provenance,&self,*const T,none; observational or constructor result only,"raw pointer/provenance/layout boundary, len/capacity domain helpers",python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,pending-model-attempt,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
alloc::vec::Vec::as_slice,alloc::vec::Vec::as_slice,alloc::vec::Vec::as_slice,alloc:5037,alloc/src/vec/mod.rs:1856,rust-alloc-vec/vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/mod.rs,inherent_method,pub const fn as_slice(&self) -> &[T],none,safe,stable,1.7.0,const,Rust,False,False,existing-vstd,std_specs/vec.rs:236,exact-existing-vstd,integrate-existing-vstd-contract,vec-logical-sequence-view,&self,&[T],none; observational or constructor result only,"Seq<T> view, len/capacity relation, slice view frame",python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,existing-vstd-exact-ready-to-integrate,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
alloc::vec::Vec::capacity,alloc::vec::Vec::capacity,alloc::vec::Vec::capacity,alloc:5003,alloc/src/vec/mod.rs:1444,rust-alloc-vec/vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/mod.rs,inherent_method,pub const fn capacity(&self) -> usize,none,safe,stable,1.0.0,const,Rust,False,False,existing-vstd,std_specs/capacity.rs:37,exact-existing-vstd,integrate-existing-vstd-contract,vec-capacity-allocation-state,&self,usize,none; observational or constructor result only,"capacity lower/upper bounds, allocator-state boundary, no allocation identity assumption",python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,existing-vstd-exact-ready-to-integrate,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
alloc::vec::Vec::clear,alloc::vec::Vec::clear,alloc::vec::Vec::clear,alloc:5035,alloc/src/vec/mod.rs:3031,rust-alloc-vec/vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/mod.rs,inherent_method,pub fn clear(&mut self),none,safe,stable,1.0.0,non-const,Rust,False,False,existing-vstd,std_specs/vec.rs:231,exact-existing-vstd,integrate-existing-vstd-contract,vec-sequence-mutation,&mut self,unit,may mutate receiver Vec; inventory requires old/final frame in generation phase,Seq update/subrange/insert/remove/permutation and mutation-frame helpers,python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,existing-vstd-exact-ready-to-integrate,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
alloc::vec::Vec::dedup,alloc::vec::Vec::dedup,alloc::vec::Vec::dedup,alloc:5078,alloc/src/vec/mod.rs:3704,rust-alloc-vec/vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/mod.rs,inherent_method,pub fn dedup(&mut self),none,safe,stable,1.0.0,non-const,Rust,False,False,uncovered,none,not-covered-by-vstd,pending-real-executable-spec-or-source-backed-justified-no-spec,vec-callback-trace-mutation,&mut self,unit,may mutate receiver Vec; inventory requires old/final frame in generation phase,source-order FnMut/FnOnce callback trace plus retained/deduped sequence relation,python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,pending-model-attempt,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
alloc::vec::Vec::dedup_by,alloc::vec::Vec::dedup_by,alloc::vec::Vec::dedup_by,alloc:5055,alloc/src/vec/mod.rs:2651,rust-alloc-vec/vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/mod.rs,inherent_method,"pub fn dedup_by<F>(&mut self, mut same_bucket: F) where F: FnMut(&mut T, &mut T) -> bool,","<F>; where F: FnMut(&mut T, &mut T) -> bool",safe,stable,1.16.0,non-const,Rust,False,False,uncovered,none,not-covered-by-vstd,pending-real-executable-spec-or-source-backed-justified-no-spec,vec-callback-trace-mutation,"&mut self, mut same_bucket: F","bool,",may mutate receiver Vec; inventory requires old/final frame in generation phase,source-order FnMut/FnOnce callback trace plus retained/deduped sequence relation,python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,pending-model-attempt,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
alloc::vec::Vec::dedup_by_key,alloc::vec::Vec::dedup_by_key,alloc::vec::Vec::dedup_by_key,alloc:5054,alloc/src/vec/mod.rs:2624,rust-alloc-vec/vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/mod.rs,inherent_method,"pub fn dedup_by_key<F, K>(&mut self, mut key: F) where F: FnMut(&mut T) -> K, K: PartialEq,","<F, K>; where F: FnMut(&mut T) -> K, K: PartialEq",safe,stable,1.16.0,non-const,Rust,False,False,uncovered,none,not-covered-by-vstd,pending-real-executable-spec-or-source-backed-justified-no-spec,vec-callback-trace-mutation,"&mut self, mut key: F","K, K: PartialEq,",may mutate receiver Vec; inventory requires old/final frame in generation phase,source-order FnMut/FnOnce callback trace plus retained/deduped sequence relation,python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,pending-model-attempt,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
alloc::vec::Vec::drain,alloc::vec::Vec::drain,alloc::vec::Vec::drain,alloc:4859,alloc/src/vec/mod.rs:2985,rust-alloc-vec/vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/mod.rs,inherent_method,"pub fn drain<R>(&mut self, range: R) -> Drain<'_, T, A> where R: RangeBounds<usize>,",<R>; where R: RangeBounds<usize>,safe,stable,1.6.0,non-const,Rust,False,False,uncovered,none,not-covered-by-vstd,pending-real-executable-spec-or-source-backed-justified-no-spec,vec-iterator-adaptor-state,"&mut self, range: R","Drain<'_, T, A>",may mutate receiver Vec; inventory requires old/final frame in generation phase,Drain/Splice/IntoIter/ExtractIf remaining-sequence and source-Vec frame state,python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,pending-model-attempt,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
alloc::vec::Vec::extend_from_slice,alloc::vec::Vec::extend_from_slice,alloc::vec::Vec::extend_from_slice,alloc:5068,alloc/src/vec/mod.rs:3566,rust-alloc-vec/vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/mod.rs,inherent_method,"pub fn extend_from_slice(&mut self, other: &[T])",none,safe,stable,1.6.0,non-const,Rust,False,False,existing-vstd,std_specs/vec.rs:163,exact-existing-vstd,integrate-existing-vstd-contract,vec-sequence-mutation,"&mut self, other: &[T]",unit,may mutate receiver Vec; inventory requires old/final frame in generation phase,Seq update/subrange/insert/remove/permutation and mutation-frame helpers,python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,existing-vstd-exact-ready-to-integrate,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
alloc::vec::Vec::extend_from_within,alloc::vec::Vec::extend_from_within,alloc::vec::Vec::extend_from_within,alloc:5069,alloc/src/vec/mod.rs:3597,rust-alloc-vec/vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/mod.rs,inherent_method,"pub fn extend_from_within<R>(&mut self, src: R) where R: RangeBounds<usize>,",<R>; where R: RangeBounds<usize>,safe,stable,1.53.0,non-const,Rust,False,False,uncovered,none,not-covered-by-vstd,pending-real-executable-spec-or-source-backed-justified-no-spec,vec-sequence-mutation,"&mut self, src: R",unit,may mutate receiver Vec; inventory requires old/final frame in generation phase,Seq update/subrange/insert/remove/permutation and mutation-frame helpers,python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,pending-model-attempt,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
